player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available,injury_status
00-0034869,Sam Darnold,QB,SEA,14100,43782100,18.31005,18.31005,1.0,1.0790781744238591,19.75797292342959,NE,23.88,44.25,0.0,0.0,11.5059,statline_mc+recal_10_4b,6.77573068423124,34.89615437532163,24.498,188.61724958239836,1.19175,1.64775,7.467919656571268,0.07275,0.0,0.0,0.0,0.0,CPT,showdown,84.52868852459017,9.41133993919459,True,ACTIVE
00-0039851,Drake Maye,QB,NE,15000,43782098,18.31905,18.31905,1.0,0.920921825576141,16.87047052044963,SEA,20.38,44.25,0.0,0.0,11.3541,statline_mc+recal_10_4b,5.492881725241441,30.645312269771644,24.47825,162.7690647900718,1.0215,1.81925,7.364677553635477,0.07,0.0,0.0,0.0,0.0,CPT,showdown,71.57786885245902,3.969052338577967,True,ACTIVE
00-0034869,Sam Darnold,QB,SEA,9400,43782037,12.2067,12.2067,1.0,1.0790781744238591,13.17198194895306,NE,23.88,44.25,0.0,0.0,7.6706,statline_mc+recal_10_4b,4.517153789487494,23.26410291688109,24.498,188.61724958239836,1.19175,1.64775,7.467919656571268,0.07275,0.0,0.0,0.0,0.0,FLEX,showdown,84.52868852459017,44.46820499141228,True,ACTIVE
00-0038543,Jaxon Smith-Njigba,WR,SEA,15900,43782097,12.08355,12.08355,1.0,1.0790781744238591,13.03906782435084,NE,23.88,44.25,0.0,0.0,11.9487,statline_mc+recal_10_4b,2.384730003004613,28.752626547373765,0.0,0.0,0.0,0.09025,0.5263957690813362,0.0025,4.744,2.8915,40.55572305992427,0.233,CPT,showdown,64.2827868852459,2.440464921474546,True,ACTIVE
00-0039165,Zach Charbonnet,RB,SEA,12300,43782102,11.3718,11.3718,1.0,1.0790781744238591,0.0,NE,23.88,44.25,0.0,0.0,10.58235,statline_mc+recal_10_4b,2.396082090680118,26.61254331531226,0.0,0.0,0.0,7.00225,31.35803560983435,0.2175,2.277,1.72625,14.306345695771247,0.06725,CPT,showdown,75.34836065573771,5.103331086711768,True,OUT
00-0031492,Jason Myers,K,SEA,8100,43782112,12.232499999999998,12.232499999999998,1.0,1.0,12.232499999999998,NE,0.0,0.0,,,7.3818,kicker_session_13_1,3.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,showdown,55.63524590163933,1.371199398921558,True,ACTIVE
00-0040200,Andy Borregales,K,NE,7500,43782114,11.9931,11.9931,1.0,1.0,11.9931,SEA,0.0,0.0,,,7.2894,kicker_session_13_1,3.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,showdown,54.979508196721305,1.3125476026443037,True,ACTIVE
DST_SEA,Seahawks,DST,SEA,6600,43782117,11.44041651,11.44041651,1.0654778823991724,1.1242098654967383,11.44041651,NE,23.88,44.25,,,8.72835,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,showdown,76.41393442622952,5.479050021224141,True,ACTIVE
00-0039851,Drake Maye,QB,NE,10000,43782035,12.2127,12.2127,1.0,0.920921825576141,11.24698034696642,SEA,20.38,44.25,0.0,0.0,7.5694,statline_mc+recal_10_4b,3.661921150160961,20.430208179847764,24.47825,162.7690647900718,1.0215,1.81925,7.364677553635477,0.07,0.0,0.0,0.0,0.0,FLEX,showdown,75.02049180327869,23.5916929825644,True,ACTIVE
00-0036875,Rhamondre Stevenson,RB,NE,12600,43782101,12.18255,12.18255,1.0,0.920921825576141,11.219137444684131,SEA,20.38,44.25,0.0,0.0,10.46055,statline_mc+recal_10_4b,2.1187312129975853,24.09632963863721,0.0,0.0,0.0,7.729,29.84023972919143,0.21375,2.083,1.58,11.531509902036106,0.0555,CPT,showdown,56.57786885245901,1.460132756296268,True,ACTIVE
00-0041512,Jadarian Price,RB,SEA,10800,43782106,10.27395,10.27395,1.0,1.0790781744238591,11.086418623259862,NE,23.88,44.25,0.0,0.0,10.53375,statline_mc+recal_10_4b,1.85942065967927,24.60476925027321,0.0,0.0,0.0,6.375,29.390627100709622,0.20925,1.911,1.437,12.508830387689455,0.0575,CPT,showdown,73.29918032786885,4.451679581074326,True,ACTIVE
00-0035676,A.J. Brown,WR,NE,14400,43782099,11.0376,11.0376,1.0,0.920921825576141,10.164755146739903,SEA,20.38,44.25,0.0,0.0,10.24065,statline_mc+recal_10_4b,1.830183639833937,21.633154686128847,0.0,0.0,0.0,0.08775,0.494257531673501,0.0025,4.1275,2.55275,29.123276779925853,0.18225,CPT,showdown,46.16803278688524,0.7294520008713179,True,ACTIVE
00-0040734,TreVeyon Henderson,RB,NE,11400,43782104,10.9224,10.9224,1.0,0.920921825576141,10.05861990812794,SEA,20.38,44.25,0.0,0.0,9.98085,statline_mc+recal_10_4b,1.6604820079151577,22.362449354652185,0.0,0.0,0.0,7.12325,26.89536580969074,0.20475,1.83375,1.38225,9.81460024449552,0.0525,CPT,showdown,52.643442622950815,1.1232567503272497,True,QUESTIONABLE
DST_NE,Patriots,DST,NE,5100,43782121,10.034297698499998,10.034297698499998,0.9345221176008276,0.9594387378066804,10.034297698499998,SEA,20.38,44.25,,,8.941500000000001,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,showdown,64.1188524590164,2.4139383914466106,True,ACTIVE
00-0037545,Rashid Shaheed,WR,SEA,9600,43782108,9.12015,9.12015,1.0,1.0790781744238591,9.841398766468163,NE,23.88,44.25,0.0,0.0,10.398,statline_mc+recal_10_4b,1.6402372477898464,21.701026140984247,0.0,0.0,0.0,0.0925,0.7673993985798129,0.00375,3.6085,2.21375,30.06442571120793,0.17825,CPT,showdown,70.75819672131148,3.757983655824849,True,ACTIVE
00-0038543,Jaxon Smith-Njigba,WR,SEA,10600,43782034,8.0557,8.0557,1.0,1.0790781744238591,8.69271188290056,NE,23.88,44.25,0.0,0.0,7.9658,statline_mc+recal_10_4b,1.589820002003075,19.168417698249176,0.0,0.0,0.0,0.09025,0.5263957690813362,0.0025,4.744,2.8915,40.55572305992427,0.233,FLEX,showdown,77.47950819672131,27.79424775594875,True,ACTIVE
00-0033908,Cooper Kupp,WR,SEA,7800,43782113,7.73775,7.73775,1.0,1.0790781744238591,8.349620916277901,NE,23.88,44.25,0.0,0.0,9.7707,statline_mc+recal_10_4b,0.8856008808025579,19.221983019803695,0.0,0.0,0.0,0.074,0.4430143918352723,0.002,3.0465,1.86575,25.611125050017407,0.15675,CPT,showdown,69.20081967213115,3.3873822152699917,True,ACTIVE
00-0039165,Zach Charbonnet,RB,SEA,8200,43782039,7.5812,7.5812,1.0,1.0790781744238591,0.0,NE,23.88,44.25,0.0,0.0,7.0549,statline_mc+recal_10_4b,1.597388060453412,17.741695543541507,0.0,0.0,0.0,7.00225,31.35803560983435,0.2175,2.277,1.72625,14.306345695771247,0.06725,FLEX,showdown,79.36475409836066,31.51652918199961,True,OUT
00-0031492,Jason Myers,K,SEA,5400,43782049,8.155,8.155,1.0,1.0,8.155,NE,0.0,0.0,,,4.9212,kicker_session_13_1,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,55.63524590163933,6.478862345775948,True,ACTIVE
00-0037816,Romeo Doubs,WR,NE,9900,43782107,8.849400000000001,8.849400000000001,1.0,0.920921825576141,8.149608683517613,SEA,20.38,44.25,0.0,0.0,9.5232,statline_mc+recal_10_4b,0.7851426913862779,17.8591637639932,0.0,0.0,0.0,0.102,0.6206254964755223,0.00275,3.289,2.027,23.28759906030856,0.14775,CPT,showdown,47.88934426229508,0.818151614200203,True,ACTIVE
00-0040200,Andy Borregales,K,NE,5000,43782051,7.9954,7.9954,1.0,1.0,7.9954,SEA,0.0,0.0,,,4.8596,kicker_session_13_1,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,54.979508196721305,6.201734952989976,True,ACTIVE
DST_SEA,Seahawks,DST,SEA,4400,43782054,7.62694434,7.62694434,1.0654778823991724,1.1242098654967383,7.62694434,NE,23.88,44.25,,,5.8189,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,76.41393442622952,25.888292323531516,True,ACTIVE
00-0036875,Rhamondre Stevenson,RB,NE,8400,43782038,8.1217,8.1217,1.0,0.920921825576141,7.479424963122754,SEA,20.38,44.25,0.0,0.0,6.9737,statline_mc+recal_10_4b,1.4124874753317234,16.064219759091475,0.0,0.0,0.0,7.729,29.84023972919143,0.21375,2.083,1.58,11.531509902036106,0.0555,FLEX,showdown,68.62704918032787,15.404584341091446,True,ACTIVE
00-0039793,AJ Barner,TE,SEA,6900,43782116,6.9270000000000005,6.9270000000000005,1.0,1.0790781744238591,7.474720459592767,NE,23.88,44.25,0.0,0.0,8.585249999999998,statline_mc+recal_10_4b,0.4426814695941758,16.796314552801732,0.0,0.0,0.0,0.0,0.0,0.0,2.68325,1.7655,21.65896973061845,0.1625,CPT,showdown,67.80737704918033,3.0868811367913054,True,ACTIVE
00-0041512,Jadarian Price,RB,SEA,7200,43782043,6.8493,6.8493,1.0,1.0790781744238591,7.390945748839908,NE,23.88,44.25,0.0,0.0,7.0225,statline_mc+recal_10_4b,1.2396137731195134,16.40317950018214,0.0,0.0,0.0,6.375,29.390627100709622,0.20925,1.911,1.437,12.508830387689455,0.0575,FLEX,showdown,77.3155737704918,27.492139357989625,True,ACTIVE
