player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,sigma,dst_p10,dst_p90,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available
00-0037744,Trey McBride,TE,ARI,11400,43716749,27.873529411764714,25.9755,1.0312886580299652,1.0,27.766946639137476,CAR,0.0,0.0,0.0,0.0,0.0,CPT,showdown,67.89583333333333,6.148678574505373,True
00-0039150,Bryce Young,QB,CAR,11400,43716744,20.44125,22.7784,1.0400384303979038,1.0,22.47504847417338,ARI,0.0,0.0,0.0,0.0,0.0,CPT,showdown,67.0625,5.816400718817512,True
00-0038559,Michael Wilson,WR,ARI,11400,43716759,19.46470588235294,29.811,0.8647810592275972,1.0,21.30634856356436,CAR,0.0,0.0,0.0,0.0,0.0,CPT,showdown,66.22916666666667,5.502079334921542,True
00-0033119,Jacoby Brissett,QB,ARI,11400,43716743,24.36857142857143,23.5521,0.8475616769546165,1.0,20.30786231839559,CAR,0.0,0.0,0.0,0.0,0.0,CPT,showdown,65.39583333333333,5.204744045545269,True
00-0037744,Trey McBride,TE,ARI,7600,43716690,18.582352941176477,17.317,1.0312886580299652,1.0,18.511297759424984,CAR,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,67.89583333333333,30.743392872526865,True
00-0033553,James Conner,RB,ARI,11400,43716765,16.65,15.515625,1.0994897617548982,1.0,17.6828876839737,CAR,0.0,0.0,0.0,0.0,0.0,CPT,showdown,64.5625,4.923476913119654,True
00-0040124,Tetairoa McMillan,WR,CAR,11400,43716747,18.82941176470588,15.080999999999998,0.9815399007789108,1.0,16.64221109945071,ARI,0.0,0.0,0.0,0.0,0.0,CPT,showdown,63.729166666666664,4.65740960590939,True
00-0039150,Bryce Young,QB,CAR,7600,43716685,13.6275,15.1856,1.0400384303979038,1.0,14.98336564944892,ARI,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,67.0625,29.08200359408756,True
00-0039921,Trey Benson,RB,ARI,11400,43716772,13.275000000000002,13.638586956521738,1.0994897617548982,1.0,14.795606655397915,CAR,0.0,0.0,0.0,0.0,0.0,CPT,showdown,62.895833333333336,4.405720717287314,True
00-0039491,Jalen Coker,WR,CAR,11400,43716760,12.327272727272728,17.0355,0.9815399007789108,1.0,14.410366514660492,ARI,0.0,0.0,0.0,0.0,0.0,CPT,showdown,62.0625,4.1676332298766425,True
00-0038559,Michael Wilson,WR,ARI,7600,43716700,12.976470588235294,19.874,0.8647810592275972,1.0,14.204232375709573,CAR,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,66.22916666666667,27.510396674607712,True
DST_CAR,Panthers,DST,CAR,11400,43716753,14.090976249750002,14.090976249750002,1.1303106424582612,1.2805122398316509,14.090976249750002,ARI,0.0,0.0,9.163667095333981,4.074651249750001,26.57465124975,CPT,showdown,61.229166666666664,3.942412116732294,True
00-0033119,Jacoby Brissett,QB,ARI,7600,43716684,16.245714285714286,15.7014,0.8475616769546165,1.0,13.538574878930392,CAR,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,65.39583333333333,26.02372022772634,True
00-0040279,Ryan Fitzgerald,K,CAR,11400,43716751,12.103124999999999,12.103124999999999,1.0,1.0,12.103124999999999,ARI,0.0,0.0,7.295014639896538,3.0,22.5,CPT,showdown,60.395833333333336,3.729362072155682,True
00-0036555,Chuba Hubbard,RB,CAR,11400,43716745,12.540000000000003,7.6245,1.1940378460178651,1.0,12.038588073013623,ARI,0.0,0.0,0.0,0.0,0.0,CPT,showdown,59.56250000000001,3.527825365137422,True
00-0033553,James Conner,RB,ARI,7600,43716706,11.1,10.34375,1.0994897617548982,1.0,11.7885917893158,CAR,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,64.5625,24.617384565598268,True
