player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available
00-0034857,Josh Allen,QB,BUF,17100,44138479,33.08745,33.08745,1.3245316681534345,1.2808271917280827,56.13271280645694,DET,29.11,53.67,1.0,1.0,12.94635,statline_mc+recal_10_4b,25.498412750311292,91.05298659037939,32.5615,501.4756165950379,2.71775,3.89125,27.187838738364444,0.364,0.0,0.0,0.0,0.0,CPT,showdown,87.58152173913042,17.566269629046875,True
00-0039139,Jahmyr Gibbs,RB,DET,18000,44138478,25.700400000000002,25.700400000000002,1.4594376429436298,1.080629193708063,40.53227765646262,BUF,24.56,53.67,1.0,1.0,15.95205,statline_mc+recal_10_4b,8.59184316680241,83.42322092007552,0.0,0.0,0.0,16.377,118.99580247834707,0.99325,4.05075,3.159,36.30188189807036,0.18025,CPT,showdown,75.86222826086956,8.042132891147928,True
00-0034857,Josh Allen,QB,BUF,11400,44138433,22.0583,22.0583,1.3245316681534345,1.2808271917280827,37.42180853763796,DET,29.11,53.67,1.0,1.0,8.6309,statline_mc+recal_10_4b,16.99894183354086,60.70199106025293,32.5615,501.4756165950379,2.71775,3.89125,27.187838738364444,0.364,0.0,0.0,0.0,0.0,FLEX,showdown,87.58152173913042,77.44418530770626,True
00-0034827,DJ Moore,WR,BUF,11700,44138483,13.438950000000002,13.438950000000002,1.8073953677366923,1.2808271917280827,31.110519233667972,DET,29.11,53.67,1.0,1.0,16.045650000000002,statline_mc+recal_10_4b,4.770600172298746,68.55883599646317,0.0,0.0,0.0,0.0825,0.9764463012841501,0.0055,5.947,3.6255,116.51451525650235,0.715,CPT,showdown,82.79891304347825,12.7705276048173,True
00-0038933,Dalton Kincaid,TE,BUF,10200,44138485,11.443349999999999,11.443349999999999,2.0758782201405155,1.2808271917280827,30.42591057019692,DET,29.11,53.67,1.0,1.0,13.598849999999999,statline_mc+recal_10_4b,4.891864431667766,66.6908237452767,0.0,0.0,0.0,0.0,0.0,0.0,4.8345,3.3305,117.11440380131279,0.697,CPT,showdown,81.92934782608694,12.051257009760958,True
00-0036963,Amon-Ra St. Brown,WR,DET,15600,44138480,20.33445,20.33445,1.300284437220642,1.080629193708063,28.57249098359698,BUF,24.56,53.67,1.0,1.0,14.932949999999998,statline_mc+recal_10_4b,6.157303902940367,60.628059644544386,0.0,0.0,0.0,0.07175,0.5958493222203332,0.00325,8.58325,5.4705,85.91992390175949,0.69275,CPT,showdown,70.23641304347825,5.526971327659097,True
00-0039139,Jahmyr Gibbs,RB,DET,12000,44138432,17.1336,17.1336,1.4594376429436298,1.080629193708063,27.021518437641745,BUF,24.56,53.67,1.0,1.0,10.6347,statline_mc+recal_10_4b,5.727895444534939,55.61548061338368,0.0,0.0,0.0,16.377,118.99580247834707,0.99325,4.05075,3.159,36.30188189807036,0.18025,FLEX,showdown,78.51005434782608,42.30024993089606,True
00-0037248,James Cook III,RB,BUF,14100,44138482,17.720399999999998,17.720399999999998,1.0762814475985472,1.2808271917280827,24.428214406701763,DET,29.11,53.67,1.0,1.0,13.348499999999998,statline_mc+recal_10_4b,4.998403384920957,52.39254486201391,0.0,0.0,0.0,12.051,68.13693492914572,0.44125,3.42725,2.5615,27.01282778219937,0.13325,CPT,showdown,71.05978260869564,5.838834993347812,True
00-0037261,Khalil Shakir,WR,BUF,9600,44138486,10.497,10.497,1.8073953677366923,1.2808271917280827,24.300267389355035,DET,29.11,53.67,1.0,1.0,15.22755,statline_mc+recal_10_4b,3.2710800908882165,56.690126461305304,0.0,0.0,0.0,0.07525,0.864582241531481,0.00375,4.89025,3.036,91.62720035416875,0.5195,CPT,showdown,78.01630434782608,9.284064217921797,True
00-0033106,Jared Goff,QB,DET,14400,44138481,22.639499999999998,22.639499999999998,0.9397323818019626,1.080629193708063,22.99042568605816,BUF,24.56,53.67,1.0,1.0,11.7699,statline_mc+recal_10_4b,8.326666373143652,41.25877758999104,32.32975,205.87730779337218,1.53225,2.023,8.108581456372162,0.08075,0.0,0.0,0.0,0.0,CPT,showdown,55.407608695652165,2.0565977270817095,True
