player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available,injury_raw_status,injury_status
00-0038134,Kenneth Walker III,RB,KC,15900,44191069,25.51095,25.51095,1.1366608368088251,1.1749300369644275,34.06981780397427,IND,26.17,46.33,1.0,1.0,15.214199999999998,statline_mc+recal_10_4b,6.731380161759324,71.46192194580337,0.0,0.0,0.0,14.61625,106.4050096215498,0.61825,4.13175,2.9815,30.527109071611964,0.1965,CPT,showdown,87.38425925925927,11.93025981425136,True,,ACTIVE
00-0033873,Patrick Mahomes,QB,KC,15000,44191070,24.1248,24.1248,1.0850026761819804,1.1749300369644275,30.754444417893787,IND,26.17,46.33,1.0,1.0,12.13155,statline_mc+recal_10_4b,12.249336482778675,52.3668568361664,28.12575,252.86201804072124,1.77725,3.7745,19.11982223633673,0.22225,0.0,0.0,0.0,0.0,CPT,showdown,88.0173611111111,12.4445752395349,True,,ACTIVE
00-0038134,Kenneth Walker III,RB,KC,10600,44191015,17.0073,17.0073,1.1366608368088251,1.1749300369644275,22.71321186931618,IND,26.17,46.33,1.0,1.0,10.1428,statline_mc+recal_10_4b,4.487586774506216,47.64128129720224,0.0,0.0,0.0,14.61625,106.4050096215498,0.61825,4.13175,2.9815,30.527109071611964,0.1965,FLEX,showdown,87.38425925925927,58.603080006278056,True,,ACTIVE
00-0033873,Patrick Mahomes,QB,KC,10000,44191016,16.0832,16.0832,1.0850026761819804,1.1749300369644275,20.502962945262524,IND,26.17,46.33,1.0,1.0,8.0877,statline_mc+recal_10_4b,8.166224321852452,34.9112378907776,28.12575,252.86201804072124,1.77725,3.7745,19.11982223633673,0.22225,0.0,0.0,0.0,0.0,FLEX,showdown,88.0173611111111,61.12946823969688,True,,ACTIVE
00-0036223,Jonathan Taylor,RB,IND,16500,44191068,21.651,21.651,0.900739943495224,0.9055536433157244,17.660087742176486,KC,20.17,46.33,1.0,1.0,12.065549999999998,statline_mc+recal_10_4b,3.672851574463099,39.35401916098065,0.0,0.0,0.0,12.71525,45.66257156925628,0.4005,3.2115,2.415,15.546346711920284,0.083,CPT,showdown,69.72986111111112,3.6770769796744847,True,,ACTIVE
00-0035710,Daniel Jones,QB,IND,13800,44191072,17.60145,17.60145,0.8621159678858163,0.9055536433157244,13.74126118290527,KC,20.17,46.33,1.0,1.0,11.14935,statline_mc+recal_10_4b,4.062032333049219,25.677291015642066,27.80275,136.59108355919517,0.91,1.4865,4.80947446235708,0.043,0.0,0.0,0.0,0.0,CPT,showdown,62.93981481481481,2.338356622276584,True,,ACTIVE
00-0033303,Harrison Butker,K,KC,7500,44191083,12.44325,12.44325,1.0,1.0,12.44325,IND,0.0,0.0,,,7.45815,kicker_session_13_1,3.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,showdown,53.125,1.2154658231025002,True,,ACTIVE
00-0039576,Spencer Shrader,K,IND,6900,44191084,11.9931,11.9931,1.0,1.0,11.9931,KC,0.0,0.0,,,7.2894,kicker_session_13_1,3.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,showdown,52.93981481481482,1.2005523202800272,True,,ACTIVE
00-0030506,Travis Kelce,TE,KC,9300,44191076,10.2456,10.2456,0.9888524590163934,1.1749300369644275,11.90365172222062,IND,26.17,46.33,1.0,1.0,9.84975,statline_mc+recal_10_4b,1.8199236657941604,26.855236189847105,0.0,0.0,0.0,0.0,0.0,0.0,3.85475,2.533,36.875178148137465,0.246,CPT,showdown,76.64351851851852,5.830067809249714,True,,ACTIVE
00-0039894,Xavier Worthy,WR,KC,8100,44191082,9.5796,9.5796,1.0464039008533117,1.1749300369644275,11.777599646562784,IND,26.17,46.33,1.0,1.0,11.0952,statline_mc+recal_10_4b,1.753958431785441,26.951805016129555,0.0,0.0,0.0,0.06925,0.3964701527955012,0.004,4.1175,2.493,36.29336082428973,0.23425,CPT,showdown,73.68055555555556,4.785056187146652,True,,ACTIVE
00-0036223,Jonathan Taylor,RB,IND,11000,44191014,14.434,14.434,0.900739943495224,0.9055536433157244,11.773391828117658,KC,20.17,46.33,1.0,1.0,8.0437,statline_mc+recal_10_4b,2.4485677163087325,26.2360127739871,0.0,0.0,0.0,12.71525,45.66257156925628,0.4005,3.2115,2.415,15.546346711920284,0.083,FLEX,showdown,73.85856481481481,23.785455777023525,True,,ACTIVE
