player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available,estimated_ownership_pct_heuristic,injury_raw_status,injury_status
00-0026498,Matthew Stafford,QB,LA,15000,44191176,22.81575,22.81575,0.9644246208742194,1.1392244119516848,25.067595724843216,NYG,26.88,47.19,1.0,1.0,11.931,statline_mc+recal_10_4b,9.029843549273702,44.48523699815231,26.41475,224.64921074782376,1.6315,2.0255,9.380120533158577,0.0715,0.0,0.0,0.0,0.0,16.71173048322881,0.0,CPT,showdown,83.0424528301887,16.16356556370079,True,9.28170686538846,,ACTIVE
00-0040691,Jaxson Dart,QB,NYG,14700,44191177,27.0999,27.0999,1.0409277430865298,0.8607755880483153,24.281695102114952,LA,20.31,47.19,1.0,1.0,11.871,statline_mc+recal_10_4b,8.82299190200991,43.63419282837884,28.39725,204.024772574976,1.268,5.31,20.415558317442603,0.2215,0.0,0.0,0.0,0.0,16.1877967347433,0.0,CPT,showdown,70.58962264150944,15.198505730378631,True,4.0465180884871055,,ACTIVE
00-0037840,Kyren Williams,RB,LA,14400,44191178,20.2485,20.2485,1.0204224404681823,1.1392244119516848,23.538632526924967,NYG,26.88,47.19,1.0,1.0,13.12125,statline_mc+recal_10_4b,4.96623760503922,49.33742890492413,0.0,0.0,0.0,10.12575,59.89609256774367,0.5285,3.4935,2.68725,22.470624278422783,0.1715,15.692421684616646,0.0,CPT,showdown,78.0424528301887,16.48617171990406,True,6.650633584618528,,ACTIVE
00-0039075,Puka Nacua,WR,LA,17100,44191175,19.98915,19.98915,0.9898415278342136,1.1392244119516848,0.0,NYG,26.88,47.19,1.0,1.0,13.43775,statline_mc+recal_10_4b,5.499340745725659,47.95203373589251,0.0,0.0,0.0,0.07,0.4704626868377173,0.0015,8.12925,4.89425,70.56138097060216,0.40675,15.02718436574399,0.0,CPT,showdown,42.47641509433962,0.0,True,5.370256367253676,Out,OUT
00-0039337,Malik Nabers,WR,NYG,13500,44191180,21.89535,21.89535,1.1114181227143436,0.8607755880483153,20.9469455986568,LA,20.31,47.19,1.0,1.0,12.68475,statline_mc+recal_10_4b,5.361252517192585,44.61845728849057,0.0,0.0,0.0,0.0675,0.3676314381181265,0.0005,8.4315,5.235,62.17867255292717,0.32475,13.96463039910453,0.0,CPT,showdown,65.02358490566039,15.198505730378631,True,2.739895204625719,,ACTIVE
00-0031381,Davante Adams,WR,LA,13200,44191181,18.5511,18.5511,0.9898415278342136,1.1392244119516848,20.91913962993904,NYG,26.88,47.19,1.0,1.0,13.007549999999998,statline_mc+recal_10_4b,4.835993591826972,46.10636890757817,0.0,0.0,0.0,0.0,0.0,0.0,7.43025,4.48875,59.61093086626022,0.499,13.946093086626025,0.0,CPT,showdown,74.45754716981133,8.00734762528015,True,5.138958799679648,,ACTIVE
00-0040715,Cam Skattebo,RB,NYG,14100,44191179,20.04285,20.04285,0.9877034844611868,0.8607755880483153,17.04027685551919,LA,20.31,47.19,1.0,1.0,12.25845,statline_mc+recal_10_4b,3.250332433402802,36.13777238836956,0.0,0.0,0.0,12.60925,52.73873036209435,0.40875,2.32675,1.735,12.110615341366906,0.05175,11.360184570346126,0.0,CPT,showdown,61.06132075471698,0.9986518040883401,True,2.013236392205676,,ACTIVE
00-0037838,Isaiah Likely,TE,NYG,11100,44191182,21.7755,21.7755,0.906416861826698,0.8607755880483153,16.989741135017695,LA,20.31,47.19,1.0,1.0,10.3233,statline_mc+recal_10_4b,4.345546286185209,34.400681558281754,0.0,0.0,0.0,0.0,0.0,0.0,6.50025,4.65675,44.76494090011797,0.3195,11.326494090011796,0.0,CPT,showdown,62.38207547169811,0.9986518040883401,True,2.2974941850419275,,ACTIVE
00-0026498,Matthew Stafford,QB,LA,10000,44191123,15.2105,15.2105,0.9644246208742194,1.1392244119516848,16.71173048322881,NYG,26.88,47.19,1.0,1.0,7.954,statline_mc+recal_10_4b,6.019895699515801,29.656824665434872,26.41475,224.64921074782376,1.6315,2.0255,9.380120533158577,0.0715,0.0,0.0,0.0,0.0,16.71173048322881,0.0,FLEX,showdown,85.68396226415095,50.69848912613495,True,54.42242647817508,,ACTIVE
00-0040691,Jaxson Dart,QB,NYG,9800,44191124,18.0666,18.0666,1.0409277430865298,0.8607755880483153,16.1877967347433,LA,20.31,47.19,1.0,1.0,7.914,statline_mc+recal_10_4b,5.88199460133994,29.089461885585894,28.39725,204.024772574976,1.268,5.31,20.415558317442603,0.2215,0.0,0.0,0.0,0.0,16.1877967347433,0.0,FLEX,showdown,73.2311320754717,47.3078020479107,True,23.726383127278247,,ACTIVE
