player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available,estimated_ownership_pct_heuristic,injury_raw_status,injury_status
00-0038542,Bijan Robinson,RB,ATL,17700,44225918,34.62585,34.62585,1.0,0.8514851485148516,29.483341193102834,GB,18.92,43.0,2.0,1.0,13.972649999999998,statline_mc+recal_10_4b,8.209298645136723,58.75129805048554,0.0,0.0,0.0,13.084,65.01997713539426,0.33175,6.33725,4.83625,40.65563081862463,0.24875,19.65556079540189,0.0,CPT,showdown,76.10849056603773,15.10273434779136,True,6.2761786041420935,,ACTIVE
00-0036264,Jordan Love,QB,GB,15000,44225919,25.074,25.074,1.0,1.0837083708370836,27.17298299150452,ATL,24.08,43.0,2.0,1.0,12.03615,statline_mc+recal_10_4b,10.29423334425938,47.826108037830686,33.8915,254.7916804213132,1.79175,0.7355,3.1015477748381626,0.063,0.0,0.0,0.0,0.0,18.115321994336345,0.0,CPT,showdown,87.33490566037736,17.60437348277107,True,13.26579563346844,,ACTIVE
00-0038124,Christian Watson,WR,GB,14700,44225920,22.05945,22.05945,1.0,1.0837083708370836,23.906050734573427,ATL,24.08,43.0,2.0,1.0,13.7544,statline_mc+recal_10_4b,5.49631305412627,52.62383070362846,0.0,0.0,0.0,0.02325,0.0806413721996028,0.00025,8.224,4.80725,75.5680301916232,0.48175,15.937367156382283,0.0,CPT,showdown,83.18396226415095,10.75171822852136,True,10.058916005663828,,ACTIVE
00-0039917,Michael Penix Jr.,QB,ATL,13500,44225921,24.01065,24.01065,1.0,0.8514851485148516,20.444677603891066,GB,18.92,43.0,0.0,0.0,11.57595,statline_mc+recal_10_4b,7.273309637886856,36.602977949790464,32.1785,205.53282045949328,1.1965,1.7995,6.414722508809765,0.06875,0.0,0.0,0.0,0.0,13.629785069260707,0.0,CPT,showdown,67.61792452830188,5.722477612351503,True,3.56342997411192,,ACTIVE
00-0038542,Bijan Robinson,RB,ATL,11800,44225865,23.0839,23.0839,1.0,0.8514851485148516,19.65556079540189,GB,18.92,43.0,2.0,1.0,9.3151,statline_mc+recal_10_4b,5.472865763424482,39.16753203365703,0.0,0.0,0.0,13.084,65.01997713539426,0.33175,6.33725,4.83625,40.65563081862463,0.24875,19.65556079540189,0.0,FLEX,showdown,76.10849056603773,58.444795183732225,True,30.660185537160736,,ACTIVE
00-0040667,Matthew Golden,WR,GB,11700,44225927,17.332349999999998,17.332349999999998,1.0,1.0837083708370836,18.78317052861113,ATL,24.08,43.0,2.0,1.0,12.678,statline_mc+recal_10_4b,4.420823639786805,41.49255390604128,0.0,0.0,0.0,0.02675,0.2234819804972175,0.002,7.14575,4.2435,58.93265487691031,0.3135,12.522113685740752,0.0,CPT,showdown,77.99528301886792,9.105961644490481,True,7.117435345593553,,ACTIVE
00-0037238,Drake London,WR,ATL,13200,44225922,21.89085,21.89085,1.0,0.8514851485148516,18.639685107720894,GB,18.92,43.0,2.0,1.0,12.5169,statline_mc+recal_10_4b,4.943605003762252,39.29224957768233,0.0,0.0,0.0,0.59275,2.819054858866083,0.02125,7.29,4.54725,54.11551252593986,0.27225,12.426456738480596,0.0,CPT,showdown,65.8254716981132,8.415223882723161,True,3.162069447009467,,ACTIVE
00-0036264,Jordan Love,QB,GB,10000,44225866,16.716,16.716,1.0,1.0837083708370836,18.115321994336345,ATL,24.08,43.0,2.0,1.0,8.0241,statline_mc+recal_10_4b,6.8628222295062535,31.88407202522046,33.8915,254.7916804213132,1.79175,0.7355,3.1015477748381626,0.063,0.0,0.0,0.0,0.0,18.115321994336345,0.0,FLEX,showdown,87.33490566037736,54.019164875999756,True,64.80563748644249,,ACTIVE
00-0038124,Christian Watson,WR,GB,9800,44225867,14.7063,14.7063,1.0,1.0837083708370836,15.937367156382283,ATL,24.08,43.0,2.0,1.0,9.1696,statline_mc+recal_10_4b,3.664208702750847,35.08255380241897,0.0,0.0,0.0,0.02325,0.0806413721996028,0.00025,8.224,4.80725,75.5680301916232,0.48175,15.937367156382283,0.0,FLEX,showdown,83.18396226415095,53.49686682261965,True,49.13949243458883,,ACTIVE
00-0038996,Tucker Kraft,TE,GB,10500,44225929,13.1802,13.1802,1.0,1.0837083708370836,14.283542478709728,ATL,24.08,43.0,2.0,1.0,9.9975,statline_mc+recal_10_4b,3.0952171735806155,30.64425405209536,0.0,0.0,0.0,0.0,0.0,0.0,5.102,3.278,41.36111652473151,0.30575,9.522361652473151,0.0,CPT,showdown,69.69339622641509,0.8467848607762581,True,4.092222973744844,,ACTIVE
