player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_status
00-0036355,Justin Herbert,QB,LAC,7600,133104-69189,10.224,10.224,1.0,1.2588202713929662,12.870222993291582,ARI,28.41,46.38,0.0,0.0,7.3366,statline_mc+recal_10_4b,4.549766238928963,23.24256557994141,18.82875,170.3146950224033,1.0715,3.06575,16.086351923954503,0.16375,0.0,0.0,0.0,0.0,90.06975945566062,6.142610229840353,,classic,True,ACTIVE
00-0040666,Omarion Hampton,RB,LAC,7300,133104-174215,9.6031,9.6031,1.0,1.2588202713929662,12.088587844852103,ARI,28.41,46.38,0.0,0.0,8.126,statline_mc+recal_10_4b,1.9572964808389133,27.01149543065534,0.0,0.0,0.0,11.8645,61.84125576081329,0.44775,2.5315,1.93375,18.935872687707715,0.08325,90.77855066445184,10.482243521608549,,classic,True,ACTIVE
00-0039139,Jahmyr Gibbs,RB,DET,9100,133104-129368,9.5874,9.5874,1.0,1.2446413735807256,11.932823173920928,NO,28.09,49.19,0.0,0.0,8.1989,statline_mc+recal_10_4b,1.9958395738129917,25.9748349958116,0.0,0.0,0.0,11.4805,60.87770300114912,0.41825,2.721,2.044,18.79052873806014,0.09875,95.58326411960132,14.43992533600384,,classic,True,ACTIVE
00-0032764,Derrick Henry,RB,BAL,8300,133104-39280,9.779,9.779,1.0,1.148047632234838,11.22681196697173,IND,25.91,48.31,0.0,0.0,7.7533,statline_mc+recal_10_4b,1.9466565979399169,24.401533682456392,0.0,0.0,0.0,11.3885,53.22981848433369,0.37925,2.9095,2.19225,20.52205118538361,0.10525,92.14659468438538,11.483206538992118,,classic,True,ACTIVE
00-0036442,Joe Burrow,QB,CIN,8200,133104-63336,9.1664,9.1664,1.0,1.2211575740792024,11.19366382633636,TB,27.56,51.38,0.0,0.0,7.2619,statline_mc+recal_10_4b,3.5638475404615244,20.597539630658694,16.30675,143.9272235028405,0.89025,3.159,16.93074886222741,0.1625,0.0,0.0,0.0,0.0,95.4025044722719,8.764996377914363,,classic,True,ACTIVE
00-0034844,Saquon Barkley,RB,PHI,8100,133104-64401,9.7912,9.7912,1.0,1.136970368319025,11.132285457090868,WAS,25.66,46.69,0.0,0.0,7.8458,statline_mc+recal_10_4b,1.8132130896829848,23.961806543710143,0.0,0.0,0.0,11.9475,57.60317675898384,0.40475,2.38275,1.8055,16.532177811924814,0.0895,88.93853820598008,9.272149551169417,,classic,True,ACTIVE
00-0033106,Jared Goff,QB,DET,7800,133104-38435,8.5322,8.5322,1.0,1.2446413735807256,10.61956840219125,NO,28.09,49.19,0.0,0.0,7.205,statline_mc+recal_10_4b,3.3265582064308687,19.47694955137365,15.66275,138.88253355743794,0.85875,2.67325,14.822670598937334,0.1405,0.0,0.0,0.0,0.0,93.4788685152057,7.710042562524092,,classic,True,ACTIVE
00-0039361,Bucky Irving,RB,TB,7900,133104-152664,9.9327,9.9327,1.0,1.0549986153420106,10.478933103372084,CIN,23.81,51.38,0.0,0.0,7.638,statline_mc+recal_10_4b,1.7544048606703246,23.516742109391675,0.0,0.0,0.0,11.35925,50.83628314191509,0.37225,2.68,2.022,17.72304789180575,0.0855,90.35257475083056,10.188751709705109,,classic,True,ACTIVE
00-0034796,Lamar Jackson,QB,BAL,8400,133104-63115,8.9865,8.9865,1.0,1.148047632234838,10.316880320995894,IND,25.91,48.31,0.0,0.0,7.2007,statline_mc+recal_10_4b,3.2435138608395797,18.9546128031218,15.74925,129.45329197259014,0.811,3.60225,17.119986420922856,0.16875,0.0,0.0,0.0,0.0,90.83615512394582,6.464610838216009,,classic,True,ACTIVE
DST_JAX,Jacksonville Jaguars,D,JAX,5000,133104-12554,10.249473366000002,10.249473366000002,1.436911227097935,1.388426916221034,10.249473366000002,CLE,24.0,40.5,,,6.1604,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.92829457364341,15.94392163517763,,classic,True,ACTIVE
