player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_raw_status,injury_status
00-0034857,Josh Allen,QB,BUF,9100,134503-62239,24.6375,24.6375,1.0,1.290924941646278,31.805116486564167,LAC,28.69,50.17,2.0,1.0,8.1619,statline_mc+recal_10_4b,14.39334974632275,51.91665025509823,34.80225,382.3136035300687,2.52275,7.48575,42.38822345361421,0.636,0.0,0.0,0.0,0.0,31.805116486564167,0.0,39.7400016784668,97.97546012269939,14.800822290928581,,classic,True,,ACTIVE
00-0037834,Brock Purdy,QB,SF,8200,134503-85607,20.6483,20.6483,1.0,1.2697769903540592,26.218683077967704,ARI,28.22,47.83,2.0,1.0,7.9724,statline_mc+recal_10_4b,11.297197575428024,44.01171448812656,33.25675,345.32538592310834,2.4985,3.7325,23.13167641043369,0.2265,0.0,0.0,0.0,0.0,26.218683077967704,0.0,25.290000915527344,93.67886142186936,10.889323700573122,,classic,True,,ACTIVE
00-0034796,Lamar Jackson,QB,BAL,8600,134503-63115,20.6287,20.6287,1.0,1.2562782980398777,25.915385288300552,DAL,27.92,52.5,2.0,1.0,7.921,statline_mc+recal_10_4b,11.354941976638653,42.779954735367646,35.43575,391.31987760145824,1.908,4.28125,25.283401842422272,0.24475,0.0,0.0,0.0,0.0,25.915385288300552,0.0,21.8799991607666,94.8302959220498,11.82277970152637,,classic,True,,ACTIVE
00-0033873,Patrick Mahomes,QB,KC,8100,134503-57439,19.6879,19.6879,1.0,1.2747265108692594,25.096736921209377,MIA,28.33,45.89,2.0,1.0,7.9121,statline_mc+recal_10_4b,10.695951420575025,41.87605597481876,35.31225,337.6381622146103,2.41275,3.47875,19.024604326249666,0.21,0.0,0.0,0.0,0.0,25.096736921209377,0.0,27.31999969482422,91.95943251533741,9.630801788134296,,classic,True,,ACTIVE
00-0038134,Kenneth Walker III,RB,KC,8300,134503-103342,18.4941,18.4941,1.0,1.2747265108692594,23.5749070034018,MIA,28.33,45.89,2.0,1.0,10.794,statline_mc+recal_10_4b,4.933425131526976,48.41630351032912,0.0,0.0,0.0,17.41825,117.75422691323992,0.613,6.239,4.35075,46.68609312077805,0.24875,23.5749070034018,0.0,29.700000762939453,92.46605388476554,18.96522394872224,,classic,True,,ACTIVE
00-0033106,Jared Goff,QB,DET,7900,134503-38435,19.102,19.102,1.0,1.2162321775078038,23.23241860569176,NYJ,27.03,47.5,2.0,1.0,7.8474,statline_mc+recal_10_4b,9.617146297883547,38.85947310329057,36.0085,302.98043154613663,2.51225,2.61375,12.502013438462953,0.138,0.0,0.0,0.0,0.0,23.23241860569176,0.0,24.61000061035156,88.20579213280404,7.365812121900052,,classic,True,,ACTIVE
00-0033077,Dak Prescott,QB,DAL,8300,134503-31716,20.3254,20.3254,1.0,1.1059928569419837,22.479801653503277,BAL,24.58,52.5,2.0,1.0,7.8368,statline_mc+recal_10_4b,9.07119744271998,37.85427848397463,35.994,282.516023267803,2.46325,3.33825,16.561607227911534,0.15075,0.0,0.0,0.0,0.0,22.479801653503277,0.0,22.57999992370605,91.66735835438469,9.43196112564599,,classic,True,,ACTIVE
00-0039139,Jahmyr Gibbs,RB,DET,9200,134503-129368,17.4242,17.4242,1.0,1.2162321775078038,21.191846430666462,NYJ,27.03,47.5,2.0,1.0,10.0627,statline_mc+recal_10_4b,4.307141155652335,44.19162565031481,0.0,0.0,0.0,17.71875,95.59676670521829,0.741,5.3835,4.181,39.44669760144632,0.226,21.191846430666462,0.0,27.200000762939453,93.3242551160496,20.50410843138225,,classic,True,,ACTIVE
00-0040743,Tyler Shough,QB,NO,7500,134503-88431,18.6129,18.6129,1.0,1.0497483056328916,19.538909098233415,LV,23.33,43.56,2.0,1.0,7.7036,statline_mc+recal_10_4b,7.878760460134715,33.74867957035848,35.355,270.8468514630096,1.65,5.306,21.040350397130386,0.24975,0.0,0.0,0.0,0.0,19.538909098233415,0.0,25.290000915527344,78.74621075424034,3.7477847323645808,,classic,True,,ACTIVE
00-0036971,Trevor Lawrence,QB,JAX,7700,134503-89951,17.2985,17.2985,1.0,1.09879355437442,19.00744718603761,NE,24.42,45.89,2.0,1.0,7.6582,statline_mc+recal_10_4b,7.406657967482291,32.01193988931108,31.9685,275.9714997391306,1.89075,2.07975,9.113371964723829,0.092,0.0,0.0,0.0,0.0,19.00744718603761,0.0,16.6299991607666,81.79565138939012,4.659844673041696,,classic,True,,ACTIVE
00-0039150,Bryce Young,QB,CAR,7600,134503-119606,18.9567,18.9567,1.0,1.0025028825332545,19.00418705737736,CLE,22.28,42.11,2.0,1.0,7.6453,statline_mc+recal_10_4b,7.799632631817591,32.28971109703057,32.843,267.84146407984935,1.94075,2.199,8.922784941833905,0.1085,0.0,0.0,0.0,0.0,19.00418705737736,0.0,29.76000022888184,72.1419613857813,2.338320249829895,,classic,True,,ACTIVE
00-0036963,Amon-Ra St. Brown,WR,DET,9000,134503-86997,15.3053,15.3053,1.0,1.2162321775078038,18.61482656387768,NYJ,27.03,47.5,2.0,1.0,9.199,statline_mc+recal_10_4b,3.6211893355007714,40.88940299171161,0.0,0.0,0.0,0.15775,1.2732017293103433,0.0075,10.78675,7.003,98.78006390946648,0.8565,18.61482656387768,0.0,28.700000762939453,93.17190022602519,11.017935720397276,,classic,True,,ACTIVE
