team,position,matchup_factor
WAS,QB,1.3667448615372757
KC,QB,1.2145143809519223
SF,QB,1.1655897611283181
IND,QB,1.1544607203240833
ATL,QB,1.1422835150119701
MIA,QB,1.1024224353447238
DAL,QB,1.0862375422083708
TEN,QB,1.0825689664307976
CLE,QB,1.0735670830101973
JAX,QB,1.069728951209291
HOU,QB,1.06024922808657
TB,QB,1.0550238197311188
BAL,QB,1.049613441168395
DET,QB,1.0490585305465774
CHI,QB,1.035709847255071
NYJ,QB,1.0285268375393182
MIN,QB,1.0175673527584161
PHI,QB,1.0072244353350899
SEA,QB,0.9980067533393383
CIN,QB,0.9947697747120675
PIT,QB,0.9683190350720853
NO,QB,0.9353018530739254
GB,QB,0.9213982591606013
LV,QB,0.9186545344193909
LA,QB,0.9122730622684861
CAR,QB,0.8950091762563763
NYG,QB,0.8818146348042637
LAC,QB,0.8341693922476289
ARI,QB,0.811279329097644
DEN,QB,0.8085664327243124
NE,QB,0.7439501736504159
BUF,QB,0.6153958795959558
NYJ,RB,1.6574467655740621
DET,RB,1.2426888086165744
SEA,RB,1.2257814778870972
CIN,RB,1.1698933568646588
ATL,RB,1.1576238008838924
LAC,RB,1.140188116069119
PHI,RB,1.1393662319364362
NYG,RB,1.129503622344241
SF,RB,1.0630484196158791
MIN,RB,1.0535380460805484
BAL,RB,1.0440276725452173
NE,RB,1.0402704879386668
LV,RB,1.0355740071804787
HOU,RB,1.0327561187255658
MIA,RB,1.0045772341764372
KC,RB,1.0003504014940678
WAS,RB,0.9901355558450088
JAX,RB,0.9684730383478661
LA,RB,0.9665357400351136
CHI,RB,0.930842486272884
TB,RB,0.9283181278653578
DAL,RB,0.9114107971358805
GB,RB,0.908299378633581
DEN,RB,0.8970278248139294
TEN,RB,0.8843473267668216
CLE,RB,0.8810597902360898
ARI,RB,0.8247020211378324
NO,RB,0.8099668127590174
PIT,RB,0.772982026788286
CAR,RB,0.7702228443428504
IND,RB,0.7659960116604811
BUF,RB,0.6530456494260569
PHI,TE,1.5281738816694943
BAL,TE,1.4350953791144976
LV,TE,1.3280713169432468
LAC,TE,1.3183418567458605
HOU,TE,1.3102339732480384
IND,TE,1.2920723142129171
KC,TE,1.260073200674846
NYJ,TE,1.2074260104956551
TB,TE,1.202561280396962
NYG,TE,1.1395143783178978
WAS,TE,1.1237526527981319
LA,TE,1.1225634965517848
JAX,TE,1.1149961386204843
DAL,TE,1.0955372182257113
MIA,TE,1.0646191558206832
SEA,TE,1.0575923234559041
GB,TE,1.0310633286510307
ATL,TE,1.0256796940084767
PIT,TE,0.9330552329293581
CAR,TE,0.8985697017852884
CLE,TE,0.8561924973700052
DET,TE,0.8250582247383687
CIN,TE,0.8120856111418535
SF,TE,0.7511143272382319
BUF,TE,0.7394389750013682
NO,TE,0.7034399722710384
MIN,TE,0.6791163217775723
TEN,TE,0.6754407479252263
CHI,TE,0.6564142479836708
DEN,TE,0.6200909299134281
ARI,TE,0.6105776799426502
NE,TE,0.5820379300303168
TEN,WR,1.3245826383905674
WAS,WR,1.2070013681590523
MIA,WR,1.1889119419695888
NO,WR,1.1757737164828446
IND,WR,1.1602183693931978
MIN,WR,1.1277041852509286
CHI,WR,1.122168197063636
JAX,WR,1.110862305695221
DAL,WR,1.099634385991416
PIT,WR,1.0663014993707443
TB,WR,1.0329686127500728
CIN,WR,1.0252962009524726
NYG,WR,1.0163762425211162
ATL,WR,1.0115653908146942
HOU,WR,1.0080176800749503
CLE,WR,1.003963153515243
ARI,WR,1.0036512668568038
SEA,WR,0.9992848536386574
LA,WR,0.9774527875479252
DEN,WR,0.9621703412844126
DET,WR,0.95823277222162
SF,WR,0.9495311344511709
NE,WR,0.946576008362461
BAL,WR,0.9389347852307048
KC,WR,0.9249310742667922
GB,WR,0.8888769765512402
NYJ,WR,0.8885494955598792
CAR,WR,0.8328621326955902
PHI,WR,0.8230688916206044
LV,WR,0.7873578692293354
BUF,WR,0.7256043108584072
LAC,WR,0.7115694112286506
