team,position,matchup_factor
KC,QB,1.4890280677337047
WAS,QB,1.4504291347715148
IND,QB,1.297942141365941
CLE,QB,1.1942340192862115
ATL,QB,1.1719654041157173
MIA,QB,1.167935845180104
DAL,QB,1.1327302250057991
SF,QB,1.1185207277065314
TB,QB,1.114915332869404
TEN,QB,1.1032508201610498
SEA,QB,1.097736686880737
PIT,QB,1.0784372203996422
HOU,QB,1.068257282035988
JAX,QB,1.057229015475362
LA,QB,1.0449282566192797
GB,QB,1.0228717234980285
BAL,QB,0.9766378367630979
NYG,QB,0.9526725651986613
CAR,QB,0.9259502269940683
DET,QB,0.9077111707591876
CIN,QB,0.9015607913311462
PHI,QB,0.8996520528879611
MIN,QB,0.8884117042780927
LV,QB,0.8752626172250392
ARI,QB,0.8565993968916724
LAC,QB,0.8389965868045202
NYJ,QB,0.8345428637704212
CHI,QB,0.8033668025317295
NO,QB,0.7342280544785765
NE,QB,0.7225635417702224
DEN,QB,0.7026278291413991
BUF,QB,0.5688040560691919
NYJ,RB,1.3932012361388837
MIA,RB,1.327273829000788
DET,RB,1.3107919772162637
SEA,RB,1.3078834151366419
JAX,RB,1.2642549839423136
LAC,RB,1.2245046355208142
NYG,RB,1.19735805611101
BAL,RB,1.1963885354178028
LV,RB,1.1702114767012057
KC,RB,1.1372477731321577
ATL,RB,1.135308731745743
MIN,RB,1.1343392110525359
WAS,RB,1.1256135248136703
PHI,RB,1.0839241350057565
LA,RB,1.0364176210385991
SF,RB,1.029630976186148
HOU,RB,1.018966248560868
CIN,RB,1.0044234381627584
TEN,RB,1.000545355389929
GB,RB,0.918136096467309
NE,RB,0.9035932860691995
TB,RB,0.8977761619099557
CHI,RB,0.8842028722050537
NO,RB,0.8754771859661878
DAL,RB,0.7940374477367752
ARI,RB,0.7872508028843241
IND,RB,0.7552566200084834
CLE,RB,0.7261709992122645
PIT,RB,0.6864206507907653
DEN,RB,0.5710476882990971
BUF,RB,0.5565048779009877
CAR,RB,0.5458401502757074
HOU,TE,1.6730332188965717
NYG,TE,1.6064987186306272
LAC,TE,1.5782602388665925
BAL,TE,1.5086311106813015
IND,TE,1.4699482616894732
KC,TE,1.4331995551472367
TB,TE,1.3442290024660315
JAX,TE,1.270731589381558
DAL,TE,1.247521879986461
PHI,TE,1.2417194526376867
NYJ,TE,1.2359170252889125
LV,TE,1.1836951791499444
GB,TE,1.1357284464000774
MIA,TE,1.079251486872008
LA,TE,1.0773173444224167
SEA,TE,1.0212272133842655
WAS,TE,0.9438615154006091
CLE,TE,0.8993762390600067
CAR,TE,0.8800348145640926
ATL,TE,0.8645616749673612
DET,TE,0.8046032590300276
BUF,TE,0.7465789855422852
MIN,TE,0.7349741308447366
PIT,TE,0.6634108602098545
NO,TE,0.6634108602098544
CHI,TE,0.6247280112180262
SF,TE,0.6247280112180262
NE,TE,0.605386586722112
CIN,TE,0.5667037377302838
DEN,TE,0.4583917605531647
TEN,TE,0.42164305401092794
ARI,TE,0.3906967748174654
TEN,WR,1.3102659633332103
PIT,WR,1.244687086289506
TB,WR,1.2400965648964468
WAS,WR,1.2105860702267799
MIA,WR,1.1902566183432315
SEA,WR,1.1751734766231794
DAL,WR,1.1732061103118685
IND,WR,1.1653366450666238
ARI,WR,1.1141851209725349
ATL,WR,1.101725134334231
CHI,WR,1.09975776802292
NO,WR,1.07090306212369
KC,WR,1.0531967653218897
LA,WR,1.0486062439288304
CIN,WR,1.044278038043946
DEN,WR,1.0348346797496526
SF,WR,1.0158168054069783
MIN,WR,1.0007336636869264
NYG,WR,1.000602505932839
CLE,WR,0.9987662973756153
JAX,WR,0.9922084096712447
GB,WR,0.9285968989388517
DET,WR,0.9036769256622442
BAL,WR,0.8905611502535034
NE,WR,0.8610506555838364
HOU,WR,0.794160200999258
CAR,WR,0.7882581020653247
PHI,WR,0.7692402277226504
LV,WR,0.7397297330529835
NYJ,WR,0.6885782089588943
LAC,WR,0.6846434763362721
BUF,WR,0.6662813907640348
