cash_player_name,cash_position,cash_team,cash_salary,cash_final_projection,cash_estimated_ownership_pct,cash_roster_role,pivot_rank,pivot_player_name,pivot_team,pivot_salary,pivot_final_projection,pivot_estimated_ownership_pct,pivot_roster_role,salary_diff,salary_diff_pct,projection_diff,projection_diff_pct,ownership_edge_pts,outprojects_cash_player,leverage_score,lineup_salary_after_swap,site_salary_cap
Colston Loveland,TE,CHI,5300,13.505518520006872,5.154819756908224,,1,Tyler Warren,IND,4900,10.140454798234742,4.575372973215326,,-400,-0.8,-3.3650637217721293,-24.91621270806578,0.579446783692898,False,0.43507059053792974,49600,50000
Bucky Irving,RB,TB,5700,14.23817673828412,9.405230229543688,,1,Tony Pollard,TEN,5600,11.692587827302509,1.8278660480070263,,-100,-0.2,-2.5455889109816106,-17.878615765015333,7.577364181536662,False,6.222636354403823,49900,50000
Jahmyr Gibbs,RB,DET,8000,21.55786485950851,15.891834421654776,,1,Bijan Robinson,ATL,7700,16.323836890118272,3.050986379401752,,-300,-0.6,-5.234027969390237,-24.278971983079618,12.840848042253024,False,9.723222143684586,49700,50000
Jahmyr Gibbs,RB,DET,8000,21.55786485950851,15.891834421654776,,2,Jonathan Taylor,IND,7300,16.912575705542235,8.285202689278075,,-700,-1.4000000000000001,-4.645289153966274,-21.548002013369057,7.606631732376702,False,5.9675545735346,49300,50000
Jaguars,DST,JAX,3400,10.556215308000002,16.403835472430664,,1,Raiders,LV,2900,8.827313620500002,3.841463305315572,,-500,-1.0,-1.7289016875000005,-16.378044943719143,12.562372167115093,False,10.50490120758772,49500,50000
Jaguars,DST,JAX,3400,10.556215308000002,16.403835472430664,,2,Steelers,PIT,3300,8.1234767205,3.913422516621947,,-100,-0.2,-2.432738587500003,-23.04555673145808,12.490412955808717,False,9.611927752084428,49900,50000
Jaguars,DST,JAX,3400,10.556215308000002,16.403835472430664,,3,Packers,GB,3000,8.466474447000001,4.546141652225365,,-400,-0.8,-2.089740861000001,-19.796307673037855,11.857693820205299,False,9.510308268630663,49600,50000
Jared Goff,QB,DET,6000,19.445198538789608,8.963057459277678,,1,Trevor Lawrence,JAX,5800,15.202048762047482,2.7186809634358204,,-200,-0.4,-4.243149776742126,-21.82106687302688,6.244376495841857,False,4.881786924880633,49800,50000
Jared Goff,QB,DET,6000,19.445198538789608,8.963057459277678,,2,Baker Mayfield,TB,5900,17.17147437691107,6.179996934199286,,-100,-0.2,-2.273724161878537,-11.692985069516642,2.783060525078392,False,2.4576376734053644,49900,50000
Zay Flowers,WR,BAL,6400,12.727754992880843,9.183752665635568,,1,Tetairoa McMillan,CAR,6100,10.044263353424313,3.284942047438844,,-300,-0.6,-2.6834916394565305,-21.083778254354502,5.898810618196724,False,4.655118467811809,49700,50000
Zay Flowers,WR,BAL,6400,12.727754992880843,9.183752665635568,,2,Josh Downs,IND,5200,9.899119381737354,5.084356583375073,,-1200,-2.4,-2.82863561114349,-22.224151963371874,4.099396082260495,False,3.1883400673584092,48800,50000
Titans,DST,TEN,3100,10.185882520500002,5.663000071656208,,1,Dolphins,MIA,2700,7.8468524505,1.535262682524256,,-400,-0.8,-2.3390300700000015,-22.963450297924542,4.127737389131952,False,3.1798664653497886,49600,50000
Titans,DST,TEN,3100,10.185882520500002,5.663000071656208,,2,Raiders,LV,2900,8.827313620500002,3.841463305315572,,-200,-0.4,-1.3585688999999999,-13.337763294105917,1.8215367663406363,False,1.578584504131011,49800,50000
Titans,DST,TEN,3100,10.185882520500002,5.663000071656208,,3,Packers,GB,3000,8.466474447000001,4.546141652225365,,-100,-0.2,-1.7194080735000004,-16.880305364209114,1.1168584194308435,False,0.9283293077450377,49900,50000
Justin Herbert,QB,LAC,6100,19.356887649851966,7.243408140589609,,1,Trevor Lawrence,JAX,5800,15.202048762047482,2.7186809634358204,,-300,-0.6,-4.154838887804484,-21.464395325124794,4.524727177153789,False,3.55352184846614,49700,50000
Justin Herbert,QB,LAC,6100,19.356887649851966,7.243408140589609,,2,Baker Mayfield,TB,5900,17.17147437691107,6.179996934199286,,-200,-0.4,-2.1854132729408953,-11.290106717944443,1.063411206390323,False,0.943350946338275,49800,50000
Jameson Williams,WR,DET,6000,11.71470591365948,10.643591671757845,,1,Michael Wilson,ARI,5300,9.38502944867851,2.199117587613259,,-700,-1.4000000000000001,-2.3296764649809703,-19.886768666250006,8.444474084144586,False,6.765141057949318,49300,50000
Jameson Williams,WR,DET,6000,11.71470591365948,10.643591671757845,,2,Jakobi Meyers,JAX,5000,9.52175609123392,3.488710692717762,,-1000,-2.0,-2.192949822425561,-18.71963187627746,7.154880979040083,False,5.815513598577983,49000,50000
Jameson Williams,WR,DET,6000,11.71470591365948,10.643591671757845,,3,Josh Downs,IND,5200,9.899119381737354,5.084356583375073,,-800,-1.6,-1.8155865319221274,-15.498353482396283,5.5592350883827715,False,4.697645183467804,49200,50000
Jets,DST,NYJ,2500,8.199343791,3.273693523217056,,1,Browns,CLE,2100,6.2308101915,2.1702275292486264,,-400,-0.8,-1.9685335995000006,-24.008428597185535,1.1034659939684297,False,0.8385411487122956,49600,50000
Elic Ayomanor,WR,TEN,3600,5.742709554660948,1.0262129527678023,,1,Chimere Dike,TEN,3400,5.083383296864166,0.8891459407557671,,-200,-0.4,-0.6593262577967822,-11.48110054184534,0.1370670120120352,False,0.1213302105532302,49700,50000
Xavier Hutchinson,WR,HOU,3200,5.238905386073338,1.7995798904396407,,1,Chimere Dike,TEN,3400,5.083383296864166,0.8891459407557671,,200,0.4,-0.155522089209172,-2.9685989295129995,0.9104339496838736,False,0.8834068171996352,50000,50000
Tre Tucker,WR,LV,4000,6.94502553666818,1.6649381690028904,,1,Adonai Mitchell,NYJ,4000,5.58715116522483,0.8953230781975955,,0,0.0,-1.3578743714433505,-19.551754911109796,0.7696150908052949,False,0.6191418344921286,49700,50000
