cash_player_name,cash_position,cash_team,cash_salary,cash_final_projection,cash_estimated_ownership_pct,cash_roster_role,pivot_rank,pivot_player_name,pivot_team,pivot_salary,pivot_final_projection,pivot_estimated_ownership_pct,pivot_roster_role,salary_diff,salary_diff_pct,projection_diff,projection_diff_pct,ownership_edge_pts,outprojects_cash_player,leverage_score,lineup_salary_after_swap,site_salary_cap
Justin Herbert,QB,LAC,6000,14.738993805134593,7.941403260380364,,1,Jacoby Brissett,ARI,5000,9.178368859969552,1.1524495299319657,,-1000,-2.0,-5.56062494516504,-37.72730363200164,6.788953730448398,False,4.2276645431260285,49000,50000
Justin Herbert,QB,LAC,6000,14.738993805134593,7.941403260380364,,2,Drew Lock,SEA,4900,9.72316908792591,1.7984754694156957,,-1100,-2.1999999999999997,-5.015824717208682,-34.03098463520169,6.142927790964668,False,4.052428978269948,48900,50000
Jaguars,DST,JAX,2400,6.458902452,12.59258690708072,,1,Dolphins,MIA,2000,4.8525993315,0.7147124615336324,,-400,-0.8,-1.6063031205000007,-24.869598704074075,11.877874445547087,False,8.923894736365764,49600,50000
Dak Prescott,QB,DAL,6400,18.04061858994765,23.690268324438133,,1,Trevor Lawrence,JAX,5800,14.0155929772825,5.588799447847672,,-600,-1.2,-4.025025612665148,-22.310906871607603,18.10146887659046,False,14.062867013141327,49400,50000
Dak Prescott,QB,DAL,6400,18.04061858994765,23.690268324438133,,2,Justin Herbert,LAC,6000,14.738993805134593,7.941403260380364,,-400,-0.8,-3.3016247848130558,-18.301061952791038,15.74886506405777,False,12.866655511823094,49600,50000
Dak Prescott,QB,DAL,6400,18.04061858994765,23.690268324438133,,3,Bo Nix,DEN,5700,11.12737788872167,6.165240042024641,,-700,-1.4000000000000001,-6.913240701225979,-38.32041937341374,17.52502828241349,False,10.809363949283274,49300,50000
Parker Washington,WR,JAX,5900,7.585041482677298,7.475985598834507,,1,Michael Wilson,ARI,5400,6.692696479449268,3.363540438738568,,-500,-1.0,-0.89234500322803,-11.764536888373858,4.112445160095939,False,3.628635032222307,49500,50000
Parker Washington,WR,JAX,5900,7.585041482677298,7.475985598834507,,2,Kendrick Bourne,ARI,3900,6.602023658955133,3.363540438738566,,-2000,-4.0,-0.9830178237221645,-12.959953165281673,4.112445160095941,False,3.579474193399614,48000,50000
Parker Washington,WR,JAX,5900,7.585041482677298,7.475985598834507,,3,Caleb Douglas,MIA,3700,5.754522816788583,2.9839359978613214,,-2200,-4.3999999999999995,-1.8305186658887145,-24.13327165143723,4.492049600973186,False,3.407971068053025,47800,50000
Deebo Samuel Sr.,WR,SF,5300,8.607987207441598,15.16516151082697,,1,Kendrick Bourne,ARI,3900,6.602023658955133,3.363540438738566,,-1400,-2.8000000000000003,-2.0059635484864646,-23.303514516753822,11.801621072088404,False,9.051428592342004,48600,50000
Deebo Samuel Sr.,WR,SF,5300,8.607987207441598,15.16516151082697,,2,Malik Washington,MIA,4000,6.097613210943218,3.387791445895677,,-1300,-2.6,-2.5103739964983793,-29.163310028251004,11.777370064931294,False,8.342699119720953,48700,50000
Deebo Samuel Sr.,WR,SF,5300,8.607987207441598,15.16516151082697,,3,Caleb Douglas,MIA,3700,5.754522816788583,2.9839359978613214,,-1600,-3.2,-2.8534643906530146,-33.149031497005446,12.181225512965648,False,8.143267230951402,48400,50000
Ladd McConkey,WR,LAC,6200,9.339195217177757,9.879650899112354,,1,Michael Wilson,ARI,5400,6.692696479449268,3.363540438738568,,-800,-1.6,-2.646498737728489,-28.337545968208637,6.5161104603737865,False,4.669604663326114,49200,50000
