cash_player_name,cash_position,cash_team,cash_salary,cash_final_projection,cash_estimated_ownership_pct,cash_roster_role,pivot_rank,pivot_player_name,pivot_team,pivot_salary,pivot_final_projection,pivot_estimated_ownership_pct,pivot_roster_role,salary_diff,salary_diff_pct,projection_diff,projection_diff_pct,ownership_edge_pts,outprojects_cash_player,leverage_score,lineup_salary_after_swap,site_salary_cap
Patrick Mahomes,QB,KC,6200,22.438414956295745,23.058922950014612,,1,Sam Darnold,SEA,5400,15.635146267588627,0.7379869605569797,,-800,-1.6,-6.803268688707117,-30.31973827901005,22.32093598945763,False,15.553286616028714,49200,50000
Patrick Mahomes,QB,KC,6200,22.438414956295745,23.058922950014612,,2,Drake Maye,NE,6100,15.510773785812123,1.3304875400662803,,-100,-0.2,-6.927641170483621,-30.874022001896673,21.728435409948332,False,15.019993480812976,49900,50000
Patrick Mahomes,QB,KC,6200,22.438414956295745,23.058922950014612,,3,Justin Herbert,LAC,5800,15.017513473006032,1.248216989210361,,-400,-0.8,-7.420901483289713,-33.07230701341302,21.81070596080425,False,14.597402323654295,49600,50000
Titans,DST,TEN,2400,7.544775474,7.944016855615089,,1,Dolphins,MIA,2000,4.8321389565,0.8635533238775237,,-400,-0.8,-2.7126365175,-35.95384020171307,7.080463531737566,False,4.534764987996072,49600,50000
Titans,DST,TEN,2400,7.544775474,7.944016855615089,,2,Commanders,WAS,2300,6.28965423,2.595454885552747,,-100,-0.2,-1.2551212439999997,-16.635634132854776,5.348561970062343,False,4.458794769353761,49900,50000
Titans,DST,TEN,2400,7.544775474,7.944016855615089,,3,Chargers,LAC,2200,4.8945021795,1.3848055658611362,,-200,-0.4,-2.6502732945,-35.12726526631692,6.559211289753954,False,4.255139740623875,49800,50000
Kenneth Walker III,RB,KC,7400,23.608762467682244,53.86142268306921,,1,Omarion Hampton,LAC,6800,14.99194133912,4.757127212825096,,-600,-1.2,-8.616821128562243,-36.49840240613081,49.10429547024411,False,31.18201211081895,49400,50000
Kenneth Walker III,RB,KC,7400,23.608762467682244,53.86142268306921,,2,Breece Hall,NYJ,6400,14.88502323608136,14.099640786821986,,-1000,-2.0,-8.723739231600884,-36.95127706732917,39.76178189624722,False,25.06929570085778,49000,50000
Kenneth Walker III,RB,KC,7400,23.608762467682244,53.86142268306921,,3,De'Von Achane,MIA,6500,14.495344446658285,15.856390799702467,,-900,-1.7999999999999998,-9.113418021023959,-38.60184553722038,38.00503188336674,False,23.334388179378152,49100,50000
Chase Brown,RB,CIN,6600,16.785914411436668,23.249546728948708,,1,David Montgomery,HOU,6000,12.340779385272276,1.3374864351273803,,-600,-1.2,-4.445135026164392,-26.481339754334797,21.912060293821327,False,16.10945316023981,49400,50000
