cash_player_name,cash_position,cash_team,cash_salary,cash_final_projection,cash_estimated_ownership_pct,cash_roster_role,pivot_rank,pivot_player_name,pivot_team,pivot_salary,pivot_final_projection,pivot_estimated_ownership_pct,pivot_roster_role,salary_diff,salary_diff_pct,projection_diff,projection_diff_pct,ownership_edge_pts,outprojects_cash_player,leverage_score,lineup_salary_after_swap,site_salary_cap
Rashee Rice,WR,KC,9400,13.88616098589834,46.166726844752354,FLEX,1,Courtland Sutton,DEN,8000,8.608763772379149,13.57210951685206,FLEX,-1400,-2.8000000000000003,-5.2773972135191904,-38.004724407836605,32.594617327900295,False,20.207122840642832,48600,50000
Patrick Mahomes,QB,KC,9600,14.980853545909236,63.9106882837267,FLEX,1,Bo Nix,DEN,9800,13.387237099642368,23.559569066666832,FLEX,200,0.4,-1.5936164462668678,-10.637687908657451,40.35111921705987,False,36.05869308709873,49700,50000
RJ Harvey,RB,DEN,7400,9.221921542682878,16.377291392387505,FLEX,1,J.K. Dobbins,DEN,6400,6.467132926885509,9.434569526204356,FLEX,-1000,-2.0,-2.754788615797369,-29.872175804652695,6.942721866183149,False,4.868779784688854,48400,50000
Kenneth Walker III,RB,KC,10600,9.131729134858467,28.086517122484665,FLEX,1,J.K. Dobbins,DEN,6400,6.467132926885509,9.434569526204356,FLEX,-4200,-8.4,-2.6645962079729584,-29.179536193221274,18.65194759628031,False,13.20939579668303,43900,50000
Kenneth Walker III,RB,KC,10600,9.131729134858467,28.086517122484665,FLEX,2,RJ Harvey,DEN,7400,9.221921542682878,16.377291392387505,FLEX,-3200,-6.4,0.09019240782441074,0.9876815934029414,11.70922573009716,True,11.70922573009716,44900,50000
Courtland Sutton,WR,DEN,8000,8.608763772379149,13.57210951685206,FLEX,1,Jaylen Waddle,DEN,9000,5.661522617877957,9.320901397165883,FLEX,1000,2.0,-2.9472411545011914,-34.23535866969993,4.251208119686176,False,2.7957917721162073,49100,50000
Kenneth Walker III,RB,KC,15900,13.6975937022877,5.296473732479985,CPT,1,J.K. Dobbins,DEN,9600,9.700699390328264,1.7791436885848009,CPT,-6300,-12.6,-3.9968943119594353,-29.17953619322126,3.5173300438951838,False,2.4909894507017434,39200,50000
Xavier Worthy,WR,KC,6600,3.6974566841077943,13.16700245610938,FLEX,1,Pat Bryant,DEN,3200,3.6960020275350463,6.71931767675104,FLEX,-3400,-6.800000000000001,-0.0014546565727480143,-0.039342085574669186,6.447684779358339,False,6.4451481256948595,42100,50000
Xavier Worthy,WR,KC,6600,3.6974566841077943,13.16700245610938,FLEX,2,Troy Franklin,DEN,2800,3.7065153322991167,8.010427968586852,FLEX,-3800,-7.6,0.009058648191322405,0.24499673600661206,5.156574487522528,True,5.156574487522528,41700,50000
Xavier Worthy,WR,KC,6600,3.6974566841077943,13.16700245610938,FLEX,3,Marvin Mims Jr.,DEN,3000,3.7501155545749314,8.108114911210622,FLEX,-3600,-7.199999999999999,0.05265887046713713,1.4241916800127126,5.058887544898758,True,5.058887544898758,41900,50000
Noah Gray,TE,KC,2000,2.568642754411925,13.327573678833186,FLEX,1,Adam Trautman,DEN,1600,1.616788376722041,5.24094468089372,FLEX,-400,-0.8,-0.951854377689884,-37.05670537699219,8.086628997939467,False,5.089990715242624,33400,50000
