cash_player_name,cash_position,cash_team,cash_salary,cash_final_projection,cash_estimated_ownership_pct,cash_roster_role,pivot_rank,pivot_player_name,pivot_team,pivot_salary,pivot_final_projection,pivot_estimated_ownership_pct,pivot_roster_role,salary_diff,salary_diff_pct,projection_diff,projection_diff_pct,ownership_edge_pts,outprojects_cash_player,leverage_score,lineup_salary_after_swap,site_salary_cap
Xavier Worthy,WR,KC,5400,7.851733097708522,23.50485529534864,FLEX,1,Keenan Allen,IND,5600,6.240665685902251,10.535366888433884,FLEX,200,0.4,-1.6110674118062702,-20.518621707562247,12.969488406914756,False,10.308328143293776,50000,50000
Chiefs,DST,KC,4200,7.375036203,24.54275956483891,FLEX,1,Colts,IND,3200,6.322963720500001,10.79873751291075,FLEX,-1000,-2.0,-1.052072482499999,-14.26531956645907,13.74402205192816,False,11.783393384936003,48700,50000
Alec Pierce,WR,IND,7600,7.038500011250097,12.836192711776668,FLEX,1,Josh Downs,IND,6600,5.515501451901275,8.973215146794901,FLEX,-1000,-2.0,-1.5229985593488218,-21.638112622213725,3.862977564981767,False,3.027102128900163,47400,50000
Rashee Rice,WR,KC,9400,7.008447262910007,16.738322237588974,FLEX,1,Josh Downs,IND,6600,5.515501451901275,8.973215146794901,FLEX,-2800,-5.6000000000000005,-1.492945811008732,-21.3020909625685,7.765107090794073,False,6.110976914972263,45600,50000
Rashee Rice,WR,KC,9400,7.008447262910007,16.738322237588974,FLEX,2,Keenan Allen,IND,5600,6.240665685902251,10.535366888433884,FLEX,-3800,-7.6,-0.7677815770077556,-10.955088170114328,6.20295534915509,False,5.523416121502327,44600,50000
Rashee Rice,WR,KC,9400,7.008447262910007,16.738322237588974,FLEX,3,Alec Pierce,IND,7600,7.038500011250097,12.836192711776668,FLEX,-1800,-3.5999999999999996,0.030052748340089863,0.42880751203101064,3.902129525812306,True,3.902129525812306,46600,50000
Travis Kelce,TE,KC,6200,7.935767814813747,28.63809636897893,FLEX,1,Tyler Warren,IND,7200,6.788696764195914,12.44606537701131,FLEX,1000,2.0,-1.147071050617833,-14.45444319170463,16.19203099196762,False,13.851563070650453,47900,50000
Travis Kelce,TE,KC,9300,11.90365172222062,5.830067809249714,CPT,1,Tyler Warren,IND,10800,10.183045146293871,1.6447633811392792,CPT,1500,3.0,-1.7206065759267481,-14.454443191704621,4.185304428110435,False,3.5803419771493137,44600,50000
Noah Gray,TE,KC,3000,2.2349998968705003,6.713501099930201,FLEX,1,Pharaoh Brown,IND,200,1.3953346301168863,1.5738160958067544,FLEX,-2800,-5.6000000000000005,-0.839665266753614,-37.56891747195752,5.1396850041234465,False,3.2087609866057325,38300,50000
Noah Gray,TE,KC,3000,2.2349998968705003,6.713501099930201,FLEX,2,Kenny Fletcher Jr.,IND,200,1.430199642746723,2.014592385106479,FLEX,-2800,-5.6000000000000005,-0.8048002541237773,-36.00896157761249,4.698908714823721,False,3.0068804811357626,38300,50000
Noah Gray,TE,KC,3000,2.2349998968705003,6.713501099930201,FLEX,3,Drew Ogletree,IND,600,1.4800312883914404,2.2793120723580382,FLEX,-2400,-4.8,-0.7549686084790599,-33.779357642753574,4.434189027572163,False,2.9363484573928256,38700,50000
Andrew Armstrong,WR,KC,200,1.8926894577701097,9.25448447999005,FLEX,1,Laquon Treadwell,IND,2000,1.3834335041524346,1.4796046287592783,FLEX,1800,3.5999999999999996,-0.5092559536176751,-26.90647171552696,7.774879851230771,False,5.682934003143159,31200,50000
Andrew Armstrong,WR,KC,200,1.8926894577701097,9.25448447999005,FLEX,2,Anthony Gould,IND,200,1.427663830228464,1.7806172868335002,FLEX,0,0.0,-0.46502562754164556,-24.569568221166087,7.473867193156549,False,5.6375702943745996,29400,50000
Andrew Armstrong,WR,KC,200,1.8926894577701097,9.25448447999005,FLEX,3,Deion Burks,IND,1000,1.4995414285683686,2.5788162218842614,FLEX,800,1.6,-0.3931480292017411,-20.77192471209367,6.675668258105787,False,5.289003473502918,30200,50000
Cyrus Allen,WR,KC,2800,1.8490751911842271,5.116730444945319,FLEX,1,Laquon Treadwell,IND,2000,1.3834335041524346,1.4796046287592783,FLEX,-800,-1.6,-0.46564168703179254,-25.182409522977572,3.6371258161860407,False,2.7212098982881314,28600,50000
Cyrus Allen,WR,KC,2800,1.8490751911842271,5.116730444945319,FLEX,2,Anthony Gould,IND,200,1.427663830228464,1.7806172868335002,FLEX,-2600,-5.2,-0.42141136095576304,-22.79038532153325,3.336113158111819,False,2.575800114615763,26800,50000
Cyrus Allen,WR,KC,2800,1.8490751911842271,5.116730444945319,FLEX,3,Jalen Royals,KC,1200,1.207058122419798,1.825130429256903,FLEX,-1600,-3.2,-0.6420170687644291,-34.72098224157417,3.291600015688416,False,2.1487241587775885,27800,50000
Omari Evans,WR,KC,200,1.891446227314568,8.700494365165975,FLEX,1,Laquon Treadwell,IND,2000,1.3834335041524346,1.4796046287592783,FLEX,1800,3.5999999999999996,-0.5080127231621334,-26.858428002121858,7.220889736406696,False,5.281472265441296,28000,50000
Omari Evans,WR,KC,200,1.891446227314568,8.700494365165975,FLEX,2,Anthony Gould,IND,200,1.427663830228464,1.7806172868335002,FLEX,0,0.0,-0.4637823970861039,-24.519988482282763,6.919877078332474,False,5.223124015737227,26200,50000
Omari Evans,WR,KC,200,1.891446227314568,8.700494365165975,FLEX,3,Deion Burks,IND,1000,1.4995414285683686,2.5788162218842614,FLEX,800,1.6,-0.39190479874619943,-20.719848816564927,6.121678143281713,False,4.853275686957043,27000,50000
