cash_player_name,cash_position,cash_team,cash_salary,cash_final_projection,cash_estimated_ownership_pct,cash_roster_role,pivot_rank,pivot_player_name,pivot_team,pivot_salary,pivot_final_projection,pivot_estimated_ownership_pct,pivot_roster_role,salary_diff,salary_diff_pct,projection_diff,projection_diff_pct,ownership_edge_pts,outprojects_cash_player,leverage_score,lineup_salary_after_swap,site_salary_cap
Jordan Love,QB,GB,15000,27.252790541207357,23.01821766798522,CPT,1,Michael Penix Jr.,ATL,13500,20.034280581110277,7.933107226077109,CPT,-1500,-3.0,-7.21850996009708,-26.48723237784546,15.08511044190811,False,11.089482184705279,48500,50000
Christian Watson,WR,GB,9800,15.658397376007104,59.85916377757551,FLEX,1,Matthew Golden,GB,7800,11.8623379836661,50.70181404558734,FLEX,-2000,-4.0,-3.7960593923410038,-24.242962425756243,9.15734973198817,False,6.937336877267188,48000,50000
Jordan Love,QB,GB,10000,18.16852702747157,58.67833725510004,FLEX,1,Michael Penix Jr.,ATL,9000,13.356187054073516,46.86856619548297,FLEX,-1000,-2.0,-4.812339973398053,-26.487232377845466,11.80977105961707,False,8.681689555764754,49000,50000
Jahan Dotson,WR,ATL,3000,4.801306112562166,22.07795822727812,FLEX,1,Skyy Moore,GB,2400,2.902397980312994,1.631901594960368,FLEX,-600,-1.2,-1.898908132249172,-39.54982431303135,20.446056632317752,False,12.359677155293186,49000,50000
Jahan Dotson,WR,ATL,3000,4.801306112562166,22.07795822727812,FLEX,2,Olamide Zaccheaus,ATL,2000,3.327076948704758,15.759454620613646,FLEX,-1000,-2.0,-1.4742291638574083,-30.704752608883368,6.318503606664475,False,4.378422705654775,48600,50000
Matthew Golden,WR,GB,11700,17.79350697549915,12.060592731389628,CPT,1,Drake London,ATL,13200,13.96522837590631,0.872682902530773,CPT,1500,3.0,-3.8282785995928386,-21.51503132498953,11.187909828858855,False,8.78082752456829,46600,50000
Drake London,WR,ATL,8800,9.310152250604206,20.4719233560059,FLEX,1,Jayden Reed,GB,6200,5.679841547209633,1.631901594960368,FLEX,-2600,-5.2,-3.6303107033945734,-38.993032612962644,18.84002176104553,False,11.493725931471788,42500,50000
MarShawn Lloyd,RB,GB,7400,6.457415771289081,8.024070309517324,FLEX,1,Chris Brooks,GB,5400,4.828056259732824,1.631901594960368,FLEX,-2000,-4.0,-1.629359511556257,-25.232377304876426,6.392168714556956,False,4.779272586535676,43100,50000
Brian Robinson Jr.,RB,ATL,4400,5.589700455075469,15.759454620613646,FLEX,1,Chris Brooks,GB,5400,4.828056259732824,1.631901594960368,FLEX,1000,2.0,-0.7616441953426456,-13.625849926377892,14.127553025653278,False,12.202553852108302,42000,50000
Olamide Zaccheaus,WR,ATL,2000,3.327076948704758,15.759454620613646,FLEX,1,Zachariah Branch,ATL,3800,3.050028762678065,1.631901594960368,FLEX,1800,3.5999999999999996,-0.2770481860266929,-8.327074795626494,14.127553025653278,False,12.951141118415334,38100,50000
Olamide Zaccheaus,WR,ATL,2000,3.327076948704758,15.759454620613646,FLEX,2,Skyy Moore,GB,2400,2.902397980312994,1.631901594960368,FLEX,400,0.8,-0.4246789683917638,-12.76432661279724,14.127553025653278,False,12.324266015062774,36700,50000
Olamide Zaccheaus,WR,ATL,2000,3.327076948704758,15.759454620613646,FLEX,3,Chris Blair,ATL,1000,2.7469965390156035,5.85567954539636,FLEX,-1000,-2.0,-0.5800804096891543,-17.43513656679872,9.903775075217286,False,8.17703836558458,35300,50000
