cash_player_name,cash_position,cash_team,cash_salary,cash_final_projection,cash_estimated_ownership_pct,pivot_rank,pivot_player_name,pivot_team,pivot_salary,pivot_final_projection,pivot_estimated_ownership_pct,salary_diff,projection_diff,ownership_edge_pts,outprojects_cash_player,leverage_score,lineup_salary_after_swap,site_salary_cap
Daniel Jones,QB,IND,7200,17.263185900357573,32.383018938283435,1,Marcus Mariota,WAS,6000,9.466919651928317,15.646115904257709,-1200,-7.796266248429257,16.736903034025726,False,9.17831257566165,54900,60000
Daniel Jones,QB,IND,7200,17.263185900357573,32.383018938283435,2,Davis Mills,HOU,6000,5.104272022303722,16.590508583492838,-1200,-12.158913878053852,15.792510354790597,False,4.669431774133291,54900,60000
Browns ,DEF,CLE,3800,3.5115113871635613,34.81849293546789,1,Commanders ,WAS,3600,2.0620115310698277,4.42498588641558,-200,-1.4494998560937336,30.393507049052307,False,17.847517804981784,55900,60000
Browns ,DEF,CLE,3800,3.5115113871635613,34.81849293546789,2,Colts ,IND,3700,1.4645982142857144,3.662008984496197,-100,-2.046913172877847,31.15648395097169,False,12.99489756029921,56000,60000
Browns ,DEF,CLE,3800,3.5115113871635613,34.81849293546789,3,Dolphins ,MIA,3500,1.7376396237507348,8.708610649159434,-300,-1.7738717634128265,26.109882286308455,False,12.920238902828808,55800,60000
Jonathan Taylor,RB,IND,9200,26.86551243116205,53.97059621182697,1,Woody Marks,HOU,3600,8.009489266140145,20.06403470484252,-5600,-18.856023165021902,33.90656150698445,False,10.108656633212258,50500,60000
Jonathan Taylor,RB,IND,9200,26.86551243116205,53.97059621182697,2,Nick Chubb,HOU,3600,6.036648020565681,17.50637775698501,-5600,-20.828864410596367,36.46421845484196,False,8.193465608404741,50500,60000
Jonathan Taylor,RB,IND,9200,26.86551243116205,53.97059621182697,3,Dylan Sampson,CLE,3600,4.348636702392672,9.072270834671588,-5600,-22.516875728769378,44.89832537715539,False,7.267551888740243,50500,60000
De'Von Achane,RB,MIA,7400,20.545523824477826,60.16940451001872,1,Woody Marks,HOU,3600,8.009489266140145,20.06403470484252,-3800,-12.53603455833768,40.1053698051762,False,15.63472081380743,52300,60000
De'Von Achane,RB,MIA,7400,20.545523824477826,60.16940451001872,2,Nick Chubb,HOU,3600,6.036648020565681,17.50637775698501,-3800,-14.508875803912144,42.66302675303371,False,12.535172050138137,52300,60000
De'Von Achane,RB,MIA,7400,20.545523824477826,60.16940451001872,3,Dylan Sampson,CLE,3600,4.348636702392672,9.072270834671588,-3800,-16.196887122085155,51.09713367534714,False,10.815147512712615,52300,60000
Michael Pittman Jr.,WR,IND,4400,13.53089583332819,27.146758147325443,1,Deebo Samuel Sr.,WAS,6200,7.553194171911006,12.4387407158014,1800,-5.977701661417184,14.708017431524043,False,8.210285033051466,57900,60000
Michael Pittman Jr.,WR,IND,4400,13.53089583332819,27.146758147325443,2,Josh Downs,IND,4000,9.614816194943238,17.941495598566906,-400,-3.916079638384952,9.205262548758537,False,6.54109739094326,55700,60000
Michael Pittman Jr.,WR,IND,4400,13.53089583332819,27.146758147325443,3,Cedric Tillman,CLE,4600,6.131234719546267,12.850649902499129,200,-7.399661113781923,14.296108244826314,False,6.47797428232147,56300,60000
Jaylen Waddle,WR,MIA,7200,12.526217356251015,47.92216835760334,1,Josh Downs,IND,4000,9.614816194943238,17.941495598566906,-3200,-2.9114011613077775,29.980672759036434,False,23.012426639317898,52900,60000
Jaylen Waddle,WR,MIA,7200,12.526217356251015,47.92216835760334,2,Deebo Samuel Sr.,WAS,6200,7.553194171911006,12.4387407158014,-1000,-4.9730231843400095,35.48342764180194,False,21.396181404255803,55100,60000
Jaylen Waddle,WR,MIA,7200,12.526217356251015,47.92216835760334,3,Cedric Tillman,CLE,4600,6.131234719546267,12.850649902499129,-2600,-6.394982636704748,35.07151845510421,False,17.166532042638902,53500,60000
Nico Collins,WR,HOU,9600,12.251636201487578,38.67453943996727,1,Josh Downs,IND,4000,9.614816194943238,17.941495598566906,-5600,-2.6368200065443403,20.733043841400363,False,16.270839455105616,50500,60000
Nico Collins,WR,HOU,9600,12.251636201487578,38.67453943996727,2,Deebo Samuel Sr.,WAS,6200,7.553194171911006,12.4387407158014,-3400,-4.698442029576572,26.235798724165868,False,16.1744993697037,52700,60000
Nico Collins,WR,HOU,9600,12.251636201487578,38.67453943996727,3,Cedric Tillman,CLE,4600,6.131234719546267,12.850649902499129,-5000,-6.120401481941311,25.82388953746814,False,12.92336186954586,51100,60000
Dalton Schultz,TE,HOU,4200,12.524734334201998,32.515469156309734,1,Zach Ertz,WAS,4000,5.202155943680463,11.491715794054452,-200,-7.322578390521535,21.023753362255285,False,8.732228612088702,55900,60000
Dalton Schultz,TE,HOU,4200,12.524734334201998,32.515469156309734,2,Tyler Warren,IND,5000,4.20867676321868,21.88287908478165,800,-8.316057570983318,10.632590071528085,False,3.5728609943183316,56900,60000
Dalton Schultz,TE,HOU,4200,12.524734334201998,32.515469156309734,3,John Bates,WAS,3000,1.5022567419854187,7.646278069929942,-1200,-11.02247759221658,24.869191086379793,False,2.9828904135089642,54900,60000
Harold Fannin Jr.,TE,CLE,3100,10.386072712159796,16.765493029434303,1,Zach Ertz,WAS,4000,5.202155943680463,11.491715794054452,900,-5.1839167684793335,5.2737772353798515,False,2.641519306769119,57000,60000
Harold Fannin Jr.,TE,CLE,3100,10.386072712159796,16.765493029434303,2,John Bates,WAS,3000,1.5022567419854187,7.646278069929942,-100,-8.883815970174378,9.119214959504362,False,1.3190165844391537,56000,60000
Harold Fannin Jr.,TE,CLE,3100,10.386072712159796,16.765493029434303,3,Ben Sinnott,WAS,3000,0.9716631543364992,6.472434649627571,-100,-9.414409557823298,10.293058379806732,False,0.9629612511169243,56000,60000
