cash_player_name,cash_position,cash_team,cash_salary,cash_final_projection,cash_estimated_ownership_pct,cash_roster_role,pivot_rank,pivot_player_name,pivot_team,pivot_salary,pivot_final_projection,pivot_estimated_ownership_pct,pivot_roster_role,salary_diff,salary_diff_pct,projection_diff,projection_diff_pct,ownership_edge_pts,outprojects_cash_player,leverage_score,lineup_salary_after_swap,site_salary_cap
Jahmyr Gibbs,RB,DET,9100,11.951008643580549,14.720122170665496,,1,Josh Jacobs,GB,7200,9.153505261738252,3.5833572149188258,,-1900,-3.166666666666667,-2.797503381842297,-23.408094373230735,11.13676495574667,False,8.529860504780602,58100,60000
Jahmyr Gibbs,RB,DET,9100,11.951008643580549,14.720122170665496,,2,James Cook III,BUF,7800,9.814985995066229,4.37884340457807,,-1300,-2.166666666666667,-2.13602264851432,-17.87315792514031,10.341278766087425,False,8.49296568074562,58700,60000
Jahmyr Gibbs,RB,DET,9100,11.951008643580549,14.720122170665496,,3,Saquon Barkley,PHI,8100,11.22698400021081,9.20772871531366,,-1000,-1.6666666666666667,-0.7240246433697379,-6.0582722761115715,5.512393455351836,False,5.178437650896067,59000,60000
Joe Burrow,QB,CIN,8200,11.008913025536334,8.550456685660672,,1,C.J. Stroud,HOU,6800,8.899933285914303,1.744224979263781,,-1400,-2.3333333333333335,-2.108979739622031,-19.157020631646652,6.806231706396891,False,5.502360494164763,58600,60000
Joe Burrow,QB,CIN,8200,11.008913025536334,8.550456685660672,,2,Tyler Shough,NO,6900,8.894787801704384,2.408966224465293,,-1300,-2.166666666666667,-2.11412522383195,-19.20375988917356,6.141490461195379,False,4.962093379410921,58700,60000
Joe Burrow,QB,CIN,8200,11.008913025536334,8.550456685660672,,3,Bryce Young,CAR,6800,9.48159931593752,2.9924812441386632,,-1400,-2.3333333333333335,-1.527313709598813,-13.873428794069387,5.557975441522009,False,4.78689367625059,58600,60000
Alec Pierce,WR,IND,6000,6.2930548132285296,3.8620696356200814,,1,Matthew Golden,GB,5600,5.204528096225455,1.829814799129184,,-400,-0.6666666666666667,-1.0885267170030746,-17.297270551575366,2.0322548364908974,False,1.6807302191255915,59600,60000
Alec Pierce,WR,IND,6000,6.2930548132285296,3.8620696356200814,,2,Tank Dell,HOU,5700,4.787217936785612,1.683399397095074,,-300,-0.5,-1.5058368764429177,-23.928551730989568,2.178670238525007,False,1.657346003451877,59700,60000
Alec Pierce,WR,IND,6000,6.2930548132285296,3.8620696356200814,,3,Stefon Diggs,WAS,6000,4.826861866607735,1.762176235053467,,0,0.0,-1.4661929466207946,-23.298588525539838,2.0998934005666143,False,1.610647877693633,60000,60000
Amon-Ra St. Brown,WR,DET,8600,9.79113898920859,10.34623844626462,,1,Justin Jefferson,MIN,8100,7.668307066412672,3.92285078068586,,-500,-0.8333333333333334,-2.1228319227959185,-21.681154001956468,6.42338766557876,False,5.030723093661952,59500,60000
Amon-Ra St. Brown,WR,DET,8600,9.79113898920859,10.34623844626462,,2,Tetairoa McMillan,CAR,6800,7.564527511200275,4.449900482604285,,-1800,-3.0,-2.2266114780083157,-22.741087430812694,5.896337963660335,False,4.5554465921281375,58200,60000
Amon-Ra St. Brown,WR,DET,8600,9.79113898920859,10.34623844626462,,3,DeVonta Smith,PHI,7500,7.573616889946193,5.977417808886106,,-1100,-1.8333333333333333,-2.217522099262398,-22.64825473018475,4.368820637378514,False,3.379359010720147,58900,60000
Chase Brown,RB,CIN,7500,10.4208391302353,13.862390058151195,,1,Josh Jacobs,GB,7200,9.153505261738252,3.5833572149188258,,-300,-0.5,-1.2673338684970492,-12.161533756144195,10.27903284323237,False,9.028944794197518,59700,60000
Chase Brown,RB,CIN,7500,10.4208391302353,13.862390058151195,,2,Bhayshul Tuten,JAX,6700,7.945468691385218,3.917258497878207,,-800,-1.3333333333333335,-2.4753704388500823,-23.75404137722438,9.945131560272989,False,7.582760894426343,59200,60000
Jalen Coker,WR,CAR,5400,4.857648837417612,2.563370462514904,,1,Adonai Mitchell,NYJ,5400,3.834444691937696,0.5883192006313457,,0,0.0,-1.023204145479916,-21.063773437024818,1.9750512618835585,False,1.5590309388153059,60000,60000
Jalen Coker,WR,CAR,5400,4.857648837417612,2.563370462514904,,2,Jahan Dotson,ATL,5400,4.235050948803204,0.9099005803309376,,0,0.0,-0.6225978886144077,-12.816856661573517,1.6534698821839666,False,1.4415470174421592,60000,60000
Jalen Coker,WR,CAR,5400,4.857648837417612,2.563370462514904,,3,Olamide Zaccheaus,ATL,5300,3.733675979335107,0.8148659250440261,,-100,-0.16666666666666669,-1.1239728580825048,-23.13820730359799,1.748504537470878,False,1.343931932878049,59900,60000
