cash_player_name,cash_position,cash_team,cash_salary,cash_final_projection,cash_estimated_ownership_pct,cash_roster_role,pivot_rank,pivot_player_name,pivot_team,pivot_salary,pivot_final_projection,pivot_estimated_ownership_pct,pivot_roster_role,salary_diff,salary_diff_pct,projection_diff,projection_diff_pct,ownership_edge_pts,outprojects_cash_player,leverage_score,lineup_salary_after_swap,site_salary_cap
Jared Goff,QB,DET,7800,16.34662100116356,18.42945216185317,,1,Trevor Lawrence,JAX,7700,12.499692015448227,5.193822205744013,,-100,-0.16666666666666669,-3.8469289857153317,-23.53348123408199,13.235629956109157,False,10.120825464175676,59900,60000
John Metchie III,WR,CAR,4600,5.4702780047501,5.159082122891011,,1,Isaiah Williams,NYJ,4200,4.39844576586245,1.3869414080742286,,-400,-0.6666666666666667,-1.0718322388876507,-19.593743461610693,3.772140714816782,False,3.033037140144614,59600,60000
John Metchie III,WR,CAR,4600,5.4702780047501,5.159082122891011,,2,Kevin Austin Jr.,NO,4100,4.217370885637032,1.8862135411456504,,-500,-0.8333333333333334,-1.2529071191130683,-22.903902105617117,3.27286858174536,False,2.5232539657369037,59500,60000
Jacksonville Jaguars,D,JAX,5000,10.7702308305,22.79420403947917,,1,Pittsburgh Steelers,PIT,4900,8.1499933665,5.756596467784255,,-100,-0.16666666666666669,-2.620237463999999,-24.328517236416154,17.037607571694913,False,12.892610276942174,59900,60000
Derrick Henry,RB,BAL,8300,11.282361101416283,17.237530961809515,,1,Bucky Irving,TB,7900,9.309909775658038,14.740722690478034,,-400,-0.6666666666666667,-1.9724513257582448,-17.48261120192866,2.4968082713314814,False,2.0603009887970027,59600,60000
Kyle Monangai,RB,CHI,5600,8.390727715302223,9.747350578961182,,1,Chris Rodriguez Jr.,JAX,5300,6.53112614106621,1.5050204957007218,,-300,-0.5,-1.859601574236013,-22.162577994810224,8.24233008326046,False,6.415617249968154,59700,60000
Tetairoa McMillan,WR,CAR,6800,7.45903084183674,8.366028451626063,,1,Luther Burden III,CHI,6200,6.223038936991897,5.342402890338991,,-600,-1.0,-1.235991904844843,-16.57040882459319,3.023625561287072,False,2.5225984444569036,59400,60000
Tee Higgins,WR,CIN,7200,7.975206056467905,10.346911457550387,,1,Luther Burden III,CHI,6200,6.223038936991897,5.342402890338991,,-1000,-1.6666666666666667,-1.7521671194760078,-21.970179918486213,5.0045085672113965,False,3.9050090309589964,58600,60000
Sam LaPorta,TE,DET,5800,7.138262257684448,19.334586123028767,,1,Brenton Strange,JAX,5100,6.120620433695353,6.174011670820761,,-700,-1.1666666666666667,-1.017641823989095,-14.25615629201054,13.160574452208007,False,11.284382389374823,58900,60000
Sam LaPorta,TE,DET,5800,7.138262257684448,19.334586123028767,,2,Tyler Warren,IND,5600,5.995920611172529,7.285129963678188,,-200,-0.33333333333333337,-1.1423416465119187,-16.00307757370739,12.04945615935058,False,10.121172342959843,59400,60000
Baker Mayfield,QB,TB,7500,13.269504308421652,11.28015437873213,,1,Aaron Rodgers,PIT,7100,11.66868595880851,4.468784500275188,,-400,-0.6666666666666667,-1.6008183496131423,-12.063889595311887,6.811369878456942,False,5.989653736391567,59200,60000
Baker Mayfield,QB,TB,7500,13.269504308421652,11.28015437873213,,2,Trevor Lawrence,JAX,7700,12.499692015448227,5.193822205744013,,200,0.33333333333333337,-0.769812292973425,-5.8013643545437805,6.086332172988117,False,5.733241867805254,59800,60000
Baker Mayfield,QB,TB,7500,13.269504308421652,11.28015437873213,,3,Tyler Shough,NO,6900,11.546832231392436,4.758262947570599,,-600,-1.0,-1.722672077029216,-12.982188610737339,6.521891431161531,False,5.675207184580624,59000,60000
Bryce Young,QB,CAR,6800,13.458461452654,5.479567078475263,,1,Aaron Rodgers,PIT,7100,11.66868595880851,4.468784500275188,,300,0.5,-1.7897754938454895,-13.298514842441719,1.0107825782000752,False,0.8763635070133231,59800,60000
Bryce Young,QB,CAR,6800,13.458461452654,5.479567078475263,,2,Tyler Shough,NO,6900,11.546832231392436,4.758262947570599,,100,0.16666666666666669,-1.9116292212615633,-14.203920916120701,0.7213041309046639,False,0.6188506625862538,59600,60000
Parker Washington,WR,JAX,6600,7.348653085792208,4.063126764858644,,1,Garrett Wilson,NYJ,6900,5.613772077601208,2.7393732929942742,,300,0.5,-1.7348810081909996,-23.608149519878634,1.3237534718643702,False,1.0112397729520453,59700,60000
