cash_player_name,cash_position,cash_team,cash_salary,cash_final_projection,cash_estimated_ownership_pct,cash_roster_role,pivot_rank,pivot_player_name,pivot_team,pivot_salary,pivot_final_projection,pivot_estimated_ownership_pct,pivot_roster_role,salary_diff,salary_diff_pct,projection_diff,projection_diff_pct,ownership_edge_pts,outprojects_cash_player,leverage_score,lineup_salary_after_swap,site_salary_cap
Javonte Williams,RB,DAL,7400,11.5800738785386,21.302587885848123,,1,Breece Hall,NYJ,7200,10.526549466531495,3.4116710726809423,,-200,-0.33333333333333337,-1.0535244120071052,-9.097734807716611,17.89091681316718,False,16.263248646836047,59800,60000
Javonte Williams,RB,DAL,7400,11.5800738785386,21.302587885848123,,2,Rhamondre Stevenson,NE,6700,10.170969834845229,4.16781966902466,,-700,-1.1666666666666667,-1.4091040436933717,-12.168351069891447,17.134768216823463,False,15.049749465188206,59300,60000
Javonte Williams,RB,DAL,7400,11.5800738785386,21.302587885848123,,3,Bhayshul Tuten,JAX,6400,8.3392822184446,3.120536701073235,,-1000,-1.6666666666666667,-3.2407916600940005,-27.985932508601465,18.18205118477489,False,13.093634611524415,59000,60000
Bucky Irving,RB,TB,7900,11.95774900329084,6.18314806827448,,1,Ashton Jeanty,LV,7700,9.818363641591432,2.1921398616273717,,-200,-0.33333333333333337,-2.139385361699407,-17.891204783698306,3.9910082066471086,False,3.276968755461669,59800,60000
Bucky Irving,RB,TB,7900,11.95774900329084,6.18314806827448,,2,Jadarian Price,SEA,6500,7.3636665995213,1.7171104988893209,,-1400,-2.3333333333333335,-4.594082403769539,-38.41929114338511,4.4660375693851595,False,2.750217593030115,58600,60000
Bucky Irving,RB,TB,7900,11.95774900329084,6.18314806827448,,3,Chuba Hubbard,CAR,6300,7.773547194633433,2.661201269610588,,-1600,-2.666666666666667,-4.184201808657407,-34.99155073004034,3.5219467986638926,False,2.289562997924385,58400,60000
Luther Burden III,WR,CHI,6000,8.505166960824,7.933537214324175,,1,Jalen Coker,CAR,5900,8.638450186966267,3.265387377949439,,-100,-0.16666666666666669,0.1332832261422663,1.567085358302637,4.668149836374736,True,4.668149836374736,59900,60000
Luther Burden III,WR,CHI,6000,8.505166960824,7.933537214324175,,2,Michael Wilson,ARI,6000,5.209908807015576,1.2362687007736015,,0,0.0,-3.295258153808425,-38.74419125440863,6.697268513550573,False,4.1024659918392485,60000,60000
Luther Burden III,WR,CHI,6000,8.505166960824,7.933537214324175,,3,Dontayvion Wicks,PHI,5600,5.416613747879587,1.8076639421605056,,-400,-0.6666666666666667,-3.088553212944414,-36.31384577364238,6.125873272163669,False,3.901333099821375,59600,60000
Carolina Panthers,D,CAR,3300,9.988071615,7.867567986646892,,1,Arizona Cardinals,ARI,3200,6.203884338,1.040936804907453,,-100,-0.16666666666666669,-3.784187277000001,-37.88706592088247,6.826631181739439,False,4.2402209257383,59900,60000
Carolina Panthers,D,CAR,3300,9.988071615,7.867567986646892,,2,Cleveland Browns,CLE,3200,6.691332312,1.984019472191758,,-100,-0.16666666666666669,-3.2967393030000007,-33.00676476977784,5.883548514455135,False,3.9415794961731696,59900,60000
Carolina Panthers,D,CAR,3300,9.988071615,7.867567986646892,,3,Tennessee Titans,TEN,3000,6.291618425999999,2.455927851875717,,-300,-0.5,-3.6964531890000014,-37.00867726507587,5.411640134771176,False,3.408863702546394,59700,60000
Christian McCaffrey,RB,SF,9000,16.29755658498397,19.769981709144307,,1,Bijan Robinson,ATL,8900,17.44849454322304,3.756844783186764,,-100,-0.16666666666666669,1.1509379582390693,7.062027686404878,16.013136925957543,True,16.013136925957543,59900,60000
Christian McCaffrey,RB,SF,9000,16.29755658498397,19.769981709144307,,2,Saquon Barkley,PHI,8300,10.27321091622072,2.778636250026086,,-700,-1.1666666666666667,-6.0243456687632495,-36.96471699514689,16.99134545911822,False,10.71054269648743,59300,60000
Christian McCaffrey,RB,SF,9000,16.29755658498397,19.769981709144307,,3,Ashton Jeanty,LV,7700,9.818363641591432,2.1921398616273717,,-1300,-2.166666666666667,-6.479192943392537,-39.75560943511159,17.577841847516936,False,10.5896636954965,58700,60000
Caleb Williams,QB,CHI,8400,14.918186529301916,9.198563584167328,,1,Bryce Young,CAR,7200,12.432778559131073,2.17382099082837,,-1200,-2.0,-2.4854079701708436,-16.66025535536152,7.024742593338958,False,5.854402539231843,58800,60000
Caleb Williams,QB,CHI,8400,14.918186529301916,9.198563584167328,,2,Trevor Lawrence,JAX,7800,10.675904989639395,1.86565691721144,,-600,-1.0,-4.242281539662521,-28.436978793165924,7.332906666955888,False,5.247649553150993,59400,60000
Caleb Williams,QB,CHI,8400,14.918186529301916,9.198563584167328,,3,Baker Mayfield,TB,7600,12.289012582790663,3.0349628357242406,,-800,-1.3333333333333335,-2.629173946511253,-17.623951418941555,6.163600748443088,False,5.0773307468799596,59200,60000
Rhamondre Stevenson,RB,NE,6700,10.170969834845229,4.16781966902466,,1,Jaylen Warren,PIT,6100,6.1974713430323645,0.8430818897841712,,-600,-1.0,-3.9734984918128644,-39.06705610511064,3.324737779240489,False,2.0258606056767974,59400,60000
Deebo Samuel Sr.,WR,SF,6200,8.548334719391285,7.506082034992664,,1,Jalen Coker,CAR,5900,8.638450186966267,3.265387377949439,,-300,-0.5,0.09011546757498223,1.0541874006239105,4.240694657043225,True,4.240694657043225,59700,60000
Deebo Samuel Sr.,WR,SF,6200,8.548334719391285,7.506082034992664,,2,Michael Wilson,ARI,6000,5.209908807015576,1.2362687007736015,,-200,-0.33333333333333337,-3.338425912375709,-39.05352354538398,6.269813334219062,False,3.821230307488196,59800,60000
