player_id,player_name,team,position,status,raw_status,last_updated,match_method
00-0037263,Tyler Allgeier,ARI,RB,ACTIVE,,,auto_fallback_name_only
00-0041561,Carson Beck,ARI,QB,QUESTIONABLE,Questionable,2026-08-20T21:21Z,auto_fallback_name_only
00-0039921,Trey Benson,ARI,RB,QUESTIONABLE,Questionable,2026-08-21T01:25Z,auto_fallback_name_only
00-0033307,Kendrick Bourne,ARI,WR,ACTIVE,,,auto_fallback_name_only
00-0033119,Jacoby Brissett,ARI,QB,ACTIVE,,,auto_fallback_name_only
00-0038640,Jalen Brooks,ARI,WR,ACTIVE,,,auto_fallback_name_only
00-0033553,James Conner,ARI,RB,QUESTIONABLE,Questionable,2026-08-15T15:51Z,auto_fallback_name_only
00-0036331,Devin Duvernay,ARI,WR,ACTIVE,,,auto_fallback_name_only
00-0040046,Rivaldo Fairweather,ARI,TE,ACTIVE,,,auto_fallback_name_only
00-0036646,Simi Fehoko,ARI,WR,ACTIVE,,,auto_fallback_name_only
00-0040383,Bryson Green,ARI,WR,ACTIVE,,,auto_fallback_name_only
00-0039849,Marvin Harrison Jr.,ARI,WR,ACTIVE,,,auto_fallback_name_only
00-0039041,Elijah Higgins,ARI,TE,QUESTIONABLE,Questionable,2026-08-19T12:07Z,auto_fallback_name_only
00-0038397,Evan Hull,ARI,RB,ACTIVE,,,auto_fallback_name_only
00-0040556,Corey Kiner,ARI,RB,ACTIVE,,,auto_fallback_name_only
00-0037157,Bam Knight,ARI,RB,ACTIVE,,,auto_fallback_name_only
00-0041027,Jeremiyah Love,ARI,RB,QUESTIONABLE,Questionable,2026-08-18T16:23Z,auto_fallback_name_only
00-0037744,Trey McBride,ARI,TE,ACTIVE,,,auto_fallback_name_only
00-0035289,Gardner Minshew II,ARI,QB,ACTIVE,,,auto_fallback_name_only
00-0037277,Teagan Quitoriano,ARI,TE,ACTIVE,,,auto_fallback_name_only
00-0039737,Tip Reiman,ARI,TE,OUT,Out,2026-08-21T01:06Z,auto_fallback_name_only
00-0039577,Kedon Slovis,ARI,QB,ACTIVE,,,auto_fallback_name_only
00-0036635,Ihmir Smith-Marsette,ARI,WR,ACTIVE,,,auto_fallback_name_only
00-0041070,Reggie Virgil,ARI,WR,ACTIVE,,,auto_fallback_name_only
00-0041368,Harrison Wallace III,ARI,WR,ACTIVE,,,auto_fallback_name_only
00-0039521,Xavier Weaver,ARI,WR,QUESTIONABLE,Questionable,2026-08-19T12:07Z,auto_fallback_name_only
00-0038559,Michael Wilson,ARI,WR,ACTIVE,,,auto_fallback_name_only
00-0041366,Jameson Geers,ARI,TE,OUT,Injured Reserve,2026-08-19T12:07Z,auto_fallback_name_only
00-0041185,Vinny Anthony II,ATL,WR,ACTIVE,,,auto_exact
00-0036463,Chris Blair,ATL,WR,ACTIVE,,,auto_exact
00-0041044,Zachariah Branch,ATL,WR,ACTIVE,,,auto_exact
00-0040432,Beaux Collins,ATL,WR,ACTIVE,,,auto_fallback_name_only
00-0037741,Jahan Dotson,ATL,WR,ACTIVE,,,auto_exact
00-0038953,Dylan Drummond,ATL,WR,ACTIVE,,,auto_exact
00-0037120,Tyler Goodson,ATL,RB,ACTIVE,,,auto_exact
00-0032392,Austin Hooper,ATL,TE,ACTIVE,,,auto_exact
00-0041191,Cash Jones,ATL,RB,ACTIVE,,,auto_exact
00-0037238,Drake London,ATL,WR,ACTIVE,,,auto_exact
00-0041266,Keelan Marion,ATL,WR,ACTIVE,,,auto_exact
00-0039917,Michael Penix Jr.,ATL,QB,QUESTIONABLE,Questionable,2026-08-22T20:35Z,auto_exact
00-0036970,Kyle Pitts Sr.,ATL,TE,ACTIVE,,,auto_exact
00-0038542,Bijan Robinson,ATL,RB,ACTIVE,,,auto_exact
