roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,method,recommendation_rank,worst_top25_score,avg_top25_score,score_gap_from_best,n_candidates_in_pool,n_real_stack_in_pool,generated_at_utc
QB,00-0034796,Lamar Jackson,QB,BAL,8600,30.18744189651549,3.51,DAL,134516-63115,8.0626,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.98875,0.991875,0.0,119,112,2026-09-24T00:16:13.223528+00:00
DEF,DST_NO,New Orleans Saints,DEF,NO,3400,7.9394970285,2.34,LV,134516-12542,5.9932,dst_simulated_session_10_4,worst_top25_realstack_v1,1,0.98875,0.991875,0.0,119,112,2026-09-24T00:16:13.223528+00:00
RB1,00-0032764,Derrick Henry,RB,BAL,9000,19.17772612115198,2.13,DAL,134516-39280,9.9829,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.98875,0.991875,0.0,119,112,2026-09-24T00:16:13.223528+00:00
RB2,00-0034975,Justice Hill,RB,BAL,4600,4.136809231429024,0.9,DAL,134516-71521,5.6232,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.98875,0.991875,0.0,119,112,2026-09-24T00:16:13.223528+00:00
WR1,00-0036358,CeeDee Lamb,WR,DAL,8600,15.028589174018816,1.75,BAL,134516-86631,8.6529,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.98875,0.991875,0.0,119,112,2026-09-24T00:16:13.223528+00:00
WR2,00-0037239,Chris Olave,WR,NO,8100,12.896178014709408,1.59,LV,134516-87770,7.8569,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.98875,0.991875,0.0,119,112,2026-09-24T00:16:13.223528+00:00
WR3,00-0035719,Deebo Samuel Sr.,WR,SF,6600,11.39741718748942,1.73,ARI,134516-56018,7.7324,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.98875,0.991875,0.0,119,112,2026-09-24T00:16:13.223528+00:00
TE,00-0034753,Mark Andrews,TE,BAL,5400,11.203773010292236,2.07,DAL,134516-52436,7.0913,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.98875,0.991875,0.0,119,112,2026-09-24T00:16:13.223528+00:00
FLEX,00-0035229,T.J. Hockenson,TE,MIN,5100,7.489058993344205,1.47,TB,134516-71706,5.8989,statline_mc+recal_10_4b,worst_top25_realstack_v1,1,0.98875,0.991875,0.0,119,112,2026-09-24T00:16:13.223528+00:00
QB,00-0034796,Lamar Jackson,QB,BAL,8600,30.18744189651549,3.51,DAL,134516-63115,8.0626,statline_mc+recal_10_4b,worst_top25_realstack_v1,2,0.985,0.988125,-0.003750000000000031,119,112,2026-09-24T00:16:13.223528+00:00
