team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
ATL,pass,1.0,exclusive,14.61,32.6,2.2313,17.99
GB,rush,0.5493,recent,30.83,15.05,0.488,15.79
BAL,rush,0.8023,recent,41.34,23.2,0.5611,18.15
NYJ,pass,1.0,exclusive,54.18,31.69,0.5848,22.5
CAR,rush,0.5573,recent,23.07,13.95,0.6045,9.12
MIA,rush,1.0,recent,43.86,26.72,0.6092,17.14
LV,pass,1.0,exclusive,50.61,31.08,0.6141,19.53
PIT,recv,0.648,recent,35.95,22.21,0.6178,13.74
NYJ,recv,0.7368,recent,36.05,22.61,0.6274,13.43
BUF,rush,0.9708,recent,44.12,28.1,0.637,16.01
CIN,pass,1.0,exclusive,57.2,36.79,0.6433,20.4
WAS,rush,0.7902,recent,31.79,20.77,0.6533,11.02
MIN,rush,0.8618,recent,35.56,23.68,0.6658,11.89
TB,rush,0.8289,recent,32.54,21.72,0.6675,10.82
CLE,pass,1.0,exclusive,46.74,31.21,0.6678,15.53
TEN,recv,1.0,recent,46.64,31.36,0.6724,15.28
NO,recv,0.8616,recent,43.58,29.73,0.6822,13.85
CLE,rush,0.9224,recent,34.15,23.41,0.6856,10.74
MIN,pass,1.0,exclusive,24.02,31.52,1.3123,7.5
LV,rush,1.0,recent,39.58,27.33,0.6905,12.25
MIA,recv,0.7131,recent,30.5,21.09,0.6914,9.41
JAX,recv,0.9198,recent,42.93,29.74,0.6928,13.19
IND,recv,0.7562,recent,36.44,25.6,0.7025,10.84
PIT,pass,1.0,exclusive,50.26,35.34,0.7031,14.92
CIN,rush,1.0,recent,37.91,26.67,0.7034,11.25
IND,rush,0.8968,recent,32.12,22.6,0.7035,9.52
CHI,recv,0.8289,recent,38.92,27.38,0.7035,11.54
LAC,rush,1.0,recent,40.01,28.21,0.705,11.81
LAC,recv,0.7329,recent,34.3,24.39,0.711,9.91
PHI,recv,0.7447,recent,33.52,24.17,0.7212,9.35
HOU,rush,1.0,recent,38.45,27.79,0.7228,10.66
TEN,rush,1.0,recent,38.33,27.95,0.7292,10.38
CIN,recv,0.954,recent,46.4,33.94,0.7314,12.46
HOU,recv,0.8865,recent,37.72,28.19,0.7473,9.53
PHI,rush,1.0,recent,36.42,27.41,0.7526,9.01
CLE,recv,0.9071,recent,35.91,27.05,0.7535,8.85
CHI,pass,1.0,exclusive,46.08,34.86,0.7564,11.23
ARI,recv,0.8678,recent,38.18,29.07,0.7614,9.11
IND,pass,1.0,exclusive,28.28,35.0,1.2375,6.72
NYJ,rush,0.8667,recent,29.96,22.91,0.7647,7.05
ATL,recv,0.9085,recent,37.04,28.58,0.7716,8.46
ARI,pass,1.0,exclusive,45.16,35.0,0.775,10.16
DET,recv,0.8978,recent,41.02,32.14,0.7835,8.88
GB,recv,0.6949,recent,25.99,20.47,0.7875,5.52
DET,pass,1.0,exclusive,47.11,37.24,0.7905,9.87
PIT,rush,1.0,recent,34.48,27.26,0.7905,7.22
WAS,pass,1.0,exclusive,26.08,31.53,1.2086,5.44
NO,rush,1.0,recent,30.79,24.56,0.7976,6.23
CAR,pass,1.0,exclusive,41.22,33.17,0.8047,8.05
BAL,recv,0.7451,recent,27.42,22.11,0.8061,5.32
JAX,rush,0.7626,recent,27.01,21.86,0.8094,5.15
ATL,rush,0.8571,recent,28.43,23.35,0.8212,5.08
LV,recv,0.9457,recent,34.41,28.36,0.8241,6.05
CHI,rush,0.9847,recent,31.34,25.9,0.8263,5.44
WAS,recv,1.0,recent,35.11,29.54,0.8414,5.57
JAX,pass,1.0,exclusive,39.08,33.18,0.849,5.9
TB,recv,0.8675,recent,34.62,29.4,0.8492,5.22
HOU,pass,1.0,exclusive,39.18,33.41,0.8528,5.77
BUF,pass,1.0,exclusive,28.43,32.58,1.1459,4.15
MIN,recv,1.0,recent,35.29,30.3,0.8585,4.99
CAR,recv,1.0,recent,36.48,31.33,0.8586,5.16
NO,pass,1.0,exclusive,40.71,35.6,0.8746,5.1
TB,pass,1.0,exclusive,39.91,34.95,0.8756,4.97
GB,pass,1.0,exclusive,27.59,30.8,1.1163,3.21
ARI,rush,0.9767,recent,24.06,21.75,0.9041,2.31
BUF,recv,1.0,recent,34.55,31.33,0.9068,3.22
DET,rush,1.0,recent,28.98,26.6,0.918,2.38
LAC,pass,1.0,exclusive,32.53,34.85,1.0713,2.32
TEN,pass,1.0,exclusive,34.98,32.54,0.9301,2.45
PHI,pass,1.0,exclusive,36.16,34.36,0.9503,1.8
BAL,pass,1.0,exclusive,29.99,30.96,1.0322,0.97
MIA,pass,1.0,exclusive,31.12,30.68,0.9859,0.44
