team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
ATL,pass,1.0,exclusive,14.63,32.74,2.238,18.11
PIT,recv,0.3966,recent,36.0,13.65,0.3791,22.35
NO,rush,0.5038,recent,30.78,12.34,0.4009,18.44
PIT,rush,0.5645,recent,34.32,15.06,0.439,19.25
MIN,pass,1.0,exclusive,57.44,31.5,0.5484,25.94
NYJ,pass,1.0,exclusive,57.66,31.72,0.5501,25.94
MIA,recv,0.5902,recent,30.95,17.45,0.5638,13.5
WAS,recv,0.6979,recent,35.08,20.54,0.5857,14.53
MIA,rush,0.9714,recent,44.02,26.37,0.5989,17.66
GB,rush,0.6831,recent,31.19,19.1,0.6123,12.09
LV,pass,1.0,exclusive,50.61,31.08,0.6141,19.53
NO,recv,0.7862,recent,43.58,27.12,0.6224,16.46
TEN,recv,0.9388,recent,46.65,29.47,0.6317,17.18
CIN,pass,1.0,exclusive,57.2,36.79,0.6433,20.4
BUF,rush,0.9883,recent,44.08,28.48,0.6462,15.59
NYJ,recv,0.9079,recent,43.11,27.89,0.6469,15.22
HOU,rush,0.8974,recent,38.44,24.91,0.6478,13.54
LV,rush,0.9615,recent,39.48,26.11,0.6613,13.37
LAC,recv,0.6918,recent,34.31,23.03,0.6713,11.28
MIN,rush,0.9803,recent,41.29,28.21,0.6832,13.08
CLE,rush,0.9224,recent,33.6,22.97,0.6836,10.63
CIN,rush,1.0,recent,37.73,26.0,0.6892,11.72
CLE,pass,1.0,exclusive,45.06,31.21,0.6926,13.85
LAC,rush,0.965,recent,40.17,27.85,0.6932,12.32
BAL,rush,0.9944,recent,41.52,29.18,0.7029,12.34
PIT,pass,1.0,exclusive,50.3,35.48,0.7053,14.82
HOU,recv,0.8369,recent,37.72,26.61,0.7055,11.11
BUF,recv,0.7803,recent,34.55,24.45,0.7075,10.11
ARI,rush,0.7558,recent,24.22,17.23,0.7117,6.98
LV,recv,0.8217,recent,34.41,24.64,0.716,9.77
GB,recv,0.7881,recent,32.32,23.2,0.7179,9.12
CHI,recv,1.0,recent,45.92,33.05,0.7198,12.87
DET,recv,0.9409,recent,46.57,33.68,0.7233,12.89
ATL,recv,0.8497,recent,37.08,26.84,0.7238,10.24
PHI,recv,0.7589,recent,33.48,24.55,0.7333,8.93
NYJ,rush,0.8583,recent,30.26,22.33,0.738,7.93
CIN,recv,0.977,recent,46.4,34.75,0.749,11.65
JAX,recv,1.0,recent,42.93,32.34,0.7532,10.6
CLE,recv,0.9071,recent,35.91,27.05,0.7535,8.85
TEN,rush,1.0,recent,38.41,29.0,0.7551,9.41
IND,rush,0.9762,recent,31.96,24.18,0.7565,7.78
ARI,recv,0.8621,recent,38.18,28.89,0.7567,9.29
CHI,pass,1.0,exclusive,46.09,34.89,0.7569,11.21
IND,pass,1.0,exclusive,28.28,35.0,1.2375,6.72
PHI,rush,1.0,recent,36.51,27.92,0.7647,8.59
ARI,pass,1.0,exclusive,45.16,35.01,0.7753,10.15
TB,recv,0.7947,recent,34.62,26.93,0.7779,7.69
DET,pass,1.0,exclusive,47.11,37.25,0.7906,9.87
WAS,pass,1.0,exclusive,26.06,31.41,1.2054,5.35
TB,rush,1.0,recent,32.46,25.89,0.7974,6.58
CAR,pass,1.0,exclusive,41.22,33.19,0.8052,8.03
WAS,rush,0.972,recent,32.09,26.53,0.8268,5.56
BAL,recv,0.7745,recent,27.42,22.98,0.8379,4.45
JAX,pass,1.0,exclusive,39.08,33.18,0.849,5.9
MIN,recv,0.9912,recent,35.29,30.02,0.8507,5.27
HOU,pass,1.0,exclusive,39.18,33.41,0.8528,5.77
BUF,pass,1.0,exclusive,28.43,32.58,1.1459,4.15
CHI,rush,0.9924,recent,31.63,27.07,0.8557,4.56
CAR,recv,1.0,recent,36.49,31.35,0.8592,5.14
NO,pass,1.0,exclusive,40.71,35.6,0.8745,5.11
TB,pass,1.0,exclusive,39.91,34.95,0.8756,4.97
GB,pass,1.0,exclusive,27.58,30.78,1.116,3.2
CAR,rush,0.9924,recent,23.34,25.48,1.0916,2.14
DET,rush,1.0,recent,28.95,26.45,0.9139,2.49
LAC,pass,1.0,exclusive,32.54,34.87,1.0717,2.33
IND,recv,1.0,recent,36.44,33.85,0.929,2.59
TEN,pass,1.0,exclusive,34.99,32.57,0.9307,2.42
JAX,rush,1.0,recent,26.99,28.53,1.0572,1.54
ATL,rush,1.0,recent,28.37,26.82,0.9456,1.54
PHI,pass,1.0,exclusive,36.14,34.25,0.9475,1.9
BAL,pass,1.0,exclusive,29.99,30.96,1.0322,0.97
MIA,pass,1.0,exclusive,31.12,30.68,0.9859,0.44
