team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
WAS,recv,0.6979,recent,36.03,13.55,0.3762,22.48
NO,rush,0.5038,recent,32.34,12.8,0.3958,19.54
MIA,pass,1.0,exclusive,50.09,25.29,0.5049,24.8
MIA,rush,0.9714,recent,51.26,26.28,0.5126,24.99
GB,rush,0.6831,recent,29.94,16.2,0.541,13.74
NO,recv,0.7862,recent,48.07,26.23,0.5458,21.83
LV,pass,1.0,exclusive,48.11,26.76,0.5562,21.35
LAC,rush,0.965,recent,44.97,25.06,0.5573,19.91
CLE,rush,0.9224,recent,40.03,22.48,0.5615,17.55
TB,recv,0.7947,recent,41.52,23.67,0.57,17.86
WAS,pass,1.0,exclusive,38.54,22.25,0.5773,16.29
ARI,rush,0.8488,recent,24.16,14.21,0.5882,9.95
PIT,recv,0.648,recent,42.0,24.71,0.5884,17.29
NYJ,recv,0.9079,recent,44.49,26.24,0.5898,18.25
TEN,recv,0.9388,recent,47.1,29.05,0.6167,18.06
LV,recv,0.8295,recent,34.44,21.35,0.6199,13.09
MIN,pass,1.0,exclusive,57.44,35.65,0.6206,21.79
LV,rush,0.9808,recent,37.88,23.66,0.6245,14.22
CLE,pass,1.0,exclusive,42.96,27.01,0.6287,15.95
PHI,rush,1.0,recent,43.84,27.59,0.6294,16.25
CLE,recv,0.9071,recent,36.35,22.91,0.6304,13.43
BAL,recv,0.7745,recent,23.31,14.74,0.6324,8.57
BAL,pass,1.0,exclusive,30.77,19.54,0.6349,11.23
BUF,recv,0.7803,recent,32.81,21.01,0.6405,11.79
ATL,recv,0.8497,recent,39.07,25.03,0.6407,14.04
MIA,recv,0.7459,recent,28.42,18.27,0.6431,10.14
HOU,recv,0.8865,recent,38.73,25.16,0.6497,13.57
JAX,pass,1.0,exclusive,52.23,33.97,0.6504,18.26
CIN,pass,1.0,exclusive,56.56,36.81,0.6508,19.75
PIT,rush,0.871,recent,33.02,21.77,0.6594,11.25
PHI,recv,0.7589,recent,31.66,21.55,0.6808,10.1
MIN,rush,0.9803,recent,41.01,28.28,0.6897,12.73
ARI,recv,0.908,recent,42.15,29.45,0.6986,12.7
CHI,recv,1.0,recent,44.43,31.18,0.7018,13.25
TEN,rush,1.0,recent,38.19,26.85,0.703,11.34
IND,rush,0.9762,recent,34.37,24.39,0.7095,9.99
NYJ,rush,0.8583,recent,29.02,20.81,0.7172,8.21
CAR,recv,1.0,recent,36.15,25.95,0.7179,10.2
CAR,pass,1.0,exclusive,40.56,29.13,0.7183,11.43
GB,recv,0.7881,recent,36.36,26.28,0.7227,10.08
TB,pass,1.0,exclusive,41.32,30.38,0.7353,10.94
DET,recv,0.9409,recent,47.72,35.08,0.7353,12.63
CIN,rush,1.0,recent,37.43,27.7,0.7401,9.73
BUF,rush,0.9883,recent,47.83,35.44,0.7409,12.39
NYJ,pass,1.0,exclusive,40.21,29.88,0.743,10.33
CIN,recv,0.977,recent,45.94,34.15,0.7433,11.79
IND,recv,1.0,recent,42.23,32.0,0.7577,10.23
CHI,pass,1.0,exclusive,46.13,35.01,0.7589,11.12
BAL,rush,0.9944,recent,46.36,35.18,0.7589,11.18
ATL,pass,1.0,exclusive,40.64,30.88,0.7599,9.76
HOU,rush,0.9487,recent,38.93,29.73,0.7638,9.2
CHI,rush,0.9924,recent,30.24,23.34,0.7718,6.9
PHI,pass,1.0,exclusive,41.35,32.11,0.7766,9.24
LAC,recv,0.9041,recent,36.68,28.58,0.7791,8.1
JAX,recv,1.0,recent,42.26,32.94,0.7795,9.32
PIT,pass,1.0,exclusive,51.67,40.36,0.7811,11.31
NO,pass,1.0,exclusive,44.23,34.56,0.7813,9.67
WAS,rush,0.972,recent,36.94,29.0,0.7849,7.94
ARI,pass,1.0,exclusive,43.85,34.97,0.7975,8.88
HOU,pass,1.0,exclusive,39.01,31.16,0.7988,7.85
TB,rush,1.0,recent,37.52,31.06,0.8277,6.46
DET,pass,1.0,exclusive,48.76,40.39,0.8284,8.37
DET,rush,1.0,recent,28.17,23.51,0.8347,4.66
BUF,pass,1.0,exclusive,33.36,28.3,0.8482,5.06
IND,pass,1.0,exclusive,38.8,33.32,0.8587,5.48
GB,pass,1.0,exclusive,30.86,35.05,1.1355,4.18
MIN,recv,0.9912,recent,38.26,33.94,0.8871,4.32
LAC,pass,1.0,exclusive,38.31,34.76,0.9073,3.55
JAX,rush,1.0,recent,29.02,26.85,0.9252,2.17
TEN,pass,1.0,exclusive,34.93,32.87,0.941,2.06
ATL,rush,1.0,recent,30.12,29.4,0.9759,0.72
CAR,rush,0.9924,recent,21.82,22.15,1.0151,0.33
