team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
MIN,pass,1.0,exclusive,5.0,30.13,6.0265,25.13
MIN,rush,1.0,recent,41.81,27.89,0.667,13.92
LV,rush,0.9697,recent,38.49,26.94,0.6998,11.55
NO,recv,1.0,recent,47.04,35.45,0.7535,11.59
LV,pass,1.0,exclusive,26.52,32.67,1.232,6.15
ARI,pass,1.0,exclusive,28.46,34.47,1.2115,6.02
ARI,rush,1.0,recent,31.15,24.73,0.7939,6.42
TB,recv,1.0,recent,40.03,32.0,0.7996,8.02
LV,recv,1.0,recent,39.59,31.77,0.8025,7.82
BAL,rush,1.0,recent,33.84,27.52,0.8132,6.32
SF,recv,0.9455,recent,36.27,30.25,0.8338,6.03
SF,rush,1.0,recent,34.36,28.7,0.8353,5.66
ARI,recv,1.0,recent,39.42,33.3,0.8448,6.12
SF,pass,1.0,exclusive,28.76,33.03,1.1484,4.27
BAL,pass,1.0,exclusive,30.36,34.86,1.1482,4.5
DAL,rush,1.0,recent,26.66,23.13,0.8674,3.54
NO,rush,1.0,recent,31.21,27.17,0.8705,4.04
DAL,recv,1.0,recent,39.43,34.6,0.8774,4.83
BAL,recv,1.0,recent,37.12,33.42,0.9005,3.69
TB,rush,1.0,recent,28.41,25.93,0.9127,2.48
NO,pass,1.0,exclusive,40.08,36.65,0.9144,3.43
DAL,pass,1.0,exclusive,33.22,35.97,1.0829,2.75
MIN,recv,1.0,recent,31.37,28.83,0.9191,2.54
TB,pass,1.0,exclusive,31.18,33.0,1.0584,1.82
