team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
SEA,pass,1.0,exclusive,2.0,30.56,15.2799,28.56
MIA,pass,1.0,exclusive,23.19,31.92,1.3761,8.72
CLE,pass,1.0,exclusive,24.02,31.5,1.3115,7.48
NYJ,rush,0.9848,recent,37.86,26.89,0.7103,10.97
HOU,recv,1.0,recent,51.0,36.58,0.7173,14.42
LAC,rush,1.0,recent,34.36,24.92,0.7254,9.44
WAS,rush,1.0,recent,36.6,26.96,0.7366,9.64
SEA,rush,0.9839,recent,37.93,28.86,0.7609,9.07
IND,rush,0.9808,recent,33.43,25.77,0.771,7.65
KC,rush,0.9851,recent,38.46,29.83,0.7756,8.63
CIN,recv,1.0,recent,41.87,32.57,0.7778,9.31
WAS,pass,1.0,exclusive,42.83,33.36,0.7789,9.47
BUF,rush,1.0,recent,35.65,28.47,0.7985,7.18
KC,recv,1.0,recent,43.07,34.45,0.8,8.61
MIA,rush,0.9787,recent,29.57,23.67,0.8002,5.91
NYG,recv,1.0,recent,38.68,31.1,0.8041,7.58
PIT,recv,1.0,recent,42.33,34.09,0.8054,8.24
IND,pass,1.0,exclusive,27.62,32.87,1.1903,5.26
DET,recv,1.0,recent,44.04,35.77,0.8123,8.27
NYG,pass,1.0,exclusive,27.0,31.71,1.1744,4.71
LAC,pass,1.0,exclusive,28.68,33.67,1.1739,4.99
CAR,recv,1.0,recent,39.46,32.68,0.8281,6.78
WAS,recv,1.0,recent,38.54,31.92,0.8284,6.62
NYJ,pass,1.0,exclusive,30.01,35.0,1.1662,4.99
TEN,pass,1.0,exclusive,25.82,30.05,1.1637,4.23
JAX,pass,1.0,exclusive,27.85,32.4,1.1633,4.55
CIN,rush,1.0,recent,32.67,27.4,0.8387,5.27
NYG,rush,1.0,recent,34.66,29.22,0.843,5.44
JAX,rush,0.9821,recent,31.0,26.19,0.8446,4.82
NYJ,recv,1.0,recent,39.22,33.22,0.8469,6.0
DET,rush,1.0,recent,30.36,25.73,0.8476,4.63
IND,recv,1.0,recent,37.4,31.72,0.8483,5.67
NE,rush,1.0,recent,31.36,26.62,0.8489,4.74
NE,pass,1.0,exclusive,28.2,32.44,1.1503,4.24
CLE,rush,1.0,recent,30.95,26.78,0.8651,4.18
HOU,pass,1.0,exclusive,43.73,37.96,0.8681,5.77
PIT,rush,0.9773,recent,27.42,23.83,0.8691,3.59
SEA,recv,1.0,recent,34.18,29.77,0.8711,4.41
HOU,rush,1.0,recent,31.14,27.28,0.8762,3.85
TEN,rush,1.0,recent,29.26,25.86,0.8838,3.4
MIA,recv,1.0,recent,34.69,30.91,0.8911,3.78
CAR,rush,1.0,recent,29.54,26.46,0.8959,3.08
BUF,pass,1.0,exclusive,31.36,34.53,1.1011,3.17
JAX,recv,0.9796,recent,33.26,30.44,0.9151,2.82
TEN,recv,1.0,recent,30.47,28.13,0.923,2.35
BUF,recv,1.0,recent,35.73,33.04,0.9247,2.69
LAC,recv,1.0,recent,34.97,32.5,0.9295,2.47
CLE,recv,1.0,recent,32.88,30.67,0.9327,2.21
PIT,pass,1.0,exclusive,33.8,35.59,1.0529,1.79
NE,recv,1.0,recent,32.65,31.08,0.952,1.57
KC,pass,1.0,exclusive,37.38,35.9,0.9605,1.48
DET,pass,1.0,exclusive,37.35,36.26,0.9707,1.09
CIN,pass,1.0,exclusive,32.63,33.31,1.0208,0.68
CAR,pass,1.0,exclusive,35.1,34.44,0.9812,0.66
