team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
ARI,rush,0.2209,recent,26.16,5.19,0.1983,20.97
WAS,recv,0.6667,recent,37.0,18.51,0.5003,18.49
MIN,pass,1.0,exclusive,57.44,31.43,0.5472,26.01
MIA,recv,0.541,recent,27.38,15.0,0.5479,12.38
WAS,rush,0.6014,recent,30.63,16.85,0.5502,13.78
GB,pass,1.0,exclusive,21.42,30.65,1.4309,9.23
LV,pass,1.0,exclusive,51.87,29.56,0.5699,22.31
PHI,recv,0.6099,recent,30.75,18.99,0.6174,11.77
MIA,rush,0.8929,recent,39.36,24.99,0.6348,14.37
ARI,recv,0.7759,recent,39.02,25.17,0.6451,13.85
LAC,recv,0.6849,recent,33.22,22.93,0.6901,10.29
GB,rush,0.6831,recent,27.49,19.14,0.6962,8.35
MIN,rush,0.8158,recent,33.83,23.83,0.7043,10.01
LV,recv,0.8217,recent,33.02,23.42,0.7092,9.6
LAC,rush,0.965,recent,39.06,27.94,0.7152,11.13
GB,recv,0.7881,recent,32.07,22.95,0.7158,9.11
LV,rush,0.9038,recent,34.9,25.08,0.7185,9.82
ARI,pass,1.0,exclusive,47.04,34.23,0.7277,12.81
PHI,rush,1.0,recent,35.43,28.74,0.8111,6.69
MIN,recv,0.9298,recent,32.84,27.97,0.8516,4.88
PHI,pass,1.0,exclusive,37.65,32.93,0.8746,4.72
MIA,pass,1.0,exclusive,25.93,28.89,1.1142,2.96
LAC,pass,1.0,exclusive,37.96,35.06,0.9237,2.9
WAS,pass,1.0,exclusive,30.49,29.83,0.9781,0.67
