team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
ATL,pass,1.0,exclusive,14.34,31.13,2.17,16.78
NO,rush,0.3969,recent,31.29,9.73,0.3108,21.56
TEN,recv,0.6531,recent,45.53,19.33,0.4246,26.2
PIT,recv,0.5866,recent,35.25,19.28,0.547,15.97
TB,rush,0.8289,recent,38.11,21.37,0.5606,16.74
BAL,rush,0.8023,recent,39.98,23.59,0.5899,16.4
NYJ,recv,0.8487,recent,40.2,24.51,0.6097,15.69
CIN,pass,1.0,exclusive,58.49,36.78,0.6288,21.71
HOU,rush,0.8974,recent,39.3,24.96,0.635,14.35
PIT,pass,1.0,exclusive,53.2,33.94,0.6379,19.27
ATL,rush,0.6259,recent,26.49,17.01,0.6423,9.48
CLE,pass,1.0,exclusive,45.28,29.24,0.6457,16.04
TB,recv,0.7417,recent,37.37,24.73,0.6619,12.64
HOU,recv,0.8369,recent,38.63,25.74,0.6663,12.89
NO,recv,0.8239,recent,41.95,27.97,0.6668,13.98
DET,pass,1.0,exclusive,54.63,37.6,0.6882,17.03
CHI,pass,1.0,exclusive,50.22,34.79,0.6927,15.44
JAX,pass,1.0,exclusive,45.74,31.86,0.6966,13.88
TEN,rush,1.0,recent,42.15,29.66,0.7038,12.49
DET,recv,0.914,recent,46.7,32.94,0.7054,13.76
ATL,recv,0.8105,recent,33.86,24.21,0.7151,9.65
BUF,recv,0.7803,recent,33.01,23.74,0.7194,9.26
PIT,rush,0.8387,recent,31.54,22.79,0.7227,8.75
BUF,rush,0.9883,recent,39.5,28.7,0.7268,10.79
NO,pass,1.0,exclusive,48.58,35.41,0.7287,13.18
TB,pass,1.0,exclusive,46.86,34.72,0.7409,12.14
HOU,pass,1.0,exclusive,43.26,32.44,0.75,10.82
CIN,rush,1.0,recent,34.44,25.95,0.7534,8.49
CAR,pass,1.0,exclusive,43.56,32.98,0.7571,10.58
JAX,recv,0.9753,recent,39.83,30.35,0.7619,9.48
TEN,pass,1.0,exclusive,39.77,30.76,0.7734,9.01
CIN,recv,0.9713,recent,44.24,34.37,0.7769,9.87
CHI,recv,0.9868,recent,41.74,32.44,0.7772,9.3
NYJ,rush,0.75,recent,25.73,20.16,0.7835,5.57
IND,recv,0.9875,recent,41.37,32.55,0.7868,8.82
CLE,recv,0.9357,recent,32.47,25.94,0.799,6.53
BAL,recv,0.7157,recent,26.42,21.2,0.8027,5.21
CAR,recv,1.0,recent,38.22,30.96,0.8102,7.25
IND,pass,1.0,exclusive,28.95,34.35,1.1863,5.39
BAL,pass,1.0,exclusive,37.02,31.04,0.8385,5.98
CLE,rush,0.9828,recent,29.57,24.93,0.843,4.64
DET,rush,1.0,recent,30.8,26.41,0.8575,4.39
IND,rush,0.9762,recent,28.35,24.34,0.8586,4.01
JAX,rush,0.9784,recent,27.06,28.55,1.055,1.49
CAR,rush,0.9924,recent,24.56,25.79,1.05,1.23
CHI,rush,0.9924,recent,28.75,27.48,0.956,1.26
BUF,pass,1.0,exclusive,31.08,31.76,1.0219,0.68
NYJ,pass,1.0,exclusive,29.79,29.89,1.0032,0.09
