team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
NO,pass,1.0,exclusive,53.22,39.14,0.7354,14.08
PIT,pass,1.0,exclusive,43.71,33.51,0.7665,10.21
MIN,pass,1.0,exclusive,40.82,31.69,0.7764,9.13
SEA,pass,1.0,exclusive,37.52,29.2,0.7781,8.33
NO,recv,1.0,recent,48.33,37.63,0.7786,10.7
HOU,pass,1.0,exclusive,44.01,34.84,0.7915,9.17
GB,pass,1.0,exclusive,44.61,35.44,0.7943,9.18
MIN,rush,1.0,recent,33.56,26.79,0.7983,6.77
ARI,pass,1.0,exclusive,40.22,32.25,0.8018,7.97
CHI,rush,1.0,recent,35.95,28.95,0.8053,7.0
NYJ,rush,0.9744,recent,36.88,29.76,0.807,7.12
CIN,pass,1.0,exclusive,41.88,33.81,0.8073,8.07
TEN,pass,1.0,exclusive,37.25,30.18,0.8101,7.07
LV,rush,0.973,recent,35.58,29.01,0.8155,6.56
ATL,pass,1.0,exclusive,35.77,29.51,0.8248,6.27
WAS,pass,1.0,exclusive,43.17,35.84,0.8302,7.33
NE,rush,1.0,recent,36.16,30.05,0.8312,6.1
NE,pass,1.0,exclusive,38.25,31.9,0.8341,6.35
HOU,recv,1.0,recent,40.44,33.9,0.8384,6.53
ARI,rush,1.0,recent,35.14,29.54,0.8406,5.6
PIT,recv,1.0,recent,37.76,31.78,0.8414,5.99
ARI,recv,1.0,recent,37.57,31.63,0.8418,5.94
SF,pass,1.0,exclusive,40.33,34.07,0.8449,6.25
HOU,rush,1.0,recent,32.35,27.37,0.8461,4.98
BAL,rush,1.0,recent,36.89,31.36,0.8501,5.53
LV,pass,1.0,exclusive,36.95,31.42,0.8503,5.53
WAS,rush,1.0,recent,33.15,28.22,0.8511,4.94
CHI,pass,1.0,exclusive,39.15,33.43,0.854,5.72
GB,recv,1.0,recent,40.26,34.39,0.8542,5.87
LV,recv,1.0,recent,35.22,30.14,0.8557,5.08
PHI,pass,1.0,exclusive,33.87,28.99,0.856,4.88
TEN,recv,1.0,recent,32.82,28.22,0.8597,4.6
DAL,pass,1.0,exclusive,42.01,36.21,0.862,5.8
CLE,pass,1.0,exclusive,32.86,28.35,0.863,4.5
DEN,pass,1.0,exclusive,37.28,32.18,0.8632,5.1
NO,rush,1.0,recent,28.12,24.3,0.8639,3.83
JAX,rush,0.9688,recent,33.0,28.64,0.8679,4.36
TB,pass,1.0,exclusive,35.32,30.72,0.8699,4.6
MIA,pass,1.0,exclusive,35.52,30.97,0.8719,4.55
NE,recv,1.0,recent,35.23,30.74,0.8726,4.49
CAR,pass,1.0,exclusive,38.73,33.96,0.8768,4.77
ATL,rush,1.0,recent,34.09,29.9,0.8769,4.2
SF,recv,0.9706,recent,37.05,32.57,0.8791,4.48
BAL,pass,1.0,exclusive,36.13,31.77,0.8792,4.37
LAC,pass,1.0,exclusive,35.34,31.26,0.8843,4.09
CIN,rush,1.0,recent,28.94,25.76,0.8902,3.18
CAR,recv,1.0,recent,36.14,32.22,0.8917,3.91
CIN,recv,1.0,recent,36.47,32.69,0.8963,3.78
MIA,recv,1.0,recent,33.05,29.7,0.8985,3.36
NYJ,pass,1.0,exclusive,33.6,30.39,0.9045,3.21
WAS,recv,1.0,recent,36.49,33.27,0.9118,3.22
TB,recv,1.0,recent,32.19,29.77,0.9248,2.42
SF,rush,1.0,recent,33.77,31.27,0.9259,2.5
CLE,rush,1.0,full_season,27.32,25.58,0.9365,1.74
LAC,rush,1.0,full_season,27.17,25.61,0.9426,1.56
PIT,rush,1.0,full_season,26.47,24.98,0.9436,1.49
DEN,rush,1.0,full_season,22.83,24.07,1.0543,1.24
LAC,recv,1.0,recent,32.2,30.45,0.9457,1.75
SEA,recv,1.0,full_season,29.96,28.35,0.946,1.62
JAX,pass,1.0,exclusive,32.16,30.61,0.9518,1.55
PHI,recv,1.0,full_season,28.71,27.41,0.9548,1.3
DEN,recv,1.0,recent,32.41,30.96,0.9551,1.45
GB,rush,1.0,full_season,25.48,24.35,0.9556,1.13
PHI,rush,1.0,recent,32.05,30.68,0.9571,1.37
JAX,recv,0.9524,full_season,28.58,27.45,0.9607,1.12
DAL,recv,1.0,recent,35.41,34.1,0.963,1.31
CHI,recv,1.0,recent,32.78,31.61,0.9641,1.18
MIA,rush,1.0,full_season,24.48,23.71,0.9687,0.77
CAR,rush,1.0,full_season,26.54,25.74,0.9702,0.79
SEA,rush,1.0,full_season,25.68,26.42,1.0288,0.74
TB,rush,1.0,full_season,27.47,28.26,1.0287,0.79
TEN,rush,1.0,full_season,24.7,25.19,1.0198,0.49
ATL,recv,1.0,full_season,26.95,27.48,1.0198,0.53
CLE,recv,1.0,full_season,27.63,27.17,0.9834,0.46
BAL,recv,1.0,full_season,30.32,30.56,1.0081,0.24
MIN,recv,1.0,full_season,30.36,30.12,0.9919,0.25
DAL,rush,1.0,full_season,24.27,24.39,1.0051,0.12
NYJ,recv,1.0,full_season,29.06,28.96,0.9966,0.1
