team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
BAL,pass,1.0,exclusive,2.76,38.62,13.9801,35.86
DET,pass,1.0,exclusive,4.6,31.89,6.9326,27.29
DEN,pass,1.0,exclusive,5.08,32.03,6.3113,26.96
ARI,pass,1.0,exclusive,21.48,40.35,1.8785,18.87
NYG,pass,1.0,exclusive,21.44,37.37,1.7427,15.93
HOU,pass,1.0,exclusive,19.6,33.19,1.6932,13.59
NYJ,pass,1.0,exclusive,23.86,32.5,1.3619,8.64
CLE,pass,1.0,exclusive,24.36,32.02,1.3144,7.66
WAS,pass,1.0,exclusive,24.56,31.31,1.2748,6.75
PHI,pass,1.0,exclusive,20.62,26.27,1.2743,5.65
CAR,pass,1.0,exclusive,26.81,34.13,1.273,7.32
NO,rush,0.7297,recent,19.33,23.21,1.2009,3.88
NYJ,recv,0.3333,recent,12.62,10.15,0.8048,2.46
MIA,pass,1.0,exclusive,37.94,32.86,0.8662,5.08
NE,rush,0.4248,recent,14.2,12.43,0.8755,1.77
NYJ,rush,0.6545,recent,15.47,14.12,0.9125,1.35
CAR,rush,0.7023,recent,19.75,18.07,0.9151,1.68
BUF,rush,0.8362,recent,21.93,20.14,0.9181,1.8
MIA,rush,0.8634,recent,27.59,29.76,1.0787,2.17
SF,rush,0.6025,recent,19.61,18.07,0.9215,1.54
NO,recv,0.6093,recent,18.8,17.33,0.9215,1.48
KC,rush,0.928,recent,21.16,22.66,1.0708,1.5
NYG,rush,0.8692,recent,20.94,19.63,0.9371,1.32
MIN,recv,0.8562,recent,27.52,25.87,0.9399,1.65
LA,rush,0.9813,recent,24.9,23.55,0.9457,1.35
CLE,rush,0.9127,recent,21.62,22.79,1.0543,1.17
TB,rush,0.3884,recent,9.61,9.09,0.9457,0.52
CAR,recv,0.7826,recent,27.42,26.1,0.9519,1.32
TEN,recv,0.795,recent,26.01,24.79,0.953,1.22
ARI,rush,0.2137,recent,5.19,5.43,1.0465,0.24
KC,recv,0.7257,recent,23.91,25.0,1.0457,1.09
MIN,rush,0.4196,recent,13.37,12.77,0.9547,0.61
PHI,recv,0.9672,recent,23.08,24.1,1.0443,1.02
SF,recv,0.8321,recent,24.66,23.61,0.9574,1.05
DET,recv,0.7933,recent,25.7,24.63,0.9583,1.07
LV,rush,0.8113,recent,17.42,16.71,0.9589,0.72
TB,recv,0.3894,recent,18.82,18.04,0.959,0.77
LV,recv,0.7978,recent,30.85,29.6,0.9596,1.25
WAS,rush,0.8854,recent,25.33,24.31,0.9599,1.02
KC,pass,1.0,exclusive,38.29,36.77,0.9603,1.52
HOU,recv,0.6536,recent,20.57,21.35,1.038,0.78
SEA,recv,0.906,recent,28.17,27.11,0.9623,1.06
BAL,rush,0.6159,recent,16.46,17.08,1.0376,0.62
PIT,recv,0.8305,recent,28.21,27.16,0.9626,1.05
LAC,recv,0.508,recent,18.98,18.29,0.9637,0.69
LA,recv,0.9548,recent,32.69,31.59,0.9665,1.1
PIT,rush,0.9394,recent,19.53,18.97,0.9713,0.56
MIA,recv,0.6145,recent,20.46,19.88,0.9716,0.58
ATL,rush,0.8031,recent,20.67,21.21,1.0261,0.54
ATL,recv,0.8205,recent,26.19,25.51,0.974,0.68
SEA,rush,0.6604,recent,15.07,14.7,0.9752,0.37
