lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0039918,Caleb Williams,QB,CHI,6800,16.035388539116422,2.36,MIN,44132568,7.9397,statline_mc+recal_10_4b,team:CHI
1,DST,DST_CHI,Bears,DST,CHI,3000,8.645379966,2.88,MIN,44133751,5.9441,dst_simulated_session_10_4+recal_10_4b,team:CHI
1,RB1,00-0035685,David Montgomery,RB,HOU,6500,11.019857147220565,1.7,CIN,44132672,8.0849,statline_mc+recal_10_4b,team:CHI
1,RB2,00-0038597,Chase Brown,RB,CIN,6900,9.883743472488826,1.43,HOU,44132664,7.4289,statline_mc+recal_10_4b,team:CHI
1,WR1,00-0037239,Chris Olave,WR,NO,7200,10.485726436176895,1.46,BAL,44132970,7.9225,statline_mc+recal_10_4b,team:CHI
1,WR2,00-0040667,Matthew Golden,WR,GB,4700,9.841962836681851,2.09,NYJ,44133036,7.9299,statline_mc+recal_10_4b,team:CHI
1,WR3,00-0040735,Luther Burden III,WR,CHI,5700,9.154352362097343,1.61,MIN,44133002,7.9966,statline_mc+recal_10_4b,team:CHI
1,TE,00-0036628,John Bates,TE,WAS,2700,5.574854345606028,2.06,DAL,44133520,6.0235,statline_mc+recal_10_4b,team:CHI
1,FLEX,00-0036275,D'Andre Swift,RB,CHI,6300,9.869766447659869,1.57,MIN,44132676,7.9324,statline_mc+recal_10_4b,team:CHI
2,QB,00-0039918,Caleb Williams,QB,CHI,6800,16.035388539116422,2.36,MIN,44132568,7.9397,statline_mc+recal_10_4b,team:CHI
2,DST,DST_CAR,Panthers,DST,CAR,2700,9.975877231499998,3.69,ATL,44133757,5.9736,dst_simulated_session_10_4+recal_10_4b,team:CHI
2,RB1,00-0035685,David Montgomery,RB,HOU,6500,11.019857147220565,1.7,CIN,44132672,8.0849,statline_mc+recal_10_4b,team:CHI
2,RB2,00-0036275,D'Andre Swift,RB,CHI,6300,9.869766447659869,1.57,MIN,44132676,7.9324,statline_mc+recal_10_4b,team:CHI
2,WR1,00-0038543,Jaxon Smith-Njigba,WR,SEA,8100,12.168138471192837,1.5,ARI,44132962,8.641,statline_mc+recal_10_4b,team:CHI
2,WR2,00-0038124,Christian Watson,WR,GB,6200,9.680593980026003,1.56,NYJ,44132986,8.0345,statline_mc+recal_10_4b,team:CHI
2,WR3,00-0040735,Luther Burden III,WR,CHI,5700,9.154352362097343,1.61,MIN,44133002,7.9966,statline_mc+recal_10_4b,team:CHI
2,TE,00-0034829,Mike Gesicki,TE,CIN,3600,7.92751010734958,2.2,HOU,44133476,6.524,statline_mc+recal_10_4b,team:CHI
2,FLEX,00-0039890,Adonai Mitchell,WR,NYJ,4000,4.963133973125763,1.24,GB,44133072,6.4214,statline_mc+recal_10_4b,team:CHI
3,QB,00-0039918,Caleb Williams,QB,CHI,6800,16.035388539116422,2.36,MIN,44132568,7.9397,statline_mc+recal_10_4b,team:CHI
3,DST,DST_TB,Buccaneers,DST,TB,3600,9.9904450185,2.78,CLE,44133744,5.8962,dst_simulated_session_10_4+recal_10_4b,team:CHI
3,RB1,00-0039361,Bucky Irving,RB,TB,6100,11.824536611494915,1.94,CLE,44132682,7.9162,statline_mc+recal_10_4b,team:CHI
3,RB2,00-0035685,David Montgomery,RB,HOU,6500,11.019857147220565,1.7,CIN,44132672,8.0849,statline_mc+recal_10_4b,team:CHI
3,WR1,00-0040667,Matthew Golden,WR,GB,4700,9.841962836681851,2.09,NYJ,44133036,7.9299,statline_mc+recal_10_4b,team:CHI
3,WR2,00-0038124,Christian Watson,WR,GB,6200,9.680593980026003,1.56,NYJ,44132986,8.0345,statline_mc+recal_10_4b,team:CHI
3,WR3,00-0039919,Rome Odunze,WR,CHI,5500,6.795754260037567,1.24,MIN,44133006,7.3334,statline_mc+recal_10_4b,team:CHI
3,TE,00-0034829,Mike Gesicki,TE,CIN,3600,7.92751010734958,2.2,HOU,44133476,6.524,statline_mc+recal_10_4b,team:CHI
3,FLEX,00-0040122,Ashton Jeanty,RB,LV,6800,10.017144239537709,1.47,LAC,44132666,7.5483,statline_mc+recal_10_4b,team:CHI
4,QB,00-0037834,Brock Purdy,QB,SF,6200,17.1803070758682,2.77,MIA,44132573,7.9856,statline_mc+recal_10_4b,team:SF
4,DST,DST_TEN,Titans,DST,TEN,2100,6.345470133000001,3.02,PHI,44133766,5.7271,dst_simulated_session_10_4+recal_10_4b,team:SF
4,RB1,00-0036997,Javonte Williams,RB,DAL,6400,11.633848656951631,1.82,WAS,44132674,8.0599,statline_mc+recal_10_4b,team:SF
