lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0034855,Baker Mayfield,QB,TB,5900,15.258044526361171,2.59,CIN,43727242,7.8837,statline_mc+recal_10_4b,team:TB
1,DST,DST_LV,Raiders,DST,LV,2900,8.840326419,3.05,MIA,43728535,5.7867,dst_simulated_session_10_4+recal_10_4b,team:TB
1,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.416947603125877,2.68,NO,43727325,9.7132,statline_mc+recal_10_4b,team:TB
1,RB2,00-0036919,Kenny Gainwell,RB,TB,5200,13.45654659440602,2.59,CIN,43727377,8.401,statline_mc+recal_10_4b,team:TB
1,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.1794505120975,2.56,NO,43727633,9.728,statline_mc+recal_10_4b,team:TB
1,WR2,00-0036900,Ja'Marr Chase,WR,CIN,7800,16.00337436601664,2.05,TB,43727631,9.4091,statline_mc+recal_10_4b,team:TB
1,WR3,00-0036259,Jauan Jennings,WR,MIN,4300,8.895753212842326,2.07,GB,43727721,7.7717,statline_mc+recal_10_4b,team:TB
1,TE,00-0040126,Colston Loveland,TE,CHI,5300,14.470705206497284,2.73,CAR,43728219,7.683,statline_mc+recal_10_4b,team:TB
1,FLEX,00-0035359,David Sills V,WR,TB,3000,2.816519311689605,0.94,CIN,43728141,5.3307,statline_mc+recal_10_4b,team:TB
2,QB,00-0033106,Jared Goff,QB,DET,6000,18.957400109773843,3.16,NO,43727241,8.0471,statline_mc+recal_10_4b,team:DET
2,DST,DST_BAL,Ravens,DST,BAL,3000,7.164703548,2.39,IND,43728533,5.8547,dst_simulated_session_10_4+recal_10_4b,team:DET
2,RB1,00-0038542,Bijan Robinson,RB,ATL,7700,16.08675376990787,2.09,PIT,43727327,8.5441,statline_mc+recal_10_4b,team:DET
2,RB2,00-0036223,Jonathan Taylor,RB,IND,7300,15.937461740517891,2.18,BAL,43727329,9.0315,statline_mc+recal_10_4b,team:DET
2,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.1794505120975,2.56,NO,43727633,9.728,statline_mc+recal_10_4b,team:DET
2,WR2,00-0034960,Jakobi Meyers,WR,JAX,5000,10.044092851619276,2.01,CLE,43727691,7.6499,statline_mc+recal_10_4b,team:DET
2,WR3,00-0037231,Kevin Austin Jr.,WR,NO,3000,4.821527301764209,1.61,DET,43728055,6.5749,statline_mc+recal_10_4b,team:DET
2,TE,00-0040126,Colston Loveland,TE,CHI,5300,14.470705206497284,2.73,CAR,43728219,7.683,statline_mc+recal_10_4b,team:DET
2,FLEX,00-0036919,Kenny Gainwell,RB,TB,5200,13.45654659440602,2.59,CIN,43727377,8.401,statline_mc+recal_10_4b,team:DET
3,QB,00-0036442,Joe Burrow,QB,CIN,6900,18.24613403277889,2.64,TB,43727235,8.0544,statline_mc+recal_10_4b,team:CIN
3,DST,DST_NYJ,Jets,DST,NYJ,2500,8.366709658500001,3.35,TEN,43728542,5.9263,dst_simulated_session_10_4+recal_10_4b,team:CIN
3,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.416947603125877,2.68,NO,43727325,9.7132,statline_mc+recal_10_4b,team:CIN
3,RB2,00-0036919,Kenny Gainwell,RB,TB,5200,13.45654659440602,2.59,CIN,43727377,8.401,statline_mc+recal_10_4b,team:CIN
3,WR1,00-0036900,Ja'Marr Chase,WR,CIN,7800,16.00337436601664,2.05,TB,43727631,9.4091,statline_mc+recal_10_4b,team:CIN
3,WR2,00-0039064,Zay Flowers,WR,BAL,6400,12.327709413579152,1.93,IND,43727645,8.7753,statline_mc+recal_10_4b,team:CIN
3,WR3,00-0030279,Keenan Allen,WR,IND,4700,10.333146999002032,2.2,BAL,43950117,7.8439,statline_mc+recal_10_4b,team:CIN
3,TE,00-0040126,Colston Loveland,TE,CHI,5300,14.470705206497284,2.73,CAR,43728219,7.683,statline_mc+recal_10_4b,team:CIN
3,FLEX,00-0037614,John Metchie III,WR,CAR,3200,6.633594026387606,2.07,CHI,43727819,6.8741,statline_mc+recal_10_4b,team:CIN
4,QB,00-0033106,Jared Goff,QB,DET,6000,18.957400109773843,3.16,NO,43727241,8.0471,statline_mc+recal_10_4b,team:DET
4,DST,DST_NYJ,Jets,DST,NYJ,2500,8.366709658500001,3.35,TEN,43728542,5.9263,dst_simulated_session_10_4+recal_10_4b,team:DET
4,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.416947603125877,2.68,NO,43727325,9.7132,statline_mc+recal_10_4b,team:DET
4,RB2,00-0032764,Derrick Henry,RB,BAL,6700,13.992069667220372,2.09,IND,43727341,9.3748,statline_mc+recal_10_4b,team:DET
