lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0034796,Lamar Jackson,QB,BAL,7300,16.32272260126404,2.24,NO,44157228,7.9374,statline_mc+recal_10_4b,team:BAL
1,DST,DST_TB,Buccaneers,DST,TB,3600,10.0344757455,2.79,CLE,44157942,5.9973,dst_simulated_session_10_4+recal_10_4b,team:BAL
1,RB1,00-0032764,Derrick Henry,RB,BAL,7200,17.36822011978844,2.41,NO,44157287,9.6516,statline_mc+recal_10_4b,team:BAL
1,RB2,00-0038542,Bijan Robinson,RB,ATL,8200,17.176090161885064,2.09,CAR,44157285,9.0822,statline_mc+recal_10_4b,team:BAL
1,WR1,00-0032464,Kalif Raymond,WR,CHI,3600,10.09192351056168,2.8,MIN,44157549,8.0367,statline_mc+recal_10_4b,team:BAL
1,WR2,00-0039491,Jalen Coker,WR,CAR,5100,10.044011649200296,1.97,ATL,44157501,7.7932,statline_mc+recal_10_4b,team:BAL
1,WR3,00-0040667,Matthew Golden,WR,GB,4700,9.835953727006125,2.09,NYJ,44157505,7.818,statline_mc+recal_10_4b,team:BAL
1,TE,00-0034753,Mark Andrews,TE,BAL,4400,7.457034208310974,1.69,NO,44157765,6.4227,statline_mc+recal_10_4b,team:BAL
1,FLEX,00-0036875,Rhamondre Stevenson,RB,NE,5700,11.075826558233176,1.94,PIT,44157307,7.864,statline_mc+recal_10_4b,team:BAL
2,QB,00-0039918,Caleb Williams,QB,CHI,6800,16.62259880614326,2.44,MIN,44157229,7.9983,statline_mc+recal_10_4b,team:CHI
2,DST,DST_PHI,Eagles,DST,PHI,3700,9.3630480795,2.53,TEN,44157941,5.6205,dst_simulated_session_10_4+recal_10_4b,team:CHI
2,RB1,00-0032764,Derrick Henry,RB,BAL,7200,17.36822011978844,2.41,NO,44157287,9.6516,statline_mc+recal_10_4b,team:CHI
2,RB2,00-0038542,Bijan Robinson,RB,ATL,8200,17.176090161885064,2.09,CAR,44157285,9.0822,statline_mc+recal_10_4b,team:CHI
2,WR1,00-0032464,Kalif Raymond,WR,CHI,3600,10.09192351056168,2.8,MIN,44157549,8.0367,statline_mc+recal_10_4b,team:CHI
2,WR2,00-0039491,Jalen Coker,WR,CAR,5100,10.044011649200296,1.97,ATL,44157501,7.7932,statline_mc+recal_10_4b,team:CHI
2,WR3,00-0040735,Luther Burden III,WR,CHI,5700,9.209253799671211,1.62,MIN,44157489,7.8944,statline_mc+recal_10_4b,team:CHI
2,TE,00-0034829,Mike Gesicki,TE,CIN,3600,7.921633757742567,2.2,HOU,44157777,6.4499,statline_mc+recal_10_4b,team:CHI
2,FLEX,00-0039361,Bucky Irving,RB,TB,6100,11.451688944059558,1.88,CLE,44157301,7.9995,statline_mc+recal_10_4b,team:CHI
3,QB,00-0039918,Caleb Williams,QB,CHI,6800,16.62259880614326,2.44,MIN,44157229,7.9983,statline_mc+recal_10_4b,team:CHI
3,DST,DST_NE,Patriots,DST,NE,3100,8.537512868999999,2.75,PIT,44157945,5.7037,dst_simulated_session_10_4+recal_10_4b,team:CHI
3,RB1,00-0032764,Derrick Henry,RB,BAL,7200,17.36822011978844,2.41,NO,44157287,9.6516,statline_mc+recal_10_4b,team:CHI
3,RB2,00-0038542,Bijan Robinson,RB,ATL,8200,17.176090161885064,2.09,CAR,44157285,9.0822,statline_mc+recal_10_4b,team:CHI
3,WR1,00-0039064,Zay Flowers,WR,BAL,6700,10.85974402871999,1.62,NO,44157475,8.4706,statline_mc+recal_10_4b,team:CHI
3,WR2,00-0032464,Kalif Raymond,WR,CHI,3600,10.09192351056168,2.8,MIN,44157549,8.0367,statline_mc+recal_10_4b,team:CHI
3,WR3,00-0040667,Matthew Golden,WR,GB,4700,9.835953727006125,2.09,NYJ,44157505,7.818,statline_mc+recal_10_4b,team:CHI
3,TE,00-0034829,Mike Gesicki,TE,CIN,3600,7.921633757742567,2.2,HOU,44157777,6.4499,statline_mc+recal_10_4b,team:CHI
3,FLEX,00-0039361,Bucky Irving,RB,TB,6100,11.451688944059558,1.88,CLE,44157301,7.9995,statline_mc+recal_10_4b,team:CHI
