lineup_id,roster_slot,player_id,player_name,position,team,roster_role,salary,projection,value,opponent,site_player_id,sigma,sigma_source
1,CPT,00-0034869,Sam Darnold,QB,SEA,CPT,14100,26.001095162481825,1.84,NE,43782100,11.97195,statline_mc+recal_10_4b
1,FLEX1,00-0038543,Jaxon Smith-Njigba,WR,SEA,FLEX,10600,18.535154557587333,1.75,NE,43782034,9.5877,statline_mc+recal_10_4b
1,FLEX2,00-0039851,Drake Maye,QB,NE,FLEX,10000,12.775297438163769,1.28,SEA,43782035,7.7178,statline_mc+recal_10_4b
1,FLEX3,00-0031492,Jason Myers,K,SEA,FLEX,5400,8.155,1.51,NE,43782049,4.9212,kicker_session_13_1
1,FLEX4,00-0040200,Andy Borregales,K,NE,FLEX,5000,7.9954,1.6,SEA,43782051,4.8596,kicker_session_13_1
1,FLEX5,00-0039793,AJ Barner,TE,SEA,FLEX,4600,7.033984106038912,1.53,NE,43782053,6.2577,statline_mc+recal_10_4b
2,CPT,00-0038543,Jaxon Smith-Njigba,WR,SEA,CPT,15900,27.802731836381,1.75,NE,43782097,14.38155,statline_mc+recal_10_4b
2,FLEX1,00-0034869,Sam Darnold,QB,SEA,FLEX,9400,17.33406344165455,1.84,NE,43782037,7.9813,statline_mc+recal_10_4b
2,FLEX2,00-0039851,Drake Maye,QB,NE,FLEX,10000,12.775297438163769,1.28,SEA,43782035,7.7178,statline_mc+recal_10_4b
2,FLEX3,00-0031492,Jason Myers,K,SEA,FLEX,5400,8.155,1.51,NE,43782049,4.9212,kicker_session_13_1
2,FLEX4,DST_SEA,Seahawks,DST,SEA,FLEX,4400,7.6003458525,1.73,NE,43782054,5.8587,dst_simulated_session_10_4+recal_10_4b
2,FLEX5,00-0039793,AJ Barner,TE,SEA,FLEX,4600,7.033984106038912,1.53,NE,43782053,6.2577,statline_mc+recal_10_4b
3,CPT,00-0039851,Drake Maye,QB,NE,CPT,15000,19.162946157245653,1.28,SEA,43782098,11.5767,statline_mc+recal_10_4b
3,FLEX1,00-0038543,Jaxon Smith-Njigba,WR,SEA,FLEX,10600,18.535154557587333,1.75,NE,43782034,9.5877,statline_mc+recal_10_4b
3,FLEX2,00-0034869,Sam Darnold,QB,SEA,FLEX,9400,17.33406344165455,1.84,NE,43782037,7.9813,statline_mc+recal_10_4b
3,FLEX3,00-0031492,Jason Myers,K,SEA,FLEX,5400,8.155,1.51,NE,43782049,4.9212,kicker_session_13_1
3,FLEX4,00-0040200,Andy Borregales,K,NE,FLEX,5000,7.9954,1.6,SEA,43782051,4.8596,kicker_session_13_1
3,FLEX5,DST_SEA,Seahawks,DST,SEA,FLEX,4400,7.6003458525,1.73,NE,43782054,5.8587,dst_simulated_session_10_4+recal_10_4b
4,CPT,00-0034869,Sam Darnold,QB,SEA,CPT,14100,26.001095162481825,1.84,NE,43782100,11.97195,statline_mc+recal_10_4b
4,FLEX1,00-0038543,Jaxon Smith-Njigba,WR,SEA,FLEX,10600,18.535154557587333,1.75,NE,43782034,9.5877,statline_mc+recal_10_4b
4,FLEX2,00-0039851,Drake Maye,QB,NE,FLEX,10000,12.775297438163769,1.28,SEA,43782035,7.7178,statline_mc+recal_10_4b
4,FLEX3,00-0031492,Jason Myers,K,SEA,FLEX,5400,8.155,1.51,NE,43782049,4.9212,kicker_session_13_1
4,FLEX4,DST_SEA,Seahawks,DST,SEA,FLEX,4400,7.6003458525,1.73,NE,43782054,5.8587,dst_simulated_session_10_4+recal_10_4b
4,FLEX5,00-0033908,Cooper Kupp,WR,SEA,FLEX,5200,5.454692101246443,1.05,NE,43782050,6.4764,statline_mc+recal_10_4b
5,CPT,00-0038543,Jaxon Smith-Njigba,WR,SEA,CPT,15900,27.802731836381,1.75,NE,43782097,14.38155,statline_mc+recal_10_4b
5,FLEX1,00-0034869,Sam Darnold,QB,SEA,FLEX,9400,17.33406344165455,1.84,NE,43782037,7.9813,statline_mc+recal_10_4b
5,FLEX2,00-0039851,Drake Maye,QB,NE,FLEX,10000,12.775297438163769,1.28,SEA,43782035,7.7178,statline_mc+recal_10_4b
5,FLEX3,00-0040200,Andy Borregales,K,NE,FLEX,5000,7.9954,1.6,SEA,43782051,4.8596,kicker_session_13_1
5,FLEX4,DST_SEA,Seahawks,DST,SEA,FLEX,4400,7.6003458525,1.73,NE,43782054,5.8587,dst_simulated_session_10_4+recal_10_4b
5,FLEX5,00-0033908,Cooper Kupp,WR,SEA,FLEX,5200,5.454692101246443,1.05,NE,43782050,6.4764,statline_mc+recal_10_4b
6,CPT,00-0034869,Sam Darnold,QB,SEA,CPT,14100,26.001095162481825,1.84,NE,43782100,11.97195,statline_mc+recal_10_4b
6,FLEX1,00-0038543,Jaxon Smith-Njigba,WR,SEA,FLEX,10600,18.535154557587333,1.75,NE,43782034,9.5877,statline_mc+recal_10_4b
6,FLEX2,00-0039851,Drake Maye,QB,NE,FLEX,10000,12.775297438163769,1.28,SEA,43782035,7.7178,statline_mc+recal_10_4b
6,FLEX3,00-0031492,Jason Myers,K,SEA,FLEX,5400,8.155,1.51,NE,43782049,4.9212,kicker_session_13_1
6,FLEX4,00-0040200,Andy Borregales,K,NE,FLEX,5000,7.9954,1.6,SEA,43782051,4.8596,kicker_session_13_1
6,FLEX5,00-0033090,Hunter Henry,TE,NE,FLEX,4800,5.186247523234279,1.08,SEA,43782052,5.8817,statline_mc+recal_10_4b
7,CPT,00-0034869,Sam Darnold,QB,SEA,CPT,14100,26.001095162481825,1.84,NE,43782100,11.97195,statline_mc+recal_10_4b
