lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0037834,Brock Purdy,QB,SF,6200,16.60513227826133,2.68,MIA,44173858,7.9344,statline_mc+recal_10_4b,team:SF
1,DST,DST_JAX,Jaguars,DST,JAX,2400,6.3869637735,2.66,DEN,44174324,5.8829,dst_simulated_session_10_4+recal_10_4b,team:SF
1,RB1,00-0036997,Javonte Williams,RB,DAL,6400,11.519303812512454,1.8,WAS,44173896,7.9853,statline_mc+recal_10_4b,team:SF
1,RB2,00-0040719,Bhayshul Tuten,RB,JAX,5600,8.178799286007997,1.46,DEN,44173900,7.5244,statline_mc+recal_10_4b,team:SF
1,WR1,00-0037247,George Pickens,WR,DAL,6300,8.871156095384613,1.41,WAS,44174020,7.6498,statline_mc+recal_10_4b,team:SF
1,WR2,00-0031588,Stefon Diggs,WR,WAS,5300,8.608537735518263,1.62,DAL,44174032,7.4023,statline_mc+recal_10_4b,team:SF
1,WR3,00-0035719,Deebo Samuel Sr.,WR,SF,5300,8.289664384147615,1.56,MIA,44174030,7.6019,statline_mc+recal_10_4b,team:SF
1,TE,00-0037744,Trey McBride,TE,ARI,6900,10.379363212114155,1.5,SEA,44174200,6.7971,statline_mc+recal_10_4b,team:SF
1,FLEX,00-0040242,Jacory Croskey-Merritt,RB,WAS,5500,7.768472626159753,1.41,DAL,44173904,7.357,statline_mc+recal_10_4b,team:SF
2,QB,00-0037834,Brock Purdy,QB,SF,6200,16.60513227826133,2.68,MIA,44173858,7.9344,statline_mc+recal_10_4b,team:SF
2,DST,DST_ARI,Cardinals,DST,ARI,2500,6.253889494500001,2.5,SEA,44174322,5.7863,dst_simulated_session_10_4+recal_10_4b,team:SF
2,RB1,00-0040122,Ashton Jeanty,RB,LV,6800,9.992577495676848,1.47,LAC,44173890,7.5536,statline_mc+recal_10_4b,team:SF
2,RB2,00-0040719,Bhayshul Tuten,RB,JAX,5600,8.178799286007997,1.46,DEN,44173900,7.5244,statline_mc+recal_10_4b,team:SF
2,WR1,00-0031588,Stefon Diggs,WR,WAS,5300,8.608537735518263,1.62,DAL,44174032,7.4023,statline_mc+recal_10_4b,team:SF
2,WR2,00-0035719,Deebo Samuel Sr.,WR,SF,5300,8.289664384147615,1.56,MIA,44174030,7.6019,statline_mc+recal_10_4b,team:SF
2,WR3,00-0038606,Parker Washington,WR,JAX,5900,7.361236663935864,1.25,DEN,44174024,7.1744,statline_mc+recal_10_4b,team:SF
2,TE,00-0037744,Trey McBride,TE,ARI,6900,10.379363212114155,1.5,SEA,44174200,6.7971,statline_mc+recal_10_4b,team:SF
2,FLEX,00-0040242,Jacory Croskey-Merritt,RB,WAS,5500,7.768472626159753,1.41,DAL,44173904,7.357,statline_mc+recal_10_4b,team:SF
3,QB,00-0033077,Dak Prescott,QB,DAL,6400,16.599547333012108,2.59,WAS,44173856,7.9591,statline_mc+recal_10_4b,team:DAL
3,DST,DST_ARI,Cardinals,DST,ARI,2500,6.253889494500001,2.5,SEA,44174322,5.7863,dst_simulated_session_10_4+recal_10_4b,team:DAL
3,RB1,00-0040719,Bhayshul Tuten,RB,JAX,5600,8.178799286007997,1.46,DEN,44173900,7.5244,statline_mc+recal_10_4b,team:DAL
3,RB2,00-0040242,Jacory Croskey-Merritt,RB,WAS,5500,7.768472626159753,1.41,DAL,44173904,7.357,statline_mc+recal_10_4b,team:DAL
3,WR1,00-0037247,George Pickens,WR,DAL,6300,8.871156095384613,1.41,WAS,44174020,7.6498,statline_mc+recal_10_4b,team:DAL
3,WR2,00-0031588,Stefon Diggs,WR,WAS,5300,8.608537735518263,1.62,DAL,44174032,7.4023,statline_mc+recal_10_4b,team:DAL
3,WR3,00-0039915,Ladd McConkey,WR,LAC,6200,8.555335876834818,1.38,LV,44174022,7.4633,statline_mc+recal_10_4b,team:DAL
3,TE,00-0037744,Trey McBride,TE,ARI,6900,10.379363212114155,1.5,SEA,44174200,6.7971,statline_mc+recal_10_4b,team:DAL
3,FLEX,00-0035719,Deebo Samuel Sr.,WR,SF,5300,8.289664384147615,1.56,MIA,44174030,7.6019,statline_mc+recal_10_4b,team:DAL
