lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0033077,Dak Prescott,QB,DAL,8000,14.417456592616348,1.8,WAS,134251-31716,7.4866,statline_mc+recal_10_4b,team:DAL
1,DEF,DST_CAR,Carolina Panthers,DEF,CAR,3300,9.99216369,3.03,ATL,134251-12553,6.1999,dst_simulated_session_10_4,team:DAL
1,RB1,00-0032764,Derrick Henry,RB,BAL,8700,19.45500188511795,2.24,NO,134251-39280,10.2889,statline_mc+recal_10_4b,team:DAL
1,RB2,00-0033280,Christian McCaffrey,RB,SF,9000,16.855447139239246,1.87,MIA,134251-55050,9.6602,statline_mc+recal_10_4b,team:DAL
1,WR1,00-0037247,George Pickens,WR,DAL,8000,8.558361781842917,1.07,WAS,134251-110246,6.9077,statline_mc+recal_10_4b,team:DAL
1,WR2,00-0040667,Matthew Golden,WR,GB,5900,8.377717883166532,1.42,NYJ,134251-166916,6.9651,statline_mc+recal_10_4b,team:DAL
1,WR3,00-0039410,Ryan Flournoy,WR,DAL,5200,5.013764295131398,0.96,WAS,134251-201233,5.7515,statline_mc+recal_10_4b,team:DAL
1,TE,00-0036628,John Bates,TE,WAS,4300,4.706413430142824,1.09,DAL,134251-72705,4.8527,statline_mc+recal_10_4b,team:DAL
1,FLEX,00-0036997,Javonte Williams,RB,DAL,7400,12.026935268226207,1.63,WAS,134251-93541,8.2521,statline_mc+recal_10_4b,team:DAL
2,QB,00-0037834,Brock Purdy,QB,SF,8100,15.02360433871014,1.85,MIA,134251-85607,7.5502,statline_mc+recal_10_4b,team:SF
2,DEF,DST_LAC,Los Angeles Chargers,DEF,LAC,4500,8.6513543955,1.92,LV,134251-12548,5.935,dst_simulated_session_10_4,team:SF
2,RB1,00-0032764,Derrick Henry,RB,BAL,8700,19.45500188511795,2.24,NO,134251-39280,10.2889,statline_mc+recal_10_4b,team:SF
2,RB2,00-0038542,Bijan Robinson,RB,ATL,8900,17.553064673499467,1.97,CAR,134251-136855,9.2508,statline_mc+recal_10_4b,team:SF
2,WR1,00-0035719,Deebo Samuel Sr.,WR,SF,6200,8.543654309799134,1.38,MIA,134251-56018,6.7572,statline_mc+recal_10_4b,team:SF
2,WR2,00-0038544,Quentin Johnston,WR,LAC,5800,6.398334754348303,1.1,LV,134251-120639,6.1446,statline_mc+recal_10_4b,team:SF
2,WR3,00-0032775,Demarcus Robinson,WR,SF,5400,4.914224592769229,0.91,MIA,134251-38264,5.7369,statline_mc+recal_10_4b,team:SF
2,TE,00-0034829,Mike Gesicki,TE,CIN,5300,6.825476944860412,1.29,HOU,134251-56265,5.5879,statline_mc+recal_10_4b,team:SF
2,FLEX,00-0035685,David Montgomery,RB,HOU,7000,10.435557372427969,1.49,CIN,134251-73273,7.7431,statline_mc+recal_10_4b,team:SF
3,QB,00-0033077,Dak Prescott,QB,DAL,8000,14.417456592616348,1.8,WAS,134251-31716,7.4866,statline_mc+recal_10_4b,team:DAL
3,DEF,DST_CAR,Carolina Panthers,DEF,CAR,3300,9.99216369,3.03,ATL,134251-12553,6.1999,dst_simulated_session_10_4,team:DAL
3,RB1,00-0032764,Derrick Henry,RB,BAL,8700,19.45500188511795,2.24,NO,134251-39280,10.2889,statline_mc+recal_10_4b,team:DAL
3,RB2,00-0035685,David Montgomery,RB,HOU,7000,10.435557372427969,1.49,CIN,134251-73273,7.7431,statline_mc+recal_10_4b,team:DAL
3,WR1,00-0039491,Jalen Coker,WR,CAR,5900,8.847889732168223,1.5,ATL,134251-201547,7.0717,statline_mc+recal_10_4b,team:DAL
3,WR2,00-0037247,George Pickens,WR,DAL,8000,8.558361781842917,1.07,WAS,134251-110246,6.9077,statline_mc+recal_10_4b,team:DAL
3,WR3,00-0040735,Luther Burden III,WR,CHI,6000,8.03457906225864,1.34,MIN,134251-166092,6.6493,statline_mc+recal_10_4b,team:DAL
3,TE,00-0038041,Jake Ferguson,TE,DAL,5400,5.00929442994677,0.93,WAS,134251-89680,5.036,statline_mc+recal_10_4b,team:DAL
3,FLEX,00-0038597,Chase Brown,RB,CIN,7600,9.086711201353332,1.2,HOU,134251-89493,7.0577,statline_mc+recal_10_4b,team:DAL
4,QB,00-0039918,Caleb Williams,QB,CHI,8400,14.004682335414094,1.67,MIN,134251-152113,7.5296,statline_mc+recal_10_4b,team:CHI
4,DEF,DST_CAR,Carolina Panthers,DEF,CAR,3300,9.99216369,3.03,ATL,134251-12553,6.1999,dst_simulated_session_10_4,team:CHI
4,RB1,00-0033280,Christian McCaffrey,RB,SF,9000,16.855447139239246,1.87,MIA,134251-55050,9.6602,statline_mc+recal_10_4b,team:CHI
4,RB2,00-0041052,Kaelon Black,RB,SF,5300,8.662616228288181,1.63,MIA,134251-167881,7.448,statline_mc+recal_10_4b,team:CHI
4,WR1,00-0036358,CeeDee Lamb,WR,DAL,8500,10.884859555940974,1.28,WAS,134251-86631,7.6368,statline_mc+recal_10_4b,team:CHI
4,WR2,00-0039915,Ladd McConkey,WR,LAC,6400,9.002117646105795,1.41,LV,134251-133472,7.0526,statline_mc+recal_10_4b,team:CHI
4,WR3,00-0032464,Kalif Raymond,WR,CHI,5300,8.810255710329201,1.66,MIN,134251-70422,7.0296,statline_mc+recal_10_4b,team:CHI
4,TE,00-0037744,Trey McBride,TE,ARI,7500,8.402553316137993,1.12,SEA,134251-91750,5.9118,statline_mc+recal_10_4b,team:CHI
4,FLEX,00-0039919,Rome Odunze,WR,CHI,6300,6.752489526041143,1.07,MIN,134251-120033,6.9492,statline_mc+recal_10_4b,team:CHI
5,QB,00-0039918,Caleb Williams,QB,CHI,8400,14.004682335414094,1.67,MIN,134251-152113,7.5296,statline_mc+recal_10_4b,team:CHI
5,DEF,DST_TB,Tampa Bay Buccaneers,DEF,TB,4800,9.9595089315,2.07,CLE,134251-12551,6.1501,dst_simulated_session_10_4,team:CHI
5,RB1,00-0033280,Christian McCaffrey,RB,SF,9000,16.855447139239246,1.87,MIA,134251-55050,9.6602,statline_mc+recal_10_4b,team:CHI
5,RB2,00-0036997,Javonte Williams,RB,DAL,7400,12.026935268226207,1.63,WAS,134251-93541,8.2521,statline_mc+recal_10_4b,team:CHI
5,WR1,00-0031408,Mike Evans,WR,SF,8200,9.099063124040782,1.11,MIA,134251-32384,6.904,statline_mc+recal_10_4b,team:CHI
5,WR2,00-0032464,Kalif Raymond,WR,CHI,5300,8.810255710329201,1.66,MIN,134251-70422,7.0296,statline_mc+recal_10_4b,team:CHI
5,WR3,00-0040735,Luther Burden III,WR,CHI,6000,8.03457906225864,1.34,MIN,134251-166092,6.6493,statline_mc+recal_10_4b,team:CHI
5,TE,00-0034829,Mike Gesicki,TE,CIN,5300,6.825476944860412,1.29,HOU,134251-56265,5.5879,statline_mc+recal_10_4b,team:CHI
5,FLEX,00-0041052,Kaelon Black,RB,SF,5300,8.662616228288181,1.63,MIA,134251-167881,7.448,statline_mc+recal_10_4b,team:CHI
6,QB,00-0033077,Dak Prescott,QB,DAL,8000,14.417456592616348,1.8,WAS,134251-31716,7.4866,statline_mc+recal_10_4b,team:DAL
6,DEF,DST_NE,New England Patriots,DEF,NE,4100,8.5341573675,2.08,PIT,134251-12541,5.9245,dst_simulated_session_10_4,team:DAL
6,RB1,00-0038542,Bijan Robinson,RB,ATL,8900,17.553064673499467,1.97,CAR,134251-136855,9.2508,statline_mc+recal_10_4b,team:DAL
6,RB2,00-0036997,Javonte Williams,RB,DAL,7400,12.026935268226207,1.63,WAS,134251-93541,8.2521,statline_mc+recal_10_4b,team:DAL
6,WR1,00-0036358,CeeDee Lamb,WR,DAL,8500,10.884859555940974,1.28,WAS,134251-86631,7.6368,statline_mc+recal_10_4b,team:DAL
6,WR2,00-0040735,Luther Burden III,WR,CHI,6000,8.03457906225864,1.34,MIN,134251-166092,6.6493,statline_mc+recal_10_4b,team:DAL
6,WR3,00-0039410,Ryan Flournoy,WR,DAL,5200,5.013764295131398,0.96,WAS,134251-201233,5.7515,statline_mc+recal_10_4b,team:DAL
6,TE,00-0034753,Mark Andrews,TE,BAL,5200,7.294472500929983,1.4,NO,134251-52436,5.6871,statline_mc+recal_10_4b,team:DAL
6,FLEX,00-0040719,Bhayshul Tuten,RB,JAX,6400,8.747072587280645,1.37,DEN,134251-160620,7.3692,statline_mc+recal_10_4b,team:DAL
7,QB,00-0033077,Dak Prescott,QB,DAL,8000,14.417456592616348,1.8,WAS,134251-31716,7.4866,statline_mc+recal_10_4b,team:DAL
7,DEF,DST_DAL,Dallas Cowboys,DEF,DAL,3600,7.476192296999999,2.08,WAS,134251-12530,6.0686,dst_simulated_session_10_4,team:DAL
7,RB1,00-0032764,Derrick Henry,RB,BAL,8700,19.45500188511795,2.24,NO,134251-39280,10.2889,statline_mc+recal_10_4b,team:DAL
7,RB2,00-0036875,Rhamondre Stevenson,RB,NE,6700,10.433499517924714,1.56,PIT,134251-111540,7.7404,statline_mc+recal_10_4b,team:DAL
7,WR1,00-0036358,CeeDee Lamb,WR,DAL,8500,10.884859555940974,1.28,WAS,134251-86631,7.6368,statline_mc+recal_10_4b,team:DAL
7,WR2,00-0040129,Emeka Egbuka,WR,TB,6500,8.697985346751018,1.34,CLE,134251-152655,7.3658,statline_mc+recal_10_4b,team:DAL
7,WR3,00-0037740,Garrett Wilson,WR,NYJ,7200,8.170250046482414,1.13,GB,134251-103564,6.6822,statline_mc+recal_10_4b,team:DAL
7,TE,00-0038041,Jake Ferguson,TE,DAL,5400,5.00929442994677,0.93,WAS,134251-89680,5.036,statline_mc+recal_10_4b,team:DAL
7,FLEX,00-0041052,Kaelon Black,RB,SF,5300,8.662616228288181,1.63,MIA,134251-167881,7.448,statline_mc+recal_10_4b,team:DAL
8,QB,00-0039918,Caleb Williams,QB,CHI,8400,14.004682335414094,1.67,MIN,134251-152113,7.5296,statline_mc+recal_10_4b,team:CHI
8,DEF,DST_PHI,Philadelphia Eagles,DEF,PHI,4900,9.4195187145,1.92,TEN,134251-12545,5.8826,dst_simulated_session_10_4,team:CHI
8,RB1,00-0032764,Derrick Henry,RB,BAL,8700,19.45500188511795,2.24,NO,134251-39280,10.2889,statline_mc+recal_10_4b,team:CHI
8,RB2,00-0038120,Breece Hall,RB,NYJ,7200,10.609415310383415,1.47,GB,134251-103064,7.829,statline_mc+recal_10_4b,team:CHI
8,WR1,00-0038543,Jaxon Smith-Njigba,WR,SEA,9000,10.955548680452392,1.22,ARI,134251-129458,7.5027,statline_mc+recal_10_4b,team:CHI
8,WR2,00-0032464,Kalif Raymond,WR,CHI,5300,8.810255710329201,1.66,MIN,134251-70422,7.0296,statline_mc+recal_10_4b,team:CHI
8,WR3,00-0040735,Luther Burden III,WR,CHI,6000,8.03457906225864,1.34,MIN,134251-166092,6.6493,statline_mc+recal_10_4b,team:CHI
8,TE,00-0034753,Mark Andrews,TE,BAL,5200,7.294472500929983,1.4,NO,134251-52436,5.6871,statline_mc+recal_10_4b,team:CHI
8,FLEX,00-0034829,Mike Gesicki,TE,CIN,5300,6.825476944860412,1.29,HOU,134251-56265,5.5879,statline_mc+recal_10_4b,team:CHI
9,QB,00-0037834,Brock Purdy,QB,SF,8100,15.02360433871014,1.85,MIA,134251-85607,7.5502,statline_mc+recal_10_4b,team:SF
9,DEF,DST_PHI,Philadelphia Eagles,DEF,PHI,4900,9.4195187145,1.92,TEN,134251-12545,5.8826,dst_simulated_session_10_4,team:SF
9,RB1,00-0032764,Derrick Henry,RB,BAL,8700,19.45500188511795,2.24,NO,134251-39280,10.2889,statline_mc+recal_10_4b,team:SF
9,RB2,00-0038542,Bijan Robinson,RB,ATL,8900,17.553064673499467,1.97,CAR,134251-136855,9.2508,statline_mc+recal_10_4b,team:SF
9,WR1,00-0039915,Ladd McConkey,WR,LAC,6400,9.002117646105795,1.41,LV,134251-133472,7.0526,statline_mc+recal_10_4b,team:SF
9,WR2,00-0032464,Kalif Raymond,WR,CHI,5300,8.810255710329201,1.66,MIN,134251-70422,7.0296,statline_mc+recal_10_4b,team:SF
