lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0036442,Joe Burrow,QB,CIN,6900,18.29993359755051,2.65,TB,43727235,8.0498,statline_mc+recal_10_4b,team:CIN
1,DST,DST_TEN,Titans,DST,TEN,3100,10.1709873675,3.28,NYJ,43728531,6.1156,dst_simulated_session_10_4+recal_10_4b,team:CIN
1,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,22.74614033400618,2.84,NO,43727325,10.1555,statline_mc+recal_10_4b,team:CIN
1,RB2,00-0039361,Bucky Irving,RB,TB,5700,13.163627412175863,2.31,CIN,43727359,8.5818,statline_mc+recal_10_4b,team:CIN
1,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,21.16405183674902,2.82,NO,43727633,9.982,statline_mc+recal_10_4b,team:CIN
1,WR2,00-0036900,Ja'Marr Chase,WR,CIN,7800,15.779894509448951,2.02,TB,43727631,9.1648,statline_mc+recal_10_4b,team:CIN
1,WR3,00-0038563,Tre Tucker,WR,LV,4000,8.093702099776214,2.02,MIA,43727735,7.2899,statline_mc+recal_10_4b,team:CIN
1,TE,00-0038129,Cade Otton,TE,TB,3700,8.252141746727613,2.23,CIN,43728243,6.6484,statline_mc+recal_10_4b,team:CIN
1,FLEX,00-0037614,John Metchie III,WR,CAR,3200,6.341733621612834,1.98,CHI,43727819,6.6825,statline_mc+recal_10_4b,team:CIN
2,QB,00-0036442,Joe Burrow,QB,CIN,6900,18.29993359755051,2.65,TB,43727235,8.0498,statline_mc+recal_10_4b,team:CIN
2,DST,DST_CLE,Browns,DST,CLE,2100,6.265429146000001,2.98,JAX,43728547,5.8537,dst_simulated_session_10_4+recal_10_4b,team:CIN
2,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,22.74614033400618,2.84,NO,43727325,10.1555,statline_mc+recal_10_4b,team:CIN
2,RB2,00-0039361,Bucky Irving,RB,TB,5700,13.163627412175863,2.31,CIN,43727359,8.5818,statline_mc+recal_10_4b,team:CIN
2,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,21.16405183674902,2.82,NO,43727633,9.982,statline_mc+recal_10_4b,team:CIN
2,WR2,00-0036900,Ja'Marr Chase,WR,CIN,7800,15.779894509448951,2.02,TB,43727631,9.1648,statline_mc+recal_10_4b,team:CIN
2,WR3,00-0038563,Tre Tucker,WR,LV,4000,8.093702099776214,2.02,MIA,43727735,7.2899,statline_mc+recal_10_4b,team:CIN
2,TE,00-0036970,Kyle Pitts Sr.,TE,ATL,4700,11.740124637886383,2.5,PIT,43728223,7.2,statline_mc+recal_10_4b,team:CIN
2,FLEX,00-0037614,John Metchie III,WR,CAR,3200,6.341733621612834,1.98,CHI,43727819,6.6825,statline_mc+recal_10_4b,team:CIN
3,QB,00-0036442,Joe Burrow,QB,CIN,6900,18.29993359755051,2.65,TB,43727235,8.0498,statline_mc+recal_10_4b,team:CIN
3,DST,DST_ARI,Cardinals,DST,ARI,2000,5.8895311365000005,2.94,LAC,43728548,5.9783,dst_simulated_session_10_4+recal_10_4b,team:CIN
3,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,22.74614033400618,2.84,NO,43727325,10.1555,statline_mc+recal_10_4b,team:CIN
3,RB2,00-0039361,Bucky Irving,RB,TB,5700,13.163627412175863,2.31,CIN,43727359,8.5818,statline_mc+recal_10_4b,team:CIN
3,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,21.16405183674902,2.82,NO,43727633,9.982,statline_mc+recal_10_4b,team:CIN
3,WR2,00-0036900,Ja'Marr Chase,WR,CIN,7800,15.779894509448951,2.02,TB,43727631,9.1648,statline_mc+recal_10_4b,team:CIN
3,WR3,00-0038563,Tre Tucker,WR,LV,4000,8.093702099776214,2.02,MIA,43727735,7.2899,statline_mc+recal_10_4b,team:CIN
3,TE,00-0036970,Kyle Pitts Sr.,TE,ATL,4700,11.740124637886383,2.5,PIT,43728223,7.2,statline_mc+recal_10_4b,team:CIN
3,FLEX,00-0037614,John Metchie III,WR,CAR,3200,6.341733621612834,1.98,CHI,43727819,6.6825,statline_mc+recal_10_4b,team:CIN
4,QB,00-0036442,Joe Burrow,QB,CIN,6900,18.29993359755051,2.65,TB,43727235,8.0498,statline_mc+recal_10_4b,team:CIN
4,DST,DST_TEN,Titans,DST,TEN,3100,10.1709873675,3.28,NYJ,43728531,6.1156,dst_simulated_session_10_4+recal_10_4b,team:CIN
4,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,22.74614033400618,2.84,NO,43727325,10.1555,statline_mc+recal_10_4b,team:CIN
4,RB2,00-0039361,Bucky Irving,RB,TB,5700,13.163627412175863,2.31,CIN,43727359,8.5818,statline_mc+recal_10_4b,team:CIN
4,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,21.16405183674902,2.82,NO,43727633,9.982,statline_mc+recal_10_4b,team:CIN
4,WR2,00-0036900,Ja'Marr Chase,WR,CIN,7800,15.779894509448951,2.02,TB,43727631,9.1648,statline_mc+recal_10_4b,team:CIN
4,WR3,00-0037614,John Metchie III,WR,CAR,3200,6.341733621612834,1.98,CHI,43727819,6.6825,statline_mc+recal_10_4b,team:CIN
4,TE,00-0038129,Cade Otton,TE,TB,3700,8.252141746727613,2.23,CIN,43728243,6.6484,statline_mc+recal_10_4b,team:CIN
4,FLEX,00-0036924,Michael Carter,RB,TEN,4000,7.2134932933845555,1.8,NYJ,43727529,6.9483,statline_mc+recal_10_4b,team:CIN
5,QB,00-0036442,Joe Burrow,QB,CIN,6900,18.29993359755051,2.65,TB,43727235,8.0498,statline_mc+recal_10_4b,team:CIN
5,DST,DST_LV,Raiders,DST,LV,2900,8.792858349,3.03,MIA,43728535,5.8608,dst_simulated_session_10_4+recal_10_4b,team:CIN
5,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,22.74614033400618,2.84,NO,43727325,10.1555,statline_mc+recal_10_4b,team:CIN
