lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0037834,Brock Purdy,QB,SF,8100,14.64977454918376,1.81,MIA,134304-85607,7.5265,statline_mc+recal_10_4b,team:SF
1,DEF,DST_ARI,Arizona Cardinals,DEF,ARI,3200,6.219106857,1.94,SEA,134304-12546,5.9969,dst_simulated_session_10_4,team:SF
1,RB1,00-0033280,Christian McCaffrey,RB,SF,9000,16.288667018740693,1.81,MIA,134304-55050,9.0704,statline_mc+recal_10_4b,team:SF
1,RB2,00-0036997,Javonte Williams,RB,DAL,7400,11.76664335543628,1.59,WAS,134304-93541,8.0012,statline_mc+recal_10_4b,team:SF
1,WR1,00-0035719,Deebo Samuel Sr.,WR,SF,6200,8.611242939072932,1.39,MIA,134304-56018,6.9025,statline_mc+recal_10_4b,team:SF
1,WR2,00-0039915,Ladd McConkey,WR,LAC,6400,8.470136026213485,1.32,LV,134304-133472,6.875,statline_mc+recal_10_4b,team:SF
1,WR3,00-0031588,Stefon Diggs,WR,WAS,6100,7.969491836642196,1.31,DAL,134304-25079,6.7135,statline_mc+recal_10_4b,team:SF
1,TE,00-0037744,Trey McBride,TE,ARI,7500,8.357871517314882,1.11,SEA,134304-91750,5.8145,statline_mc+recal_10_4b,team:SF
1,FLEX,00-0040242,Jacory Croskey-Merritt,RB,WAS,6000,7.722455655928347,1.29,DAL,134304-117178,7.0751,statline_mc+recal_10_4b,team:SF
2,QB,00-0036355,Justin Herbert,QB,LAC,7400,11.19732523404599,1.51,LV,134304-69189,7.3219,statline_mc+recal_10_4b,team:LAC
2,DEF,DST_SF,San Francisco 49ers,DEF,SF,5000,9.863181486,1.97,MIA,134304-12549,6.1363,dst_simulated_session_10_4,team:LAC
2,RB1,00-0033280,Christian McCaffrey,RB,SF,9000,16.288667018740693,1.81,MIA,134304-55050,9.0704,statline_mc+recal_10_4b,team:LAC
2,RB2,00-0040719,Bhayshul Tuten,RB,JAX,6400,8.638978267446626,1.35,DEN,134304-160620,7.3812,statline_mc+recal_10_4b,team:LAC
2,WR1,00-0035719,Deebo Samuel Sr.,WR,SF,6200,8.611242939072932,1.39,MIA,134304-56018,6.9025,statline_mc+recal_10_4b,team:LAC
2,WR2,00-0039915,Ladd McConkey,WR,LAC,6400,8.470136026213485,1.32,LV,134304-133472,6.875,statline_mc+recal_10_4b,team:LAC
2,WR3,00-0031588,Stefon Diggs,WR,WAS,6100,7.969491836642196,1.31,DAL,134304-25079,6.7135,statline_mc+recal_10_4b,team:LAC
2,TE,00-0037744,Trey McBride,TE,ARI,7500,8.357871517314882,1.11,SEA,134304-91750,5.8145,statline_mc+recal_10_4b,team:LAC
2,FLEX,00-0040242,Jacory Croskey-Merritt,RB,WAS,6000,7.722455655928347,1.29,DAL,134304-117178,7.0751,statline_mc+recal_10_4b,team:LAC
3,QB,00-0037834,Brock Purdy,QB,SF,8100,14.64977454918376,1.81,MIA,134304-85607,7.5265,statline_mc+recal_10_4b,team:SF
3,DEF,DST_SF,San Francisco 49ers,DEF,SF,5000,9.863181486,1.97,MIA,134304-12549,6.1363,dst_simulated_session_10_4,team:SF
3,RB1,00-0036997,Javonte Williams,RB,DAL,7400,11.76664335543628,1.59,WAS,134304-93541,8.0012,statline_mc+recal_10_4b,team:SF
3,RB2,00-0040719,Bhayshul Tuten,RB,JAX,6400,8.638978267446626,1.35,DEN,134304-160620,7.3812,statline_mc+recal_10_4b,team:SF
3,WR1,00-0035719,Deebo Samuel Sr.,WR,SF,6200,8.611242939072932,1.39,MIA,134304-56018,6.9025,statline_mc+recal_10_4b,team:SF
3,WR2,00-0039915,Ladd McConkey,WR,LAC,6400,8.470136026213485,1.32,LV,134304-133472,6.875,statline_mc+recal_10_4b,team:SF
3,WR3,00-0031588,Stefon Diggs,WR,WAS,6100,7.969491836642196,1.31,DAL,134304-25079,6.7135,statline_mc+recal_10_4b,team:SF
3,TE,00-0037744,Trey McBride,TE,ARI,7500,8.357871517314882,1.11,SEA,134304-91750,5.8145,statline_mc+recal_10_4b,team:SF
3,FLEX,00-0041512,Jadarian Price,RB,SEA,6500,7.073142630460958,1.09,ARI,134304-169381,6.6333,statline_mc+recal_10_4b,team:SF
