lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0033106,Jared Goff,QB,DET,6000,19.034730138392405,3.17,NO,43727241,8.0575,statline_mc+recal_10_4b,team:DET
1,DST,DST_JAX,Jaguars,DST,JAX,3400,11.135980494,3.28,CLE,43728526,6.1073,dst_simulated_session_10_4+recal_10_4b,team:DET
1,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.81934047118396,2.73,NO,43727325,9.7713,statline_mc+recal_10_4b,team:DET
1,RB2,00-0036223,Jonathan Taylor,RB,IND,7300,16.217400730067478,2.22,BAL,43727329,9.0941,statline_mc+recal_10_4b,team:DET
1,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.48731793482912,2.6,NO,43727633,9.9094,statline_mc+recal_10_4b,team:DET
1,WR2,00-0038117,Wan'Dale Robinson,WR,TEN,4800,8.313587902189363,1.73,NYJ,43727699,7.3173,statline_mc+recal_10_4b,team:DET
1,WR3,00-0039451,Isaiah Williams,WR,NYJ,3000,6.276431422356963,2.09,TEN,43728063,6.5866,statline_mc+recal_10_4b,team:DET
1,TE,00-0040126,Colston Loveland,TE,CHI,5300,14.77490579921909,2.79,CAR,43728219,7.8613,statline_mc+recal_10_4b,team:DET
1,FLEX,00-0039065,Sam LaPorta,TE,DET,4400,8.908351133572726,2.02,NO,43728229,6.6912,statline_mc+recal_10_4b,team:DET
2,QB,00-0033106,Jared Goff,QB,DET,6000,19.034730138392405,3.17,NO,43727241,8.0575,statline_mc+recal_10_4b,team:DET
2,DST,DST_PIT,Steelers,DST,PIT,3300,9.155088827999998,2.77,ATL,43728527,5.8319,dst_simulated_session_10_4+recal_10_4b,team:DET
2,RB1,00-0036919,Kenny Gainwell,RB,TB,5200,13.475442895956013,2.59,CIN,43727377,8.3316,statline_mc+recal_10_4b,team:DET
2,RB2,00-0039361,Bucky Irving,RB,TB,5700,11.888880198100717,2.09,CIN,43727359,8.3498,statline_mc+recal_10_4b,team:DET
2,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.48731793482912,2.6,NO,43727633,9.9094,statline_mc+recal_10_4b,team:DET
2,WR2,00-0036900,Ja'Marr Chase,WR,CIN,7800,15.65053557384799,2.01,TB,43727631,9.1708,statline_mc+recal_10_4b,team:DET
2,WR3,00-0037240,Jameson Williams,WR,DET,6000,11.527489224247589,1.92,NO,43727653,8.3863,statline_mc+recal_10_4b,team:DET
2,TE,00-0040126,Colston Loveland,TE,CHI,5300,14.77490579921909,2.79,CAR,43728219,7.8613,statline_mc+recal_10_4b,team:DET
2,FLEX,00-0037614,John Metchie III,WR,CAR,3200,6.704578225782342,2.1,CHI,43727819,6.9127,statline_mc+recal_10_4b,team:DET
