lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0039918,Caleb Williams,QB,CHI,6800,16.030885639138102,2.36,MIN,44157229,7.9613,statline_mc+recal_10_4b,team:CHI
1,DST,DST_TB,Buccaneers,DST,TB,3600,10.029647097,2.79,CLE,44157942,5.9481,dst_simulated_session_10_4+recal_10_4b,team:CHI
1,RB1,00-0038542,Bijan Robinson,RB,ATL,8200,17.359904387774268,2.12,CAR,44157285,9.1557,statline_mc+recal_10_4b,team:CHI
1,RB2,00-0032764,Derrick Henry,RB,BAL,7200,17.258661576025574,2.4,NO,44157287,9.6868,statline_mc+recal_10_4b,team:CHI
1,WR1,00-0039491,Jalen Coker,WR,CAR,5100,10.453342878658358,2.05,ATL,44157501,8.0736,statline_mc+recal_10_4b,team:CHI
1,WR2,00-0032464,Kalif Raymond,WR,CHI,3600,10.3470521701644,2.87,MIN,44157549,8.2323,statline_mc+recal_10_4b,team:CHI
1,WR3,00-0040667,Matthew Golden,WR,GB,4700,9.8450556363634,2.09,NYJ,44157505,8.0768,statline_mc+recal_10_4b,team:CHI
1,TE,00-0034753,Mark Andrews,TE,BAL,4400,7.889908574562936,1.79,NO,44157765,6.49,statline_mc+recal_10_4b,team:CHI
1,FLEX,00-0039361,Bucky Irving,RB,TB,6100,11.800804272563814,1.93,CLE,44157301,8.0828,statline_mc+recal_10_4b,team:CHI
2,QB,00-0039918,Caleb Williams,QB,CHI,6800,16.030885639138102,2.36,MIN,44157229,7.9613,statline_mc+recal_10_4b,team:CHI
2,DST,DST_NE,Patriots,DST,NE,3100,8.589727746,2.77,PIT,44157945,5.7163,dst_simulated_session_10_4+recal_10_4b,team:CHI
2,RB1,00-0038542,Bijan Robinson,RB,ATL,8200,17.359904387774268,2.12,CAR,44157285,9.1557,statline_mc+recal_10_4b,team:CHI
2,RB2,00-0032764,Derrick Henry,RB,BAL,7200,17.258661576025574,2.4,NO,44157287,9.6868,statline_mc+recal_10_4b,team:CHI
2,WR1,00-0039491,Jalen Coker,WR,CAR,5100,10.453342878658358,2.05,ATL,44157501,8.0736,statline_mc+recal_10_4b,team:CHI
2,WR2,00-0032464,Kalif Raymond,WR,CHI,3600,10.3470521701644,2.87,MIN,44157549,8.2323,statline_mc+recal_10_4b,team:CHI
2,WR3,00-0038124,Christian Watson,WR,GB,6200,9.346777053446244,1.51,NYJ,44157479,7.8533,statline_mc+recal_10_4b,team:CHI
2,TE,00-0034829,Mike Gesicki,TE,CIN,3600,7.828421264236964,2.17,HOU,44157777,6.4686,statline_mc+recal_10_4b,team:CHI
2,FLEX,00-0039361,Bucky Irving,RB,TB,6100,11.800804272563814,1.93,CLE,44157301,8.0828,statline_mc+recal_10_4b,team:CHI
3,QB,00-0034796,Lamar Jackson,QB,BAL,7300,16.083070562608075,2.2,NO,44157228,7.9509,statline_mc+recal_10_4b,team:BAL
3,DST,DST_PHI,Eagles,DST,PHI,3700,9.373360108499998,2.53,TEN,44157941,5.5846,dst_simulated_session_10_4+recal_10_4b,team:BAL
3,RB1,00-0038542,Bijan Robinson,RB,ATL,8200,17.359904387774268,2.12,CAR,44157285,9.1557,statline_mc+recal_10_4b,team:BAL
3,RB2,00-0032764,Derrick Henry,RB,BAL,7200,17.258661576025574,2.4,NO,44157287,9.6868,statline_mc+recal_10_4b,team:BAL
3,WR1,00-0039491,Jalen Coker,WR,CAR,5100,10.453342878658358,2.05,ATL,44157501,8.0736,statline_mc+recal_10_4b,team:BAL
3,WR2,00-0032464,Kalif Raymond,WR,CHI,3600,10.3470521701644,2.87,MIN,44157549,8.2323,statline_mc+recal_10_4b,team:BAL
3,WR3,00-0040667,Matthew Golden,WR,GB,4700,9.8450556363634,2.09,NYJ,44157505,8.0768,statline_mc+recal_10_4b,team:BAL
3,TE,00-0034753,Mark Andrews,TE,BAL,4400,7.889908574562936,1.79,NO,44157765,6.49,statline_mc+recal_10_4b,team:BAL
3,FLEX,00-0036875,Rhamondre Stevenson,RB,NE,5700,11.12861687083056,1.95,PIT,44157307,8.0134,statline_mc+recal_10_4b,team:BAL
