lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,stack_target
1,QB,90000039,Levi Fields,QB,PHI,4000,1.44,0.36,DAL,90000039,
1,DEF,90000145,Rams,DEF,LAR,5300,7.69,1.45,SEA,90000145,
1,RB1,90000076,Brandon Pace,RB,BAL,8400,24.74,2.95,CIN,90000076,
1,RB2,90000232,Deshawn Fontaine,RB,ATL,8200,23.67,2.89,NO,90000232,
1,WR1,90000115,Cameron Whitfield,WR,DET,8700,26.14,3.0,GB,90000115,
1,WR2,90000104,Antonio Osei,WR,GB,7100,17.54,2.47,DET,90000104,
1,WR3,90000175,Reggie Osei,WR,PIT,7000,16.64,2.38,JAX,90000175,
1,TE,90000228,Tyler Kessler,TE,NO,4100,1.78,0.43,ATL,90000228,
1,FLEX,90000160,Cameron Pruitt,RB,MIN,7200,18.38,2.55,HOU,90000160,
2,QB,90000039,Levi Fields,QB,PHI,4000,1.44,0.36,DAL,90000039,
2,DEF,90000145,Rams,DEF,LAR,5300,7.69,1.45,SEA,90000145,
2,RB1,90000076,Brandon Pace,RB,BAL,8400,24.74,2.95,CIN,90000076,
2,RB2,90000232,Deshawn Fontaine,RB,ATL,8200,23.67,2.89,NO,90000232,
2,WR1,90000115,Cameron Whitfield,WR,DET,8700,26.14,3.0,GB,90000115,
2,WR2,90000104,Antonio Osei,WR,GB,7100,17.54,2.47,DET,90000104,
2,WR3,90000092,Jordan Coleman,WR,CIN,6200,12.73,2.05,BAL,90000092,
2,TE,90000036,Omar Whitfield,TE,DAL,4000,1.38,0.34,PHI,90000036,
2,FLEX,90000064,Jared Castillo,RB,SF,8100,22.62,2.79,MIA,90000064,
3,QB,90000098,Emmanuel Whitfield,QB,GB,7500,19.29,2.57,DET,90000098,
3,DEF,90000049,Eagles,DEF,PHI,5100,6.75,1.32,DAL,90000049,
3,RB1,90000076,Brandon Pace,RB,BAL,8400,24.74,2.95,CIN,90000076,
3,RB2,90000232,Deshawn Fontaine,RB,ATL,8200,23.67,2.89,NO,90000232,
3,WR1,90000115,Cameron Whitfield,WR,DET,8700,26.14,3.0,GB,90000115,
3,WR2,90000092,Jordan Coleman,WR,CIN,6200,12.73,2.05,BAL,90000092,
3,WR3,90000178,Kendall Odom,WR,PIT,4000,1.54,0.39,JAX,90000178,
3,TE,90000036,Omar Whitfield,TE,DAL,4000,1.38,0.34,PHI,90000036,
3,FLEX,90000136,Dominic Rourke,RB,LAR,7900,21.64,2.74,SEA,90000136,
4,QB,90000050,Omar Pruitt,QB,MIA,6800,15.59,2.29,SF,90000050,
4,DEF,90000217,Chargers,DEF,LAC,5600,8.87,1.58,DEN,90000217,
4,RB1,90000076,Brandon Pace,RB,BAL,8400,24.74,2.95,CIN,90000076,
4,RB2,90000232,Deshawn Fontaine,RB,ATL,8200,23.67,2.89,NO,90000232,
4,WR1,90000115,Cameron Whitfield,WR,DET,8700,26.14,3.0,GB,90000115,
4,WR2,90000104,Antonio Osei,WR,GB,7100,17.54,2.47,DET,90000104,
4,WR3,90000178,Kendall Odom,WR,PIT,4000,1.54,0.39,JAX,90000178,
4,TE,90000036,Omar Whitfield,TE,DAL,4000,1.38,0.34,PHI,90000036,
4,FLEX,90000160,Cameron Pruitt,RB,MIN,7200,18.38,2.55,HOU,90000160,
5,QB,90000098,Emmanuel Whitfield,QB,GB,7500,19.29,2.57,DET,90000098,
5,DEF,90000049,Eagles,DEF,PHI,5100,6.75,1.32,DAL,90000049,
5,RB1,90000076,Brandon Pace,RB,BAL,8400,24.74,2.95,CIN,90000076,
5,RB2,90000136,Dominic Rourke,RB,LAR,7900,21.64,2.74,SEA,90000136,
5,WR1,90000115,Cameron Whitfield,WR,DET,8700,26.14,3.0,GB,90000115,
5,WR2,90000104,Antonio Osei,WR,GB,7100,17.54,2.47,DET,90000104,
5,WR3,90000178,Kendall Odom,WR,PIT,4000,1.54,0.39,JAX,90000178,
5,TE,90000228,Tyler Kessler,TE,NO,4100,1.78,0.43,ATL,90000228,
5,FLEX,90000160,Cameron Pruitt,RB,MIN,7200,18.38,2.55,HOU,90000160,
6,QB,90000098,Emmanuel Whitfield,QB,GB,7500,19.29,2.57,DET,90000098,
6,DEF,90000049,Eagles,DEF,PHI,5100,6.75,1.32,DAL,90000049,
