lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0037834,Brock Purdy,QB,SF,6200,16.453437467427815,2.65,MIA,44173858,7.9554,statline_mc+recal_10_4b,team:SF
1,DST,DST_ARI,Cardinals,DST,ARI,2500,6.219106857,2.49,SEA,44174322,5.7655,dst_simulated_session_10_4+recal_10_4b,team:SF
1,RB1,00-0036997,Javonte Williams,RB,DAL,6400,11.364893555431154,1.78,WAS,44173896,8.1199,statline_mc+recal_10_4b,team:SF
1,RB2,00-0040719,Bhayshul Tuten,RB,JAX,5600,8.070800280685393,1.44,DEN,44173900,7.4064,statline_mc+recal_10_4b,team:SF
1,WR1,00-0039915,Ladd McConkey,WR,LAC,6200,8.69018625397786,1.4,LV,44174022,7.7232,statline_mc+recal_10_4b,team:SF
1,WR2,00-0031588,Stefon Diggs,WR,WAS,5300,8.682146207578983,1.64,DAL,44174032,7.5002,statline_mc+recal_10_4b,team:SF
1,WR3,00-0035719,Deebo Samuel Sr.,WR,SF,5300,8.188966788464892,1.55,MIA,44174030,7.5165,statline_mc+recal_10_4b,team:SF
1,TE,00-0037744,Trey McBride,TE,ARI,6900,10.390890095478436,1.51,SEA,44174200,6.715,statline_mc+recal_10_4b,team:SF
1,FLEX,00-0040242,Jacory Croskey-Merritt,RB,WAS,5500,7.6193349867113795,1.39,DAL,44173904,7.34,statline_mc+recal_10_4b,team:SF
2,QB,00-0039910,Jayden Daniels,QB,WAS,6300,12.759796094195806,2.03,DAL,44173857,7.7307,statline_mc+recal_10_4b,team:WAS
2,DST,DST_JAX,Jaguars,DST,JAX,2400,6.389173494,2.66,DEN,44174324,5.8518,dst_simulated_session_10_4+recal_10_4b,team:WAS
2,RB1,00-0036997,Javonte Williams,RB,DAL,6400,11.364893555431154,1.78,WAS,44173896,8.1199,statline_mc+recal_10_4b,team:WAS
2,RB2,00-0040719,Bhayshul Tuten,RB,JAX,5600,8.070800280685393,1.44,DEN,44173900,7.4064,statline_mc+recal_10_4b,team:WAS
2,WR1,00-0037247,George Pickens,WR,DAL,6300,8.897073235595027,1.41,WAS,44174020,7.7053,statline_mc+recal_10_4b,team:WAS
2,WR2,00-0031588,Stefon Diggs,WR,WAS,5300,8.682146207578983,1.64,DAL,44174032,7.5002,statline_mc+recal_10_4b,team:WAS
2,WR3,00-0035719,Deebo Samuel Sr.,WR,SF,5300,8.188966788464892,1.55,MIA,44174030,7.5165,statline_mc+recal_10_4b,team:WAS
2,TE,00-0037744,Trey McBride,TE,ARI,6900,10.390890095478436,1.51,SEA,44174200,6.715,statline_mc+recal_10_4b,team:WAS
2,FLEX,00-0040242,Jacory Croskey-Merritt,RB,WAS,5500,7.6193349867113795,1.39,DAL,44173904,7.34,statline_mc+recal_10_4b,team:WAS
3,QB,00-0037834,Brock Purdy,QB,SF,6200,16.453437467427815,2.65,MIA,44173858,7.9554,statline_mc+recal_10_4b,team:SF
3,DST,DST_JAX,Jaguars,DST,JAX,2400,6.389173494,2.66,DEN,44174324,5.8518,dst_simulated_session_10_4+recal_10_4b,team:SF
3,RB1,00-0040122,Ashton Jeanty,RB,LV,6800,9.944978555397109,1.46,LAC,44173890,7.6086,statline_mc+recal_10_4b,team:SF
3,RB2,00-0040719,Bhayshul Tuten,RB,JAX,5600,8.070800280685393,1.44,DEN,44173900,7.4064,statline_mc+recal_10_4b,team:SF
3,WR1,00-0031588,Stefon Diggs,WR,WAS,5300,8.682146207578983,1.64,DAL,44174032,7.5002,statline_mc+recal_10_4b,team:SF
3,WR2,00-0035719,Deebo Samuel Sr.,WR,SF,5300,8.188966788464892,1.55,MIA,44174030,7.5165,statline_mc+recal_10_4b,team:SF
3,WR3,00-0038606,Parker Washington,WR,JAX,5900,7.150236000667236,1.21,DEN,44174024,7.1071,statline_mc+recal_10_4b,team:SF
3,TE,00-0037744,Trey McBride,TE,ARI,6900,10.390890095478436,1.51,SEA,44174200,6.715,statline_mc+recal_10_4b,team:SF
3,FLEX,00-0040242,Jacory Croskey-Merritt,RB,WAS,5500,7.6193349867113795,1.39,DAL,44173904,7.34,statline_mc+recal_10_4b,team:SF
