lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0037834,Brock Purdy,QB,SF,6200,17.308240176033696,2.79,MIA,44132573,7.9986,statline_mc+recal_10_4b,team:SF
1,DST,DST_TB,Buccaneers,DST,TB,3600,9.9708030585,2.77,CLE,44133744,5.9482,dst_simulated_session_10_4+recal_10_4b,team:SF
1,RB1,00-0038542,Bijan Robinson,RB,ATL,8200,17.940452665675473,2.19,CAR,44132656,9.3117,statline_mc+recal_10_4b,team:SF
1,RB2,00-0032764,Derrick Henry,RB,BAL,7200,17.312186240793483,2.4,NO,44132660,9.6653,statline_mc+recal_10_4b,team:SF
1,WR1,00-0032464,Kalif Raymond,WR,CHI,3600,9.85150831001122,2.74,MIN,44133112,8.0878,statline_mc+recal_10_4b,team:SF
1,WR2,00-0035719,Deebo Samuel Sr.,WR,SF,5300,8.85438913402586,1.67,MIA,44133010,7.7571,statline_mc+recal_10_4b,team:SF
1,WR3,00-0038618,Xavier Hutchinson,WR,HOU,3500,8.454304132641836,2.42,CIN,44133116,7.3812,statline_mc+recal_10_4b,team:SF
1,TE,00-0034753,Mark Andrews,TE,BAL,4400,8.232798248116682,1.87,NO,44133456,6.5675,statline_mc+recal_10_4b,team:SF
1,FLEX,00-0033280,Christian McCaffrey,RB,SF,8000,15.206026078843664,1.9,MIA,44132658,8.7625,statline_mc+recal_10_4b,team:SF
2,QB,00-0039918,Caleb Williams,QB,CHI,6800,16.106646780853417,2.37,MIN,44132568,7.9519,statline_mc+recal_10_4b,team:CHI
2,DST,DST_SF,49ers,DST,SF,3800,9.9141687405,2.61,MIA,44133742,5.8788,dst_simulated_session_10_4+recal_10_4b,team:CHI
2,RB1,00-0038542,Bijan Robinson,RB,ATL,8200,17.940452665675473,2.19,CAR,44132656,9.3117,statline_mc+recal_10_4b,team:CHI
2,RB2,00-0032764,Derrick Henry,RB,BAL,7200,17.312186240793483,2.4,NO,44132660,9.6653,statline_mc+recal_10_4b,team:CHI
2,WR1,00-0039491,Jalen Coker,WR,CAR,5100,10.124640453937594,1.99,ATL,44133022,7.9955,statline_mc+recal_10_4b,team:CHI
2,WR2,00-0032464,Kalif Raymond,WR,CHI,3600,9.85150831001122,2.74,MIN,44133112,8.0878,statline_mc+recal_10_4b,team:CHI
2,WR3,00-0038618,Xavier Hutchinson,WR,HOU,3500,8.454304132641836,2.42,CIN,44133116,7.3812,statline_mc+recal_10_4b,team:CHI
2,TE,00-0034829,Mike Gesicki,TE,CIN,3600,7.645022741049521,2.12,HOU,44133476,6.4382,statline_mc+recal_10_4b,team:CHI
2,FLEX,00-0033280,Christian McCaffrey,RB,SF,8000,15.206026078843664,1.9,MIA,44132658,8.7625,statline_mc+recal_10_4b,team:CHI
3,QB,00-0037834,Brock Purdy,QB,SF,6200,17.308240176033696,2.79,MIA,44132573,7.9986,statline_mc+recal_10_4b,team:SF
3,DST,DST_LAC,Chargers,DST,LAC,3200,8.73180459,2.73,LV,44133748,5.6864,dst_simulated_session_10_4+recal_10_4b,team:SF
3,RB1,00-0038542,Bijan Robinson,RB,ATL,8200,17.940452665675473,2.19,CAR,44132656,9.3117,statline_mc+recal_10_4b,team:SF
3,RB2,00-0032764,Derrick Henry,RB,BAL,7200,17.312186240793483,2.4,NO,44132660,9.6653,statline_mc+recal_10_4b,team:SF
3,WR1,00-0040667,Matthew Golden,WR,GB,4700,10.01114109365838,2.13,NYJ,44133036,7.8835,statline_mc+recal_10_4b,team:SF
3,WR2,00-0032464,Kalif Raymond,WR,CHI,3600,9.85150831001122,2.74,MIN,44133112,8.0878,statline_mc+recal_10_4b,team:SF
3,WR3,00-0035719,Deebo Samuel Sr.,WR,SF,5300,8.85438913402586,1.67,MIA,44133010,7.7571,statline_mc+recal_10_4b,team:SF
3,TE,00-0034829,Mike Gesicki,TE,CIN,3600,7.645022741049521,2.12,HOU,44133476,6.4382,statline_mc+recal_10_4b,team:SF
3,FLEX,00-0033280,Christian McCaffrey,RB,SF,8000,15.206026078843664,1.9,MIA,44132658,8.7625,statline_mc+recal_10_4b,team:SF
