lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0033106,Jared Goff,QB,DET,6000,18.918730937905348,3.15,NO,43727241,8.0496,statline_mc+recal_10_4b,team:DET
1,DST,DST_MIA,Dolphins,DST,MIA,2700,7.936714417500001,2.94,LV,43728539,5.9911,dst_simulated_session_10_4+recal_10_4b,team:DET
1,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.500949885742187,2.69,NO,43727325,9.6778,statline_mc+recal_10_4b,team:DET
1,RB2,00-0038542,Bijan Robinson,RB,ATL,7700,16.168650713810226,2.1,PIT,43727327,8.702,statline_mc+recal_10_4b,team:DET
1,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.47525506661683,2.6,NO,43727633,9.7567,statline_mc+recal_10_4b,team:DET
1,WR2,00-0036259,Jauan Jennings,WR,MIN,4300,9.153439219636246,2.13,GB,43727721,7.9517,statline_mc+recal_10_4b,team:DET
1,WR3,00-0037614,John Metchie III,WR,CAR,3200,6.849750091053406,2.14,CHI,43727819,6.9086,statline_mc+recal_10_4b,team:DET
1,TE,00-0040126,Colston Loveland,TE,CHI,5300,14.210027145999884,2.68,CAR,43728219,7.64,statline_mc+recal_10_4b,team:DET
1,FLEX,00-0036919,Kenny Gainwell,RB,TB,5200,13.68481332084025,2.63,CIN,43727377,8.4628,statline_mc+recal_10_4b,team:DET
2,QB,00-0033106,Jared Goff,QB,DET,6000,18.918730937905348,3.15,NO,43727241,8.0496,statline_mc+recal_10_4b,team:DET
2,DST,DST_NYJ,Jets,DST,NYJ,2500,8.502566548499999,3.4,TEN,43728542,5.9519,dst_simulated_session_10_4+recal_10_4b,team:DET
2,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.500949885742187,2.69,NO,43727325,9.6778,statline_mc+recal_10_4b,team:DET
2,RB2,00-0036919,Kenny Gainwell,RB,TB,5200,13.68481332084025,2.63,CIN,43727377,8.4628,statline_mc+recal_10_4b,team:DET
2,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.47525506661683,2.6,NO,43727633,9.7567,statline_mc+recal_10_4b,team:DET
2,WR2,00-0030279,Keenan Allen,WR,IND,4700,10.188710127547289,2.17,BAL,43950117,7.6589,statline_mc+recal_10_4b,team:DET
2,WR3,00-0034960,Jakobi Meyers,WR,JAX,5000,10.124174741464971,2.02,CLE,43727691,7.8437,statline_mc+recal_10_4b,team:DET
2,TE,00-0040126,Colston Loveland,TE,CHI,5300,14.210027145999884,2.68,CAR,43728219,7.64,statline_mc+recal_10_4b,team:DET
2,FLEX,00-0039361,Bucky Irving,RB,TB,5700,11.799694773153318,2.07,CIN,43727359,8.3155,statline_mc+recal_10_4b,team:DET
3,QB,00-0033106,Jared Goff,QB,DET,6000,18.918730937905348,3.15,NO,43727241,8.0496,statline_mc+recal_10_4b,team:DET
3,DST,DST_NYJ,Jets,DST,NYJ,2500,8.502566548499999,3.4,TEN,43728542,5.9519,dst_simulated_session_10_4+recal_10_4b,team:DET
3,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.500949885742187,2.69,NO,43727325,9.6778,statline_mc+recal_10_4b,team:DET
3,RB2,00-0036223,Jonathan Taylor,RB,IND,7300,15.819552166580818,2.17,BAL,43727329,8.9447,statline_mc+recal_10_4b,team:DET
3,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.47525506661683,2.6,NO,43727633,9.7567,statline_mc+recal_10_4b,team:DET
3,WR2,00-0030279,Keenan Allen,WR,IND,4700,10.188710127547289,2.17,BAL,43950117,7.6589,statline_mc+recal_10_4b,team:DET
3,WR3,00-0039491,Jalen Coker,WR,CAR,4600,8.938138618883167,1.94,CHI,43727707,7.9541,statline_mc+recal_10_4b,team:DET
3,TE,00-0034351,Dallas Goedert,TE,PHI,4100,8.436352349157685,2.06,WAS,43728233,6.6662,statline_mc+recal_10_4b,team:DET
3,FLEX,00-0036919,Kenny Gainwell,RB,TB,5200,13.68481332084025,2.63,CIN,43727377,8.4628,statline_mc+recal_10_4b,team:DET
4,QB,00-0033106,Jared Goff,QB,DET,6000,18.918730937905348,3.15,NO,43727241,8.0496,statline_mc+recal_10_4b,team:DET
4,DST,DST_LV,Raiders,DST,LV,2900,8.875518263999998,3.06,MIA,43728535,5.8669,dst_simulated_session_10_4+recal_10_4b,team:DET
4,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.500949885742187,2.69,NO,43727325,9.6778,statline_mc+recal_10_4b,team:DET
4,RB2,00-0038542,Bijan Robinson,RB,ATL,7700,16.168650713810226,2.1,PIT,43727327,8.702,statline_mc+recal_10_4b,team:DET
4,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.47525506661683,2.6,NO,43727633,9.7567,statline_mc+recal_10_4b,team:DET
4,WR2,00-0036259,Jauan Jennings,WR,MIN,4300,9.153439219636246,2.13,GB,43727721,7.9517,statline_mc+recal_10_4b,team:DET
4,WR3,00-0039451,Isaiah Williams,WR,NYJ,3000,6.233137250844234,2.08,TEN,43728063,6.6373,statline_mc+recal_10_4b,team:DET
4,TE,00-0040126,Colston Loveland,TE,CHI,5300,14.210027145999884,2.68,CAR,43728219,7.64,statline_mc+recal_10_4b,team:DET
4,FLEX,00-0036919,Kenny Gainwell,RB,TB,5200,13.68481332084025,2.63,CIN,43727377,8.4628,statline_mc+recal_10_4b,team:DET
5,QB,00-0033106,Jared Goff,QB,DET,6000,18.918730937905348,3.15,NO,43727241,8.0496,statline_mc+recal_10_4b,team:DET
5,DST,DST_NYJ,Jets,DST,NYJ,2500,8.502566548499999,3.4,TEN,43728542,5.9519,dst_simulated_session_10_4+recal_10_4b,team:DET
5,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.500949885742187,2.69,NO,43727325,9.6778,statline_mc+recal_10_4b,team:DET
5,RB2,00-0036919,Kenny Gainwell,RB,TB,5200,13.68481332084025,2.63,CIN,43727377,8.4628,statline_mc+recal_10_4b,team:DET
5,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.47525506661683,2.6,NO,43727633,9.7567,statline_mc+recal_10_4b,team:DET
5,WR2,00-0036900,Ja'Marr Chase,WR,CIN,7800,15.595155681647356,2.0,TB,43727631,9.1204,statline_mc+recal_10_4b,team:DET
5,WR3,00-0039451,Isaiah Williams,WR,NYJ,3000,6.233137250844234,2.08,TEN,43728063,6.6373,statline_mc+recal_10_4b,team:DET
5,TE,00-0040126,Colston Loveland,TE,CHI,5300,14.210027145999884,2.68,CAR,43728219,7.64,statline_mc+recal_10_4b,team:DET
5,FLEX,00-0036970,Kyle Pitts Sr.,TE,ATL,4700,11.106214909114806,2.36,PIT,43728223,6.975,statline_mc+recal_10_4b,team:DET
