lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0036355,Justin Herbert,QB,LAC,6100,19.32272506673157,3.17,ARI,44095904,8.0543,statline_mc+recal_10_4b,team:LAC
1,DST,DST_LV,Raiders,DST,LV,2900,8.681553909,2.99,MIA,44096280,5.7984,dst_simulated_session_10_4+recal_10_4b,team:LAC
1,RB1,00-0040666,Omarion Hampton,RB,LAC,6800,12.020716949972796,1.77,ARI,44095933,8.2398,statline_mc+recal_10_4b,team:LAC
1,RB2,00-0040122,Ashton Jeanty,RB,LV,6600,11.457876844308524,1.74,MIA,44095935,8.1568,statline_mc+recal_10_4b,team:LAC
1,WR1,00-0036322,Justin Jefferson,WR,MIN,7300,11.824556513097365,1.62,GB,44096027,8.1702,statline_mc+recal_10_4b,team:LAC
1,WR2,00-0036259,Jauan Jennings,WR,MIN,4300,9.301714460698712,2.16,GB,44096055,7.7734,statline_mc+recal_10_4b,team:LAC
1,WR3,00-0038559,Michael Wilson,WR,ARI,5300,8.801332861302944,1.66,LAC,44096039,7.4264,statline_mc+recal_10_4b,team:LAC
1,TE,00-0037744,Trey McBride,TE,ARI,6800,10.259703182154926,1.51,LAC,44096177,6.5202,statline_mc+recal_10_4b,team:LAC
1,FLEX,00-0040727,Tre' Harris,WR,LAC,3800,5.896966568399697,1.55,ARI,44096065,6.8142,statline_mc+recal_10_4b,team:LAC
2,QB,00-0036355,Justin Herbert,QB,LAC,6100,19.32272506673157,3.17,ARI,44095904,8.0543,statline_mc+recal_10_4b,team:LAC
2,DST,DST_MIA,Dolphins,DST,MIA,2700,7.951773253500001,2.95,LV,44096282,5.9708,dst_simulated_session_10_4+recal_10_4b,team:LAC
2,RB1,00-0040666,Omarion Hampton,RB,LAC,6800,12.020716949972796,1.77,ARI,44095933,8.2398,statline_mc+recal_10_4b,team:LAC
2,RB2,00-0034844,Saquon Barkley,RB,PHI,6900,11.14782075188473,1.62,WAS,44095931,8.4853,statline_mc+recal_10_4b,team:LAC
2,WR1,00-0036322,Justin Jefferson,WR,MIN,7300,11.824556513097365,1.62,GB,44096027,8.1702,statline_mc+recal_10_4b,team:LAC
2,WR2,00-0036259,Jauan Jennings,WR,MIN,4300,9.301714460698712,2.16,GB,44096055,7.7734,statline_mc+recal_10_4b,team:LAC
2,WR3,00-0038559,Michael Wilson,WR,ARI,5300,8.801332861302944,1.66,LAC,44096039,7.4264,statline_mc+recal_10_4b,team:LAC
2,TE,00-0037744,Trey McBride,TE,ARI,6800,10.259703182154926,1.51,LAC,44096177,6.5202,statline_mc+recal_10_4b,team:LAC
2,FLEX,00-0040189,Oronde Gadsden II,TE,LAC,3500,6.332823147328983,1.81,ARI,44096187,6.4842,statline_mc+recal_10_4b,team:LAC
3,QB,00-0036355,Justin Herbert,QB,LAC,6100,19.32272506673157,3.17,ARI,44095904,8.0543,statline_mc+recal_10_4b,team:LAC
3,DST,DST_LAC,Chargers,DST,LAC,3500,8.646280222500001,2.47,ARI,44096277,5.8841,dst_simulated_session_10_4+recal_10_4b,team:LAC
3,RB1,00-0040666,Omarion Hampton,RB,LAC,6800,12.020716949972796,1.77,ARI,44095933,8.2398,statline_mc+recal_10_4b,team:LAC
3,RB2,00-0040122,Ashton Jeanty,RB,LV,6600,11.457876844308524,1.74,MIA,44095935,8.1568,statline_mc+recal_10_4b,team:LAC
3,WR1,00-0036322,Justin Jefferson,WR,MIN,7300,11.824556513097365,1.62,GB,44096027,8.1702,statline_mc+recal_10_4b,team:LAC
3,WR2,00-0036259,Jauan Jennings,WR,MIN,4300,9.301714460698712,2.16,GB,44096055,7.7734,statline_mc+recal_10_4b,team:LAC
3,WR3,00-0040727,Tre' Harris,WR,LAC,3800,5.896966568399697,1.55,ARI,44096065,6.8142,statline_mc+recal_10_4b,team:LAC
3,TE,00-0038996,Tucker Kraft,TE,GB,4500,7.888189310441217,1.75,MIN,44096179,6.3924,statline_mc+recal_10_4b,team:LAC
3,FLEX,00-0034844,Saquon Barkley,RB,PHI,6900,11.14782075188473,1.62,WAS,44095931,8.4853,statline_mc+recal_10_4b,team:LAC
