lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0036355,Justin Herbert,QB,LAC,5900,27.33403576447665,4.63,PIT,200030,0.0,,
1,DEF,DST_TB,TB Defense,DEF,TB,3700,8.653073067,2.34,WAS,200059,0.0,,
1,RB1,00-0036139,Rico Dowdle,RB,CAR,4500,17.59389957900928,3.91,NO,200108,0.0,,
1,RB2,00-0037840,Kyren Williams,RB,LA,8600,15.608544212632594,1.81,SF,200018,0.0,,
1,WR1,00-0039075,Puka Nacua,WR,LA,5200,19.31985589078305,3.72,SF,200023,0.0,,
1,WR2,00-0031381,Davante Adams,WR,LA,4300,17.08905807532866,3.97,SF,200024,0.0,,
1,WR3,00-0038544,Quentin Johnston,WR,LAC,8500,16.016303044087838,1.88,PIT,200039,0.0,,
1,TE,00-0040189,Oronde Gadsden II,TE,LAC,3500,16.300443873433256,4.66,PIT,200041,0.0,,
1,FLEX,00-0036322,Justin Jefferson,WR,MIN,8600,14.97722466000562,1.74,BAL,200097,0.0,,
2,QB,00-0036355,Justin Herbert,QB,LAC,5900,27.33403576447665,4.63,PIT,200030,0.0,,
2,DEF,DST_TB,TB Defense,DEF,TB,3700,8.653073067,2.34,WAS,200059,0.0,,
2,RB1,00-0036139,Rico Dowdle,RB,CAR,4500,17.59389957900928,3.91,NO,200108,0.0,,
2,RB2,00-0037840,Kyren Williams,RB,LA,8600,15.608544212632594,1.81,SF,200018,0.0,,
2,WR1,00-0039075,Puka Nacua,WR,LA,5200,19.31985589078305,3.72,SF,200023,0.0,,
2,WR2,00-0031381,Davante Adams,WR,LA,4300,17.08905807532866,3.97,SF,200024,0.0,,
2,WR3,00-0038544,Quentin Johnston,WR,LAC,8500,16.016303044087838,1.88,PIT,200039,0.0,,
2,TE,00-0040189,Oronde Gadsden II,TE,LAC,3500,16.300443873433256,4.66,PIT,200041,0.0,,
2,FLEX,00-0039915,Ladd McConkey,WR,LAC,7800,14.646437430682552,1.88,PIT,200036,0.0,,
3,QB,00-0036355,Justin Herbert,QB,LAC,5900,27.33403576447665,4.63,PIT,200030,0.0,,
3,DEF,DST_NO,NO Defense,DEF,NO,3900,8.121921732,2.08,TEN,200014,0.0,,
3,RB1,00-0036139,Rico Dowdle,RB,CAR,4500,17.59389957900928,3.91,NO,200108,0.0,,
3,RB2,00-0037840,Kyren Williams,RB,LA,8600,15.608544212632594,1.81,SF,200018,0.0,,
3,WR1,00-0039075,Puka Nacua,WR,LA,5200,19.31985589078305,3.72,SF,200023,0.0,,
3,WR2,00-0031381,Davante Adams,WR,LA,4300,17.08905807532866,3.97,SF,200024,0.0,,
3,WR3,00-0038544,Quentin Johnston,WR,LAC,8500,16.016303044087838,1.88,PIT,200039,0.0,,
3,TE,00-0040189,Oronde Gadsden II,TE,LAC,3500,16.300443873433256,4.66,PIT,200041,0.0,,
