lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0036442,Joe Burrow,QB,CIN,6900,27.42155014310492,3.97,TB,43727235,,,team:CIN
1,DST,DST_TEN,Titans,DST,TEN,3100,10.1812993965,3.28,NYJ,43728531,,,team:CIN
1,RB1,00-0038597,Chase Brown,RB,CIN,7100,24.868047109619624,3.5,TB,43727333,,,team:CIN
1,RB2,00-0040666,Omarion Hampton,RB,LAC,6800,22.968500430672176,3.38,ARI,43727339,,,team:CIN
1,WR1,00-0036900,Ja'Marr Chase,WR,CIN,7800,26.06874830403937,3.34,TB,43727631,,,team:CIN
1,WR2,00-0039064,Zay Flowers,WR,BAL,6400,24.207995898276,3.78,IND,43727645,,,team:CIN
1,WR3,00-0038544,Quentin Johnston,WR,LAC,4700,15.698746901593958,3.34,ARI,43727703,,,team:CIN
1,TE,00-0038129,Cade Otton,TE,TB,3700,16.164573006430746,4.37,CIN,43728243,,,team:CIN
1,FLEX,00-0039424,Devaughn Vele,WR,NO,3500,10.237225314092443,2.92,DET,43727779,,,team:CIN
2,QB,00-0036442,Joe Burrow,QB,CIN,6900,27.42155014310492,3.97,TB,43727235,,,team:CIN
2,DST,DST_NYJ,Jets,DST,NYJ,2500,8.291006271,3.32,TEN,43728542,,,team:CIN
2,RB1,00-0038597,Chase Brown,RB,CIN,7100,24.868047109619624,3.5,TB,43727333,,,team:CIN
2,RB2,00-0040666,Omarion Hampton,RB,LAC,6800,22.968500430672176,3.38,ARI,43727339,,,team:CIN
2,WR1,00-0036900,Ja'Marr Chase,WR,CIN,7800,26.06874830403937,3.34,TB,43727631,,,team:CIN
2,WR2,00-0039064,Zay Flowers,WR,BAL,6400,24.207995898276,3.78,IND,43727645,,,team:CIN
2,WR3,00-0038544,Quentin Johnston,WR,LAC,4700,15.698746901593958,3.34,ARI,43727703,,,team:CIN
2,TE,00-0034351,Dallas Goedert,TE,PHI,4100,17.91834096365478,4.37,WAS,43728233,,,team:CIN
2,FLEX,00-0039424,Devaughn Vele,WR,NO,3500,10.237225314092443,2.92,DET,43727779,,,team:CIN
3,QB,00-0036442,Joe Burrow,QB,CIN,6900,27.42155014310492,3.97,TB,43727235,,,team:CIN
3,DST,DST_TEN,Titans,DST,TEN,3100,10.1812993965,3.28,NYJ,43728531,,,team:CIN
3,RB1,00-0038597,Chase Brown,RB,CIN,7100,24.868047109619624,3.5,TB,43727333,,,team:CIN
3,RB2,00-0040666,Omarion Hampton,RB,LAC,6800,22.968500430672176,3.38,ARI,43727339,,,team:CIN
3,WR1,00-0036900,Ja'Marr Chase,WR,CIN,7800,26.06874830403937,3.34,TB,43727631,,,team:CIN
3,WR2,00-0039064,Zay Flowers,WR,BAL,6400,24.207995898276,3.78,IND,43727645,,,team:CIN
3,WR3,00-0038544,Quentin Johnston,WR,LAC,4700,15.698746901593958,3.34,ARI,43727703,,,team:CIN
3,TE,00-0034351,Dallas Goedert,TE,PHI,4100,17.91834096365478,4.37,WAS,43728233,,,team:CIN
3,FLEX,00-0037231,Kevin Austin Jr.,WR,NO,3000,7.8950032055283375,2.63,DET,43728055,,,team:CIN
4,QB,00-0036442,Joe Burrow,QB,CIN,6900,27.42155014310492,3.97,TB,43727235,,,team:CIN
4,DST,DST_TEN,Titans,DST,TEN,3100,10.1812993965,3.28,NYJ,43728531,,,team:CIN
4,RB1,00-0038597,Chase Brown,RB,CIN,7100,24.868047109619624,3.5,TB,43727333,,,team:CIN
4,RB2,00-0040666,Omarion Hampton,RB,LAC,6800,22.968500430672176,3.38,ARI,43727339,,,team:CIN
4,WR1,00-0036900,Ja'Marr Chase,WR,CIN,7800,26.06874830403937,3.34,TB,43727631,,,team:CIN
4,WR2,00-0039064,Zay Flowers,WR,BAL,6400,24.207995898276,3.78,IND,43727645,,,team:CIN
4,WR3,00-0036259,Jauan Jennings,WR,MIN,4300,12.31027039913222,2.86,GB,43727721,,,team:CIN
4,TE,00-0034351,Dallas Goedert,TE,PHI,4100,17.91834096365478,4.37,WAS,43728233,,,team:CIN
4,FLEX,00-0039424,Devaughn Vele,WR,NO,3500,10.237225314092443,2.92,DET,43727779,,,team:CIN
5,QB,00-0036389,Jalen Hurts,QB,PHI,6600,22.68354830172749,3.44,WAS,43727237,,,team:PHI
5,DST,DST_JAX,Jaguars,DST,JAX,3400,10.637565759,3.13,CLE,43728526,,,team:PHI
5,RB1,00-0032764,Derrick Henry,RB,BAL,6700,20.32728933459965,3.03,IND,43727341,,,team:PHI
5,RB2,00-0039361,Bucky Irving,RB,TB,5700,16.05567199636466,2.82,CIN,43727359,,,team:PHI
5,WR1,00-0037239,Chris Olave,WR,NO,6700,22.160151698167315,3.31,DET,43727639,,,team:PHI
5,WR2,00-0036410,Tee Higgins,WR,CIN,6300,18.695630030216,2.97,TB,43727647,,,team:PHI
5,WR3,00-0037664,Alec Pierce,WR,IND,5700,16.599077816430924,2.91,BAL,43727665,,,team:PHI
5,TE,00-0034351,Dallas Goedert,TE,PHI,4100,17.91834096365478,4.37,WAS,43728233,,,team:PHI
5,FLEX,00-0038544,Quentin Johnston,WR,LAC,4700,15.698746901593958,3.34,ARI,43727703,,,team:PHI
6,QB,00-0040743,Tyler Shough,QB,NO,5600,18.117833392186697,3.24,DET,43727245,,,team:NO
6,DST,DST_JAX,Jaguars,DST,JAX,3400,10.637565759,3.13,CLE,43728526,,,team:NO
6,RB1,00-0032764,Derrick Henry,RB,BAL,6700,20.32728933459965,3.03,IND,43727341,,,team:NO
6,RB2,00-0039361,Bucky Irving,RB,TB,5700,16.05567199636466,2.82,CIN,43727359,,,team:NO
6,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,22.182926210431493,2.96,NO,43727633,,,team:NO
6,WR2,00-0037239,Chris Olave,WR,NO,6700,22.160151698167315,3.31,DET,43727639,,,team:NO
6,WR3,00-0036410,Tee Higgins,WR,CIN,6300,18.695630030216,2.97,TB,43727647,,,team:NO
6,TE,00-0038129,Cade Otton,TE,TB,3700,16.164573006430746,4.37,CIN,43728243,,,team:NO
