lineup_id,roster_slot,player_id,player_name,position,team,roster_role,salary,projection,value,opponent,site_player_id,sigma,sigma_source
1,CPT,00-0034857,Josh Allen,QB,BUF,CPT,17100,56.13891132852939,3.28,DET,44138479,12.9465,statline_mc+recal_10_4b
1,FLEX1,00-0039139,Jahmyr Gibbs,RB,DET,FLEX,12000,27.025904053092884,2.25,BUF,44138432,10.6349,statline_mc+recal_10_4b
1,FLEX2,00-0034827,DJ Moore,WR,BUF,FLEX,7800,20.74496186250268,2.66,DET,44138437,10.6975,statline_mc+recal_10_4b
1,FLEX3,00-0038933,Dalton Kincaid,TE,BUF,FLEX,6800,20.28705090852592,2.98,DET,44138439,9.0661,statline_mc+recal_10_4b
1,FLEX4,00-0039065,Sam LaPorta,TE,DET,FLEX,5400,9.73490710341391,1.8,BUF,44138445,6.7587,statline_mc+recal_10_4b
1,FLEX5,00-0040361,Stephen Gosnell,WR,BUF,FLEX,200,4.028686869458146,20.14,DET,44138471,6.638,statline_mc+recal_10_4b
2,CPT,00-0034857,Josh Allen,QB,BUF,CPT,17100,56.13891132852939,3.28,DET,44138479,12.9465,statline_mc+recal_10_4b
2,FLEX1,00-0039139,Jahmyr Gibbs,RB,DET,FLEX,12000,27.025904053092884,2.25,BUF,44138432,10.6349,statline_mc+recal_10_4b
2,FLEX2,00-0038933,Dalton Kincaid,TE,BUF,FLEX,6800,20.28705090852592,2.98,DET,44138439,9.0661,statline_mc+recal_10_4b
2,FLEX3,00-0037261,Khalil Shakir,WR,BUF,FLEX,6400,16.201450183751046,2.53,DET,44138440,10.1521,statline_mc+recal_10_4b
2,FLEX4,00-0037240,Jameson Williams,WR,DET,FLEX,7400,13.017783772815326,1.76,BUF,44138438,8.861,statline_mc+recal_10_4b
2,FLEX5,00-0034487,Trent Sherfield Sr.,WR,BUF,FLEX,200,4.099896703061374,20.5,DET,44138470,6.8589,statline_mc+recal_10_4b
3,CPT,00-0034857,Josh Allen,QB,BUF,CPT,17100,56.13891132852939,3.28,DET,44138479,12.9465,statline_mc+recal_10_4b
3,FLEX1,00-0039139,Jahmyr Gibbs,RB,DET,FLEX,12000,27.025904053092884,2.25,BUF,44138432,10.6349,statline_mc+recal_10_4b
3,FLEX2,00-0038933,Dalton Kincaid,TE,BUF,FLEX,6800,20.28705090852592,2.98,DET,44138439,9.0661,statline_mc+recal_10_4b
3,FLEX3,00-0033106,Jared Goff,QB,DET,FLEX,9600,15.329194434167032,1.6,BUF,44138435,7.8469,statline_mc+recal_10_4b
3,FLEX4,DST_BUF,Bills,DST,BUF,FLEX,3600,6.3412962165,1.76,DET,44138450,5.8238,dst_simulated_session_10_4+recal_10_4b
3,FLEX5,00-0041443,Skyler Bell,WR,BUF,FLEX,200,3.8066401222752,19.03,DET,44138467,6.6077,statline_mc+recal_10_4b
