lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0036442,Joe Burrow,QB,CIN,8200,17.16641944018642,2.09,TB,133104-63336,7.6118,statline_mc+recal_10_4b,team:CIN
1,DEF,DST_TEN,Tennessee Titans,DEF,TEN,3200,9.863017803,3.08,NYJ,133104-12534,6.315,dst_simulated_session_10_4,team:CIN
1,RB1,00-0039139,Jahmyr Gibbs,RB,DET,9100,20.128212942732816,2.21,NO,133104-129368,9.9702,statline_mc+recal_10_4b,team:CIN
1,RB2,00-0036919,Kenny Gainwell,RB,TB,5500,11.577786744282752,2.11,CIN,133104-90912,7.9314,statline_mc+recal_10_4b,team:CIN
1,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,8600,15.67256723025235,1.82,NO,133104-86997,8.3601,statline_mc+recal_10_4b,team:CIN
1,WR2,00-0036900,Ja'Marr Chase,WR,CIN,8900,12.883427934994645,1.45,TB,133104-85701,7.9637,statline_mc+recal_10_4b,team:CIN
1,WR3,00-0037614,John Metchie III,WR,CAR,4600,5.615921908216133,1.22,CHI,133104-102696,5.8619,statline_mc+recal_10_4b,team:CIN
1,TE,00-0040126,Colston Loveland,TE,CHI,6000,12.190034469189497,2.03,CAR,133104-166588,7.4459,statline_mc+recal_10_4b,team:CIN
1,FLEX,00-0033293,Aaron Jones Sr.,RB,MIN,5900,9.079392209681751,1.54,GB,133104-40442,7.4073,statline_mc+recal_10_4b,team:CIN
2,QB,00-0033106,Jared Goff,QB,DET,7800,17.18279682102844,2.2,NO,133104-38435,7.5669,statline_mc+recal_10_4b,team:DET
2,DEF,DST_TEN,Tennessee Titans,DEF,TEN,3200,9.863017803,3.08,NYJ,133104-12534,6.315,dst_simulated_session_10_4,team:DET
2,RB1,00-0039139,Jahmyr Gibbs,RB,DET,9100,20.128212942732816,2.21,NO,133104-129368,9.9702,statline_mc+recal_10_4b,team:DET
2,RB2,00-0036223,Jonathan Taylor,RB,IND,8600,15.425905514051768,1.79,BAL,133104-89675,9.1135,statline_mc+recal_10_4b,team:DET
2,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,8600,15.67256723025235,1.82,NO,133104-86997,8.3601,statline_mc+recal_10_4b,team:DET
2,WR2,00-0037240,Jameson Williams,WR,DET,7100,10.07095999415363,1.42,NO,133104-111631,7.3785,statline_mc+recal_10_4b,team:DET
2,WR3,00-0037231,Kevin Austin Jr.,WR,NO,4100,4.20481293155417,1.03,DET,133104-91055,5.4634,statline_mc+recal_10_4b,team:DET
2,TE,00-0040126,Colston Loveland,TE,CHI,6000,12.190034469189497,2.03,CAR,133104-166588,7.4459,statline_mc+recal_10_4b,team:DET
2,FLEX,00-0036919,Kenny Gainwell,RB,TB,5500,11.577786744282752,2.11,CIN,133104-90912,7.9314,statline_mc+recal_10_4b,team:DET
3,QB,00-0033106,Jared Goff,QB,DET,7800,17.18279682102844,2.2,NO,133104-38435,7.5669,statline_mc+recal_10_4b,team:DET
3,DEF,DST_TEN,Tennessee Titans,DEF,TEN,3200,9.863017803,3.08,NYJ,133104-12534,6.315,dst_simulated_session_10_4,team:DET
3,RB1,00-0039139,Jahmyr Gibbs,RB,DET,9100,20.128212942732816,2.21,NO,133104-129368,9.9702,statline_mc+recal_10_4b,team:DET
3,RB2,00-0036919,Kenny Gainwell,RB,TB,5500,11.577786744282752,2.11,CIN,133104-90912,7.9314,statline_mc+recal_10_4b,team:DET
3,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,8600,15.67256723025235,1.82,NO,133104-86997,8.3601,statline_mc+recal_10_4b,team:DET
3,WR2,00-0037239,Chris Olave,WR,NO,7400,9.000351550401046,1.22,DET,133104-87770,7.0753,statline_mc+recal_10_4b,team:DET
3,WR3,00-0034960,Jakobi Meyers,WR,JAX,5800,8.335419400853814,1.44,CLE,133104-63634,6.7638,statline_mc+recal_10_4b,team:DET
3,TE,00-0040126,Colston Loveland,TE,CHI,6000,12.190034469189497,2.03,CAR,133104-166588,7.4459,statline_mc+recal_10_4b,team:DET
3,FLEX,00-0036275,D'Andre Swift,RB,CHI,6600,11.402580593583394,1.73,CAR,133104-91598,8.1946,statline_mc+recal_10_4b,team:DET
