lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0033106,Jared Goff,QB,DET,6000,19.06600264245317,3.18,NO,43727241,8.0621,statline_mc+recal_10_4b,team:DET
1,DST,DST_CLE,Browns,DST,CLE,2100,6.058943041499999,2.89,JAX,43728547,5.8114,dst_simulated_session_10_4+recal_10_4b,team:DET
1,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.79864698138559,2.72,NO,43727325,9.7678,statline_mc+recal_10_4b,team:DET
1,RB2,00-0036919,Kenny Gainwell,RB,TB,5200,13.413683495720466,2.58,CIN,43727377,8.3471,statline_mc+recal_10_4b,team:DET
1,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.389454707796247,2.59,NO,43727633,9.7153,statline_mc+recal_10_4b,team:DET
1,WR2,00-0030279,Keenan Allen,WR,IND,4700,10.276832015950566,2.19,BAL,43950117,7.8052,statline_mc+recal_10_4b,team:DET
1,WR3,00-0037239,Chris Olave,WR,NO,6700,9.480801849769728,1.42,DET,43727639,7.8652,statline_mc+recal_10_4b,team:DET
1,TE,00-0040126,Colston Loveland,TE,CHI,5300,14.509628889243606,2.74,CAR,43728219,7.8031,statline_mc+recal_10_4b,team:DET
1,FLEX,00-0036259,Jauan Jennings,WR,MIN,4300,8.936265786401245,2.08,GB,43727721,7.6313,statline_mc+recal_10_4b,team:DET
2,QB,00-0033106,Jared Goff,QB,DET,6000,19.06600264245317,3.18,NO,43727241,8.0621,statline_mc+recal_10_4b,team:DET
2,DST,DST_LV,Raiders,DST,LV,2900,8.830178073,3.04,MIA,43728535,5.8102,dst_simulated_session_10_4+recal_10_4b,team:DET
2,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.79864698138559,2.72,NO,43727325,9.7678,statline_mc+recal_10_4b,team:DET
2,RB2,00-0036919,Kenny Gainwell,RB,TB,5200,13.413683495720466,2.58,CIN,43727377,8.3471,statline_mc+recal_10_4b,team:DET
2,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.389454707796247,2.59,NO,43727633,9.7153,statline_mc+recal_10_4b,team:DET
2,WR2,00-0037239,Chris Olave,WR,NO,6700,9.480801849769728,1.42,DET,43727639,7.8652,statline_mc+recal_10_4b,team:DET
2,WR3,00-0036259,Jauan Jennings,WR,MIN,4300,8.936265786401245,2.08,GB,43727721,7.6313,statline_mc+recal_10_4b,team:DET
2,TE,00-0038935,Brenton Strange,TE,JAX,3600,8.371110940932208,2.33,CLE,43728245,6.4546,statline_mc+recal_10_4b,team:DET
2,FLEX,00-0039361,Bucky Irving,RB,TB,5700,12.023578363740228,2.11,CIN,43727359,8.4176,statline_mc+recal_10_4b,team:DET
3,QB,00-0036442,Joe Burrow,QB,CIN,6900,18.250072380179585,2.64,TB,43727235,8.0485,statline_mc+recal_10_4b,team:CIN
3,DST,DST_NYJ,Jets,DST,NYJ,2500,8.6775436755,3.47,TEN,43728542,5.8746,dst_simulated_session_10_4+recal_10_4b,team:CIN
3,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.79864698138559,2.72,NO,43727325,9.7678,statline_mc+recal_10_4b,team:CIN
3,RB2,00-0036919,Kenny Gainwell,RB,TB,5200,13.413683495720466,2.58,CIN,43727377,8.3471,statline_mc+recal_10_4b,team:CIN
3,WR1,00-0036900,Ja'Marr Chase,WR,CIN,7800,15.673076360365288,2.01,TB,43727631,9.2406,statline_mc+recal_10_4b,team:CIN
3,WR2,00-0030279,Keenan Allen,WR,IND,4700,10.276832015950566,2.19,BAL,43950117,7.8052,statline_mc+recal_10_4b,team:CIN
3,WR3,00-0034960,Jakobi Meyers,WR,JAX,5000,10.102636477266122,2.02,CLE,43727691,7.7272,statline_mc+recal_10_4b,team:CIN
3,TE,00-0040126,Colston Loveland,TE,CHI,5300,14.509628889243606,2.74,CAR,43728219,7.8031,statline_mc+recal_10_4b,team:CIN
3,FLEX,00-0036259,Jauan Jennings,WR,MIN,4300,8.936265786401245,2.08,GB,43727721,7.6313,statline_mc+recal_10_4b,team:CIN
