lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0039918,Caleb Williams,QB,CHI,6800,17.529019988055808,2.58,MIN,44132568,8.0465,statline_mc+recal_10_4b,team:CHI
1,DST,DST_DEN,Broncos,DST,DEN,2800,7.522269061499999,2.69,JAX,44133754,5.8151,dst_simulated_session_10_4+recal_10_4b,team:CHI
1,RB1,00-0038542,Bijan Robinson,RB,ATL,8200,17.750414062375597,2.16,CAR,44132656,9.2394,statline_mc+recal_10_4b,team:CHI
1,RB2,00-0032764,Derrick Henry,RB,BAL,7200,17.32485772541059,2.41,NO,44132660,9.5595,statline_mc+recal_10_4b,team:CHI
1,WR1,00-0032464,Kalif Raymond,WR,CHI,3600,10.394383315267358,2.89,MIN,44133112,8.263,statline_mc+recal_10_4b,team:CHI
1,WR2,00-0039491,Jalen Coker,WR,CAR,5100,10.04446133535104,1.97,ATL,44133022,7.9564,statline_mc+recal_10_4b,team:CHI
1,WR3,00-0040667,Matthew Golden,WR,GB,4700,10.00851648399012,2.13,NYJ,44133036,7.8557,statline_mc+recal_10_4b,team:CHI
1,TE,00-0034829,Mike Gesicki,TE,CIN,3600,7.940974843489559,2.21,HOU,44133476,6.4457,statline_mc+recal_10_4b,team:CHI
1,FLEX,00-0033280,Christian McCaffrey,RB,SF,8000,15.00484172388873,1.88,MIA,44132658,8.8474,statline_mc+recal_10_4b,team:CHI
2,QB,00-0039918,Caleb Williams,QB,CHI,6800,17.529019988055808,2.58,MIN,44132568,8.0465,statline_mc+recal_10_4b,team:CHI
2,DST,DST_SF,49ers,DST,SF,3800,9.8110484505,2.58,MIA,44133742,5.9225,dst_simulated_session_10_4+recal_10_4b,team:CHI
2,RB1,00-0038542,Bijan Robinson,RB,ATL,8200,17.750414062375597,2.16,CAR,44132656,9.2394,statline_mc+recal_10_4b,team:CHI
2,RB2,00-0032764,Derrick Henry,RB,BAL,7200,17.32485772541059,2.41,NO,44132660,9.5595,statline_mc+recal_10_4b,team:CHI
2,WR1,00-0032464,Kalif Raymond,WR,CHI,3600,10.394383315267358,2.89,MIN,44133112,8.263,statline_mc+recal_10_4b,team:CHI
2,WR2,00-0039491,Jalen Coker,WR,CAR,5100,10.04446133535104,1.97,ATL,44133022,7.9564,statline_mc+recal_10_4b,team:CHI
2,WR3,00-0040667,Matthew Golden,WR,GB,4700,10.00851648399012,2.13,NYJ,44133036,7.8557,statline_mc+recal_10_4b,team:CHI
2,TE,00-0034753,Mark Andrews,TE,BAL,4400,7.909871974168129,1.8,NO,44133456,6.4503,statline_mc+recal_10_4b,team:CHI
2,FLEX,00-0039361,Bucky Irving,RB,TB,6100,11.458071843497317,1.88,CLE,44132682,7.9198,statline_mc+recal_10_4b,team:CHI
3,QB,00-0037834,Brock Purdy,QB,SF,6200,16.761821510536976,2.7,MIA,44132573,7.9931,statline_mc+recal_10_4b,team:SF
3,DST,DST_LAC,Chargers,DST,LAC,3200,8.775098743500001,2.74,LV,44133748,5.6858,dst_simulated_session_10_4+recal_10_4b,team:SF
3,RB1,00-0038542,Bijan Robinson,RB,ATL,8200,17.750414062375597,2.16,CAR,44132656,9.2394,statline_mc+recal_10_4b,team:SF
3,RB2,00-0032764,Derrick Henry,RB,BAL,7200,17.32485772541059,2.41,NO,44132660,9.5595,statline_mc+recal_10_4b,team:SF
3,WR1,00-0032464,Kalif Raymond,WR,CHI,3600,10.394383315267358,2.89,MIN,44133112,8.263,statline_mc+recal_10_4b,team:SF
3,WR2,00-0040667,Matthew Golden,WR,GB,4700,10.00851648399012,2.13,NYJ,44133036,7.8557,statline_mc+recal_10_4b,team:SF
3,WR3,00-0035719,Deebo Samuel Sr.,WR,SF,5300,8.86284258811094,1.67,MIA,44133010,7.8442,statline_mc+recal_10_4b,team:SF
3,TE,00-0034829,Mike Gesicki,TE,CIN,3600,7.940974843489559,2.21,HOU,44133476,6.4457,statline_mc+recal_10_4b,team:SF
3,FLEX,00-0033280,Christian McCaffrey,RB,SF,8000,15.00484172388873,1.88,MIA,44132658,8.8474,statline_mc+recal_10_4b,team:SF
