lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0033106,Jared Goff,QB,DET,7800,16.22799905647876,2.08,NO,133646-38435,7.5265,statline_mc+recal_10_4b,team:DET
1,DEF,DST_TEN,Tennessee Titans,DEF,TEN,3200,9.778966582500004,3.06,NYJ,133646-12534,6.3117,dst_simulated_session_10_4,team:DET
1,RB1,00-0039139,Jahmyr Gibbs,RB,DET,9100,18.133402762989164,1.99,NO,133646-129368,9.4598,statline_mc+recal_10_4b,team:DET
1,RB2,00-0038597,Chase Brown,RB,CIN,7500,13.06205719773805,1.74,TB,133646-89493,8.2682,statline_mc+recal_10_4b,team:DET
1,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,8600,15.76508821723456,1.83,NO,133646-86997,8.6501,statline_mc+recal_10_4b,team:DET
1,WR2,00-0030279,Keenan Allen,WR,IND,5600,8.224000818025132,1.47,BAL,133646-29253,6.7789,statline_mc+recal_10_4b,team:DET
1,WR3,00-0038997,Josh Downs,WR,IND,5600,6.635372062366712,1.18,BAL,133646-129305,6.1501,statline_mc+recal_10_4b,team:DET
1,TE,00-0040126,Colston Loveland,TE,CHI,6000,12.205132717746045,2.03,CAR,133646-166588,7.1873,statline_mc+recal_10_4b,team:DET
1,FLEX,00-0036275,D'Andre Swift,RB,CHI,6600,11.531296386756337,1.75,CAR,133646-91598,8.2089,statline_mc+recal_10_4b,team:DET
2,QB,00-0033106,Jared Goff,QB,DET,7800,16.22799905647876,2.08,NO,133646-38435,7.5265,statline_mc+recal_10_4b,team:DET
2,DEF,DST_TEN,Tennessee Titans,DEF,TEN,3200,9.778966582500004,3.06,NYJ,133646-12534,6.3117,dst_simulated_session_10_4,team:DET
2,RB1,00-0039139,Jahmyr Gibbs,RB,DET,9100,18.133402762989164,1.99,NO,133646-129368,9.4598,statline_mc+recal_10_4b,team:DET
2,RB2,00-0036275,D'Andre Swift,RB,CHI,6600,11.531296386756337,1.75,CAR,133646-91598,8.2089,statline_mc+recal_10_4b,team:DET
2,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,8600,15.76508821723456,1.83,NO,133646-86997,8.6501,statline_mc+recal_10_4b,team:DET
2,WR2,00-0039064,Zay Flowers,WR,BAL,7300,10.236089447743971,1.4,IND,133646-112295,7.6363,statline_mc+recal_10_4b,team:DET
2,WR3,00-0034960,Jakobi Meyers,WR,JAX,5800,7.84137211843669,1.35,CLE,133646-63634,6.452,statline_mc+recal_10_4b,team:DET
2,TE,00-0040126,Colston Loveland,TE,CHI,6000,12.205132717746045,2.03,CAR,133646-166588,7.1873,statline_mc+recal_10_4b,team:DET
2,FLEX,00-0036919,Kenny Gainwell,RB,TB,5500,10.579199212537828,1.92,CIN,133646-90912,7.6898,statline_mc+recal_10_4b,team:DET
3,QB,00-0036442,Joe Burrow,QB,CIN,8200,17.061099575267537,2.08,TB,133646-63336,7.5899,statline_mc+recal_10_4b,team:CIN
3,DEF,DST_TEN,Tennessee Titans,DEF,TEN,3200,9.778966582500004,3.06,NYJ,133646-12534,6.3117,dst_simulated_session_10_4,team:CIN
3,RB1,00-0039139,Jahmyr Gibbs,RB,DET,9100,18.133402762989164,1.99,NO,133646-129368,9.4598,statline_mc+recal_10_4b,team:CIN
3,RB2,00-0036223,Jonathan Taylor,RB,IND,8600,15.340021919627306,1.78,BAL,133646-89675,9.1609,statline_mc+recal_10_4b,team:CIN
3,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,8600,15.76508821723456,1.83,NO,133646-86997,8.6501,statline_mc+recal_10_4b,team:CIN
3,WR2,00-0034960,Jakobi Meyers,WR,JAX,5800,7.84137211843669,1.35,CLE,133646-63634,6.452,statline_mc+recal_10_4b,team:CIN
3,WR3,00-0038619,Andrei Iosivas,WR,CIN,4900,3.65982194269936,0.75,TB,133646-185593,5.1234,statline_mc+recal_10_4b,team:CIN
3,TE,00-0040126,Colston Loveland,TE,CHI,6000,12.205132717746045,2.03,CAR,133646-166588,7.1873,statline_mc+recal_10_4b,team:CIN
3,FLEX,00-0036919,Kenny Gainwell,RB,TB,5500,10.579199212537828,1.92,CIN,133646-90912,7.6898,statline_mc+recal_10_4b,team:CIN
