lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0036442,Joe Burrow,QB,CIN,8200,17.522547207942363,2.14,TB,133104-63336,7.6123,statline_mc+recal_10_4b,
1,DEF,DST_TEN,Tennessee Titans,DEF,TEN,3200,10.167140817000002,3.18,NYJ,133104-12534,6.3466,dst_simulated_session_10_4,
1,RB1,00-0039139,Jahmyr Gibbs,RB,DET,9100,20.782769969220706,2.28,NO,133104-129368,10.1237,statline_mc+recal_10_4b,
1,RB2,00-0036275,D'Andre Swift,RB,CHI,6600,10.478825176760598,1.59,CAR,133104-91598,8.3207,statline_mc+recal_10_4b,
1,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,8600,17.778643396537888,2.07,NO,133104-86997,9.01,statline_mc+recal_10_4b,
1,WR2,00-0037240,Jameson Williams,WR,DET,7100,11.328780180593668,1.6,NO,133104-111631,7.7856,statline_mc+recal_10_4b,
1,WR3,00-0039064,Zay Flowers,WR,BAL,7300,10.365915828875718,1.42,IND,133104-112295,7.4271,statline_mc+recal_10_4b,
1,TE,00-0038129,Cade Otton,TE,TB,5000,7.845454355356038,1.57,CIN,133104-86811,6.1821,statline_mc+recal_10_4b,
1,FLEX,00-0033526,Samaje Perine,RB,CIN,4800,6.168909058330191,1.29,TB,133104-52451,6.3676,statline_mc+recal_10_4b,
2,QB,00-0036355,Justin Herbert,QB,LAC,7600,16.04098216174176,2.11,ARI,133104-69189,7.5977,statline_mc+recal_10_4b,
2,DEF,DST_TEN,Tennessee Titans,DEF,TEN,3200,10.167140817000002,3.18,NYJ,133104-12534,6.3466,dst_simulated_session_10_4,
2,RB1,00-0039139,Jahmyr Gibbs,RB,DET,9100,20.782769969220706,2.28,NO,133104-129368,10.1237,statline_mc+recal_10_4b,
2,RB2,00-0040666,Omarion Hampton,RB,LAC,7300,11.82244553355566,1.62,ARI,133104-174215,8.213,statline_mc+recal_10_4b,
2,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,8600,17.778643396537888,2.07,NO,133104-86997,9.01,statline_mc+recal_10_4b,
2,WR2,00-0037240,Jameson Williams,WR,DET,7100,11.328780180593668,1.6,NO,133104-111631,7.7856,statline_mc+recal_10_4b,
2,WR3,00-0039064,Zay Flowers,WR,BAL,7300,10.365915828875718,1.42,IND,133104-112295,7.4271,statline_mc+recal_10_4b,
2,TE,00-0038129,Cade Otton,TE,TB,5000,7.845454355356038,1.57,CIN,133104-86811,6.1821,statline_mc+recal_10_4b,
2,FLEX,00-0033526,Samaje Perine,RB,CIN,4800,6.168909058330191,1.29,TB,133104-52451,6.3676,statline_mc+recal_10_4b,
3,QB,00-0036442,Joe Burrow,QB,CIN,8200,17.522547207942363,2.14,TB,133104-63336,7.6123,statline_mc+recal_10_4b,
3,DEF,DST_TEN,Tennessee Titans,DEF,TEN,3200,10.167140817000002,3.18,NYJ,133104-12534,6.3466,dst_simulated_session_10_4,
