lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0034796,Lamar Jackson,QB,BAL,7300,16.362012413636794,2.24,NO,44132567,7.9524,statline_mc+recal_10_4b,
1,DST,DST_TB,Buccaneers,DST,TB,3600,9.933728859000002,2.76,CLE,44133744,5.9312,dst_simulated_session_10_4+recal_10_4b,
1,RB1,00-0038542,Bijan Robinson,RB,ATL,8200,17.948045750363796,2.19,CAR,44132656,9.313,statline_mc+recal_10_4b,
1,RB2,00-0032764,Derrick Henry,RB,BAL,7200,17.066571007546642,2.37,NO,44132660,9.5411,statline_mc+recal_10_4b,
1,WR1,00-0040667,Matthew Golden,WR,GB,4700,9.939759237028804,2.11,NYJ,44133036,7.8129,statline_mc+recal_10_4b,
1,WR2,00-0032464,Kalif Raymond,WR,CHI,3600,9.850757107839694,2.74,MIN,44133112,8.0443,statline_mc+recal_10_4b,
1,WR3,00-0038618,Xavier Hutchinson,WR,HOU,3500,8.484236629822894,2.42,CIN,44133116,7.5231,statline_mc+recal_10_4b,
1,TE,00-0034829,Mike Gesicki,TE,CIN,3600,7.837395449851423,2.18,HOU,44133476,6.5074,statline_mc+recal_10_4b,
1,FLEX,00-0033280,Christian McCaffrey,RB,SF,8000,15.254432629840023,1.91,MIA,44132658,8.7098,statline_mc+recal_10_4b,
2,QB,00-0037834,Brock Purdy,QB,SF,6200,17.156366649465227,2.77,MIA,44132573,7.9752,statline_mc+recal_10_4b,
2,DST,DST_TB,Buccaneers,DST,TB,3600,9.933728859000002,2.76,CLE,44133744,5.9312,dst_simulated_session_10_4+recal_10_4b,
2,RB1,00-0038542,Bijan Robinson,RB,ATL,8200,17.948045750363796,2.19,CAR,44132656,9.313,statline_mc+recal_10_4b,
2,RB2,00-0032764,Derrick Henry,RB,BAL,7200,17.066571007546642,2.37,NO,44132660,9.5411,statline_mc+recal_10_4b,
2,WR1,00-0039491,Jalen Coker,WR,CAR,5100,10.181344880781236,2.0,ATL,44133022,7.9741,statline_mc+recal_10_4b,
2,WR2,00-0032464,Kalif Raymond,WR,CHI,3600,9.850757107839694,2.74,MIN,44133112,8.0443,statline_mc+recal_10_4b,
2,WR3,00-0038618,Xavier Hutchinson,WR,HOU,3500,8.484236629822894,2.42,CIN,44133116,7.5231,statline_mc+recal_10_4b,
2,TE,00-0034753,Mark Andrews,TE,BAL,4400,8.432909941041995,1.92,NO,44133456,6.679,statline_mc+recal_10_4b,
2,FLEX,00-0033280,Christian McCaffrey,RB,SF,8000,15.254432629840023,1.91,MIA,44132658,8.7098,statline_mc+recal_10_4b,
3,QB,00-0034796,Lamar Jackson,QB,BAL,7300,16.362012413636794,2.24,NO,44132567,7.9524,statline_mc+recal_10_4b,
3,DST,DST_SF,49ers,DST,SF,3800,9.9225165735,2.61,MIA,44133742,5.8854,dst_simulated_session_10_4+recal_10_4b,
3,RB1,00-0038542,Bijan Robinson,RB,ATL,8200,17.948045750363796,2.19,CAR,44132656,9.313,statline_mc+recal_10_4b,
3,RB2,00-0032764,Derrick Henry,RB,BAL,7200,17.066571007546642,2.37,NO,44132660,9.5411,statline_mc+recal_10_4b,
3,WR1,00-0040667,Matthew Golden,WR,GB,4700,9.939759237028804,2.11,NYJ,44133036,7.8129,statline_mc+recal_10_4b,
3,WR2,00-0032464,Kalif Raymond,WR,CHI,3600,9.850757107839694,2.74,MIN,44133112,8.0443,statline_mc+recal_10_4b,
3,WR3,00-0038618,Xavier Hutchinson,WR,HOU,3500,8.484236629822894,2.42,CIN,44133116,7.5231,statline_mc+recal_10_4b,
3,TE,00-0034829,Mike Gesicki,TE,CIN,3600,7.837395449851423,2.18,HOU,44133476,6.5074,statline_mc+recal_10_4b,
3,FLEX,00-0033280,Christian McCaffrey,RB,SF,8000,15.254432629840023,1.91,MIA,44132658,8.7098,statline_mc+recal_10_4b,
4,QB,00-0037834,Brock Purdy,QB,SF,6200,17.156366649465227,2.77,MIA,44132573,7.9752,statline_mc+recal_10_4b,
4,DST,DST_SF,49ers,DST,SF,3800,9.9225165735,2.61,MIA,44133742,5.8854,dst_simulated_session_10_4+recal_10_4b,
4,RB1,00-0038542,Bijan Robinson,RB,ATL,8200,17.948045750363796,2.19,CAR,44132656,9.313,statline_mc+recal_10_4b,
4,RB2,00-0032764,Derrick Henry,RB,BAL,7200,17.066571007546642,2.37,NO,44132660,9.5411,statline_mc+recal_10_4b,
4,WR1,00-0039491,Jalen Coker,WR,CAR,5100,10.181344880781236,2.0,ATL,44133022,7.9741,statline_mc+recal_10_4b,
4,WR2,00-0032464,Kalif Raymond,WR,CHI,3600,9.850757107839694,2.74,MIN,44133112,8.0443,statline_mc+recal_10_4b,
4,WR3,00-0038618,Xavier Hutchinson,WR,HOU,3500,8.484236629822894,2.42,CIN,44133116,7.5231,statline_mc+recal_10_4b,
4,TE,00-0034753,Mark Andrews,TE,BAL,4400,8.432909941041995,1.92,NO,44133456,6.679,statline_mc+recal_10_4b,
4,FLEX,00-0033280,Christian McCaffrey,RB,SF,8000,15.254432629840023,1.91,MIA,44132658,8.7098,statline_mc+recal_10_4b,
5,QB,00-0037834,Brock Purdy,QB,SF,6200,17.156366649465227,2.77,MIA,44132573,7.9752,statline_mc+recal_10_4b,
5,DST,DST_BAL,Ravens,DST,BAL,3300,8.794577020499998,2.67,NO,44133747,5.9697,dst_simulated_session_10_4+recal_10_4b,
5,RB1,00-0038542,Bijan Robinson,RB,ATL,8200,17.948045750363796,2.19,CAR,44132656,9.313,statline_mc+recal_10_4b,
5,RB2,00-0032764,Derrick Henry,RB,BAL,7200,17.066571007546642,2.37,NO,44132660,9.5411,statline_mc+recal_10_4b,
5,WR1,00-0039491,Jalen Coker,WR,CAR,5100,10.181344880781236,2.0,ATL,44133022,7.9741,statline_mc+recal_10_4b,
5,WR2,00-0040667,Matthew Golden,WR,GB,4700,9.939759237028804,2.11,NYJ,44133036,7.8129,statline_mc+recal_10_4b,
5,WR3,00-0032464,Kalif Raymond,WR,CHI,3600,9.850757107839694,2.74,MIN,44133112,8.0443,statline_mc+recal_10_4b,
5,TE,00-0034829,Mike Gesicki,TE,CIN,3600,7.837395449851423,2.18,HOU,44133476,6.5074,statline_mc+recal_10_4b,
5,FLEX,00-0033280,Christian McCaffrey,RB,SF,8000,15.254432629840023,1.91,MIA,44132658,8.7098,statline_mc+recal_10_4b,
6,QB,00-0037834,Brock Purdy,QB,SF,6200,17.156366649465227,2.77,MIA,44132573,7.9752,statline_mc+recal_10_4b,
6,DST,DST_LAC,Chargers,DST,LAC,3200,8.6284387755,2.7,LV,44133748,5.6474,dst_simulated_session_10_4+recal_10_4b,
6,RB1,00-0038542,Bijan Robinson,RB,ATL,8200,17.948045750363796,2.19,CAR,44132656,9.313,statline_mc+recal_10_4b,
6,RB2,00-0032764,Derrick Henry,RB,BAL,7200,17.066571007546642,2.37,NO,44132660,9.5411,statline_mc+recal_10_4b,
6,WR1,00-0039491,Jalen Coker,WR,CAR,5100,10.181344880781236,2.0,ATL,44133022,7.9741,statline_mc+recal_10_4b,
6,WR2,00-0040667,Matthew Golden,WR,GB,4700,9.939759237028804,2.11,NYJ,44133036,7.8129,statline_mc+recal_10_4b,
6,WR3,00-0032464,Kalif Raymond,WR,CHI,3600,9.850757107839694,2.74,MIN,44133112,8.0443,statline_mc+recal_10_4b,
6,TE,00-0034829,Mike Gesicki,TE,CIN,3600,7.837395449851423,2.18,HOU,44133476,6.5074,statline_mc+recal_10_4b,
6,FLEX,00-0033280,Christian McCaffrey,RB,SF,8000,15.254432629840023,1.91,MIA,44132658,8.7098,statline_mc+recal_10_4b,
7,QB,00-0033077,Dak Prescott,QB,DAL,6400,16.675615628547945,2.61,WAS,44132571,7.9541,statline_mc+recal_10_4b,
7,DST,DST_TB,Buccaneers,DST,TB,3600,9.933728859000002,2.76,CLE,44133744,5.9312,dst_simulated_session_10_4+recal_10_4b,
7,RB1,00-0038542,Bijan Robinson,RB,ATL,8200,17.948045750363796,2.19,CAR,44132656,9.313,statline_mc+recal_10_4b,
7,RB2,00-0032764,Derrick Henry,RB,BAL,7200,17.066571007546642,2.37,NO,44132660,9.5411,statline_mc+recal_10_4b,
7,WR1,00-0039491,Jalen Coker,WR,CAR,5100,10.181344880781236,2.0,ATL,44133022,7.9741,statline_mc+recal_10_4b,
7,WR2,00-0032464,Kalif Raymond,WR,CHI,3600,9.850757107839694,2.74,MIN,44133112,8.0443,statline_mc+recal_10_4b,
7,WR3,00-0038618,Xavier Hutchinson,WR,HOU,3500,8.484236629822894,2.42,CIN,44133116,7.5231,statline_mc+recal_10_4b,
7,TE,00-0034753,Mark Andrews,TE,BAL,4400,8.432909941041995,1.92,NO,44133456,6.679,statline_mc+recal_10_4b,
7,FLEX,00-0033280,Christian McCaffrey,RB,SF,8000,15.254432629840023,1.91,MIA,44132658,8.7098,statline_mc+recal_10_4b,
8,QB,00-0037834,Brock Purdy,QB,SF,6200,17.156366649465227,2.77,MIA,44132573,7.9752,statline_mc+recal_10_4b,
8,DST,DST_NE,Patriots,DST,NE,3100,8.4917634705,2.74,PIT,44133749,5.7335,dst_simulated_session_10_4+recal_10_4b,
8,RB1,00-0038542,Bijan Robinson,RB,ATL,8200,17.948045750363796,2.19,CAR,44132656,9.313,statline_mc+recal_10_4b,
8,RB2,00-0032764,Derrick Henry,RB,BAL,7200,17.066571007546642,2.37,NO,44132660,9.5411,statline_mc+recal_10_4b,
8,WR1,00-0039491,Jalen Coker,WR,CAR,5100,10.181344880781236,2.0,ATL,44133022,7.9741,statline_mc+recal_10_4b,
8,WR2,00-0040667,Matthew Golden,WR,GB,4700,9.939759237028804,2.11,NYJ,44133036,7.8129,statline_mc+recal_10_4b,
8,WR3,00-0032464,Kalif Raymond,WR,CHI,3600,9.850757107839694,2.74,MIN,44133112,8.0443,statline_mc+recal_10_4b,
8,TE,00-0034829,Mike Gesicki,TE,CIN,3600,7.837395449851423,2.18,HOU,44133476,6.5074,statline_mc+recal_10_4b,
8,FLEX,00-0033280,Christian McCaffrey,RB,SF,8000,15.254432629840023,1.91,MIA,44132658,8.7098,statline_mc+recal_10_4b,
9,QB,00-0034796,Lamar Jackson,QB,BAL,7300,16.362012413636794,2.24,NO,44132567,7.9524,statline_mc+recal_10_4b,
9,DST,DST_PHI,Eagles,DST,PHI,3700,9.332439358500002,2.52,TEN,44133743,5.5705,dst_simulated_session_10_4+recal_10_4b,
9,RB1,00-0038542,Bijan Robinson,RB,ATL,8200,17.948045750363796,2.19,CAR,44132656,9.313,statline_mc+recal_10_4b,
9,RB2,00-0032764,Derrick Henry,RB,BAL,7200,17.066571007546642,2.37,NO,44132660,9.5411,statline_mc+recal_10_4b,
9,WR1,00-0040667,Matthew Golden,WR,GB,4700,9.939759237028804,2.11,NYJ,44133036,7.8129,statline_mc+recal_10_4b,
9,WR2,00-0032464,Kalif Raymond,WR,CHI,3600,9.850757107839694,2.74,MIN,44133112,8.0443,statline_mc+recal_10_4b,
9,WR3,00-0038618,Xavier Hutchinson,WR,HOU,3500,8.484236629822894,2.42,CIN,44133116,7.5231,statline_mc+recal_10_4b,
9,TE,00-0034829,Mike Gesicki,TE,CIN,3600,7.837395449851423,2.18,HOU,44133476,6.5074,statline_mc+recal_10_4b,
9,FLEX,00-0033280,Christian McCaffrey,RB,SF,8000,15.254432629840023,1.91,MIA,44132658,8.7098,statline_mc+recal_10_4b,
