lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0033106,Jared Goff,QB,DET,6000,19.067074401086245,3.18,NO,43727241,8.0513,statline_mc+recal_10_4b,team:DET
1,DST,DST_LV,Raiders,DST,LV,2900,8.767978532999999,3.02,MIA,43728535,5.8344,dst_simulated_session_10_4+recal_10_4b,team:DET
1,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.54022518409388,2.69,NO,43727325,9.7346,statline_mc+recal_10_4b,team:DET
1,RB2,00-0036919,Kenny Gainwell,RB,TB,5200,13.419583634552575,2.58,CIN,43727377,8.3495,statline_mc+recal_10_4b,team:DET
1,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.91104247505242,2.65,NO,43727633,10.0488,statline_mc+recal_10_4b,team:DET
1,WR2,00-0037239,Chris Olave,WR,NO,6700,9.376030448491692,1.4,DET,43727639,7.672,statline_mc+recal_10_4b,team:DET
1,WR3,00-0036259,Jauan Jennings,WR,MIN,4300,8.999942284874516,2.09,GB,43727721,7.7441,statline_mc+recal_10_4b,team:DET
1,TE,00-0040126,Colston Loveland,TE,CHI,5300,14.563773466490028,2.75,CAR,43728219,7.6323,statline_mc+recal_10_4b,team:DET
1,FLEX,00-0036924,Michael Carter,RB,TEN,4000,7.08013919968116,1.77,NYJ,43727529,6.9054,statline_mc+recal_10_4b,team:DET
2,QB,00-0033106,Jared Goff,QB,DET,6000,19.067074401086245,3.18,NO,43727241,8.0513,statline_mc+recal_10_4b,team:DET
2,DST,DST_JAX,Jaguars,DST,JAX,3400,10.9943128575,3.23,CLE,43728526,6.0951,dst_simulated_session_10_4+recal_10_4b,team:DET
2,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.54022518409388,2.69,NO,43727325,9.7346,statline_mc+recal_10_4b,team:DET
2,RB2,00-0036919,Kenny Gainwell,RB,TB,5200,13.419583634552575,2.58,CIN,43727377,8.3495,statline_mc+recal_10_4b,team:DET
2,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.91104247505242,2.65,NO,43727633,10.0488,statline_mc+recal_10_4b,team:DET
2,WR2,00-0030279,Keenan Allen,WR,IND,4700,10.383526506306488,2.21,BAL,43950117,7.9616,statline_mc+recal_10_4b,team:DET
2,WR3,00-0034960,Jakobi Meyers,WR,JAX,5000,10.14622544269741,2.03,CLE,43727691,7.7561,statline_mc+recal_10_4b,team:DET
2,TE,00-0040189,Oronde Gadsden II,TE,LAC,3500,7.559082107907198,2.16,ARI,43728249,6.7561,statline_mc+recal_10_4b,team:DET
2,FLEX,00-0037239,Chris Olave,WR,NO,6700,9.376030448491692,1.4,DET,43727639,7.672,statline_mc+recal_10_4b,team:DET
3,QB,00-0033106,Jared Goff,QB,DET,6000,19.067074401086245,3.18,NO,43727241,8.0513,statline_mc+recal_10_4b,team:DET
3,DST,DST_NYJ,Jets,DST,NYJ,2500,8.624019334500002,3.45,TEN,43728542,5.8577,dst_simulated_session_10_4+recal_10_4b,team:DET
3,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.54022518409388,2.69,NO,43727325,9.7346,statline_mc+recal_10_4b,team:DET
3,RB2,00-0036919,Kenny Gainwell,RB,TB,5200,13.419583634552575,2.58,CIN,43727377,8.3495,statline_mc+recal_10_4b,team:DET
3,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.91104247505242,2.65,NO,43727633,10.0488,statline_mc+recal_10_4b,team:DET
3,WR2,00-0030279,Keenan Allen,WR,IND,4700,10.383526506306488,2.21,BAL,43950117,7.9616,statline_mc+recal_10_4b,team:DET
3,WR3,00-0037239,Chris Olave,WR,NO,6700,9.376030448491692,1.4,DET,43727639,7.672,statline_mc+recal_10_4b,team:DET
3,TE,00-0038935,Brenton Strange,TE,JAX,3600,8.25346508621117,2.29,CLE,43728245,6.3878,statline_mc+recal_10_4b,team:DET
3,FLEX,00-0039361,Bucky Irving,RB,TB,5700,11.920325481587891,2.09,CIN,43727359,8.3649,statline_mc+recal_10_4b,team:DET
