lineup_id,roster_slot,player_id,player_name,position,team,roster_role,salary,projection,value,opponent,site_player_id,sigma,sigma_source
1,CPT,00-0034857,Josh Allen,QB,BUF,CPT,17100,46.62075197654895,2.73,DET,44138479,12.66585,statline_mc+recal_10_4b
1,FLEX1,00-0033106,Jared Goff,QB,DET,FLEX,9600,16.280505848197937,1.7,BUF,44138435,7.8879,statline_mc+recal_10_4b
1,FLEX2,00-0038933,Dalton Kincaid,TE,BUF,FLEX,6800,13.632289800740969,2.0,DET,44138439,7.8018,statline_mc+recal_10_4b
1,FLEX3,00-0037261,Khalil Shakir,WR,BUF,FLEX,6400,11.621069179789844,1.82,DET,44138440,8.551,statline_mc+recal_10_4b
1,FLEX4,00-0036162,Tyler Bass,K,BUF,FLEX,5000,8.0712,1.61,DET,44138446,4.869,kicker_session_13_1
1,FLEX5,00-0039172,Jake Bates,K,DET,FLEX,4800,7.9954,1.67,BUF,44138447,4.8596,kicker_session_13_1
2,CPT,00-0034857,Josh Allen,QB,BUF,CPT,17100,46.62075197654895,2.73,DET,44138479,12.66585,statline_mc+recal_10_4b
2,FLEX1,00-0039139,Jahmyr Gibbs,RB,DET,FLEX,12000,20.78953349037992,1.73,BUF,44138432,9.7178,statline_mc+recal_10_4b
2,FLEX2,00-0038933,Dalton Kincaid,TE,BUF,FLEX,6800,13.632289800740969,2.0,DET,44138439,7.8018,statline_mc+recal_10_4b
2,FLEX3,00-0039065,Sam LaPorta,TE,DET,FLEX,5400,9.502408315562636,1.76,BUF,44138445,6.7458,statline_mc+recal_10_4b
2,FLEX4,00-0039172,Jake Bates,K,DET,FLEX,4800,7.9954,1.67,BUF,44138447,4.8596,kicker_session_13_1
2,FLEX5,DST_BUF,Bills,DST,BUF,FLEX,3600,6.445480446,1.79,DET,44138450,5.9229,dst_simulated_session_10_4+recal_10_4b
3,CPT,00-0034857,Josh Allen,QB,BUF,CPT,17100,46.62075197654895,2.73,DET,44138479,12.66585,statline_mc+recal_10_4b
3,FLEX1,00-0036963,Amon-Ra St. Brown,WR,DET,FLEX,10400,16.573970243651274,1.59,BUF,44138434,9.4513,statline_mc+recal_10_4b
3,FLEX2,00-0033106,Jared Goff,QB,DET,FLEX,9600,16.280505848197937,1.7,BUF,44138435,7.8879,statline_mc+recal_10_4b
3,FLEX3,00-0038933,Dalton Kincaid,TE,BUF,FLEX,6800,13.632289800740969,2.0,DET,44138439,7.8018,statline_mc+recal_10_4b
3,FLEX4,00-0039065,Sam LaPorta,TE,DET,FLEX,5400,9.502408315562636,1.76,BUF,44138445,6.7458,statline_mc+recal_10_4b
3,FLEX5,00-0041272,Ja'Mori Maclin,WR,BUF,FLEX,200,2.839991420393254,14.2,DET,44138469,5.7807,statline_mc+recal_10_4b
