lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,stack_target
1,QB,90000050,Omar Pruitt,QB,MIA,6800,15.59,2.29,SF,90000050,
1,DEF,90000049,Eagles,DEF,PHI,5100,6.75,1.32,DAL,90000049,
1,RB1,90000076,Brandon Pace,RB,BAL,8400,24.74,2.95,CIN,90000076,
1,RB2,90000232,Deshawn Fontaine,RB,ATL,8200,23.67,2.89,NO,90000232,
1,WR1,90000175,Reggie Osei,WR,PIT,7000,16.64,2.38,JAX,90000175,
1,WR2,90000092,Jordan Coleman,WR,CIN,6200,12.73,2.05,BAL,90000092,
1,WR3,90000081,Reggie Pace,WR,BAL,5000,6.16,1.23,CIN,90000081,
1,TE,90000047,Corey Manning,TE,PHI,6100,12.06,1.98,DAL,90000047,
1,FLEX,90000160,Cameron Pruitt,RB,MIN,7200,18.38,2.55,HOU,90000160,
2,QB,90000050,Omar Pruitt,QB,MIA,6800,15.59,2.29,SF,90000050,
2,DEF,90000145,Rams,DEF,LAR,5300,7.69,1.45,SEA,90000145,
2,RB1,90000076,Brandon Pace,RB,BAL,8400,24.74,2.95,CIN,90000076,
2,RB2,90000136,Dominic Rourke,RB,LAR,7900,21.64,2.74,SEA,90000136,
2,WR1,90000104,Antonio Osei,WR,GB,7100,17.54,2.47,DET,90000104,
2,WR2,90000092,Jordan Coleman,WR,CIN,6200,12.73,2.05,BAL,90000092,
2,WR3,90000081,Reggie Pace,WR,BAL,5000,6.16,1.23,CIN,90000081,
2,TE,90000047,Corey Manning,TE,PHI,6100,12.06,1.98,DAL,90000047,
2,FLEX,90000160,Cameron Pruitt,RB,MIN,7200,18.38,2.55,HOU,90000160,
3,QB,90000182,Brandon Boykin,QB,JAX,6400,13.09,2.05,PIT,90000182,
3,DEF,90000049,Eagles,DEF,PHI,5100,6.75,1.32,DAL,90000049,
3,RB1,90000232,Deshawn Fontaine,RB,ATL,8200,23.67,2.89,NO,90000232,
3,RB2,90000160,Cameron Pruitt,RB,MIN,7200,18.38,2.55,HOU,90000160,
3,WR1,90000115,Cameron Whitfield,WR,DET,8700,26.14,3.0,GB,90000115,
3,WR2,90000104,Antonio Osei,WR,GB,7100,17.54,2.47,DET,90000104,
3,WR3,90000092,Jordan Coleman,WR,CIN,6200,12.73,2.05,BAL,90000092,
3,TE,90000047,Corey Manning,TE,PHI,6100,12.06,1.98,DAL,90000047,
3,FLEX,90000081,Reggie Pace,WR,BAL,5000,6.16,1.23,CIN,90000081,
