lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,stack_target
1,QB,90000170,Xavier Ashworth,QB,PIT,5600,14.06,2.51,JAX,90000170,
1,DST,90000049,Eagles,DST,PHI,3900,6.5,1.67,DAL,90000049,
1,RB1,90000172,Preston Nakamura,RB,PIT,7700,23.65,3.07,JAX,90000172,
1,RB2,90000136,Dominic Rourke,RB,LAR,7500,22.72,3.03,SEA,90000136,
1,WR1,90000079,Ryan Rivers,WR,BAL,8000,24.1,3.01,CIN,90000079,
1,WR2,90000200,Emmanuel Ellison,WR,DEN,5400,13.26,2.46,LAC,90000200,
1,WR3,90000046,Brandon Marshall,WR,PHI,3700,5.51,1.49,DAL,90000046,
1,TE,90000180,DeAndre Castillo,TE,PIT,2700,1.56,0.58,JAX,90000180,
1,FLEX,90000173,Jalen Monroe,RB,PIT,5500,14.34,2.61,JAX,90000173,
2,QB,90000170,Xavier Ashworth,QB,PIT,5600,14.06,2.51,JAX,90000170,
2,DST,90000049,Eagles,DST,PHI,3900,6.5,1.67,DAL,90000049,
2,RB1,90000172,Preston Nakamura,RB,PIT,7700,23.65,3.07,JAX,90000172,
2,RB2,90000136,Dominic Rourke,RB,LAR,7500,22.72,3.03,SEA,90000136,
2,WR1,90000079,Ryan Rivers,WR,BAL,8000,24.1,3.01,CIN,90000079,
2,WR2,90000200,Emmanuel Ellison,WR,DEN,5400,13.26,2.46,LAC,90000200,
2,WR3,90000022,Isaiah Fields,WR,KC,3000,2.82,0.94,BUF,90000022,
2,TE,90000144,Dominic Winslow,TE,LAR,3400,4.15,1.22,SEA,90000144,
2,FLEX,90000173,Jalen Monroe,RB,PIT,5500,14.34,2.61,JAX,90000173,
3,QB,90000170,Xavier Ashworth,QB,PIT,5600,14.06,2.51,JAX,90000170,
3,DST,90000049,Eagles,DST,PHI,3900,6.5,1.67,DAL,90000049,
3,RB1,90000172,Preston Nakamura,RB,PIT,7700,23.65,3.07,JAX,90000172,
3,RB2,90000136,Dominic Rourke,RB,LAR,7500,22.72,3.03,SEA,90000136,
3,WR1,90000079,Ryan Rivers,WR,BAL,8000,24.1,3.01,CIN,90000079,
3,WR2,90000200,Emmanuel Ellison,WR,DEN,5400,13.26,2.46,LAC,90000200,
3,WR3,90000129,Antonio Winslow,WR,SEA,3800,5.75,1.51,LAR,90000129,
3,TE,90000132,Preston Truman,TE,SEA,2600,1.18,0.45,LAR,90000132,
3,FLEX,90000173,Jalen Monroe,RB,PIT,5500,14.34,2.61,JAX,90000173,
