lineup_id,roster_slot,player_id,player_name,position,team,roster_role,salary,projection,value,opponent,site_player_id,sigma,sigma_source
1,CPT,00-0032569,Wil Lutz,K,DEN,CPT,7800,12.13755,1.56,KC,44105026,7.3032,kicker_session_13_1
1,FLEX1,00-0033873,Patrick Mahomes,QB,KC,FLEX,9600,14.980853545909236,1.56,DEN,44104959,7.8258,statline_mc+recal_10_4b
1,FLEX2,00-0039067,Rashee Rice,WR,KC,FLEX,9400,13.88616098589834,1.48,DEN,44104960,8.5288,statline_mc+recal_10_4b
1,FLEX3,00-0039732,Bo Nix,QB,DEN,FLEX,9800,13.387237099642368,1.37,KC,44104958,7.7345,statline_mc+recal_10_4b
1,FLEX4,00-0040730,RJ Harvey,RB,DEN,FLEX,7400,9.221921542682878,1.25,KC,44104964,7.2645,statline_mc+recal_10_4b
1,FLEX5,00-0033303,Harrison Butker,K,KC,FLEX,5000,8.21615,1.64,DEN,44104972,4.9546,kicker_session_13_1
2,CPT,00-0033873,Patrick Mahomes,QB,KC,CPT,14400,22.47128031886385,1.56,DEN,44105014,11.7387,statline_mc+recal_10_4b
2,FLEX1,00-0039067,Rashee Rice,WR,KC,FLEX,9400,13.88616098589834,1.48,DEN,44104960,8.5288,statline_mc+recal_10_4b
2,FLEX2,00-0039732,Bo Nix,QB,DEN,FLEX,9800,13.387237099642368,1.37,KC,44104958,7.7345,statline_mc+recal_10_4b
2,FLEX3,00-0030506,Travis Kelce,TE,KC,FLEX,7000,8.664688670572312,1.24,DEN,44104965,6.5178,statline_mc+recal_10_4b
2,FLEX4,DST_DEN,Broncos,DST,DEN,FLEX,4800,6.6973067415,1.4,KC,44104973,5.8764,dst_simulated_session_10_4+recal_10_4b
2,FLEX5,DST_KC,Chiefs,DST,KC,FLEX,4400,6.629132772,1.51,DEN,44104974,5.6201,dst_simulated_session_10_4+recal_10_4b
3,CPT,00-0033303,Harrison Butker,K,KC,CPT,7500,12.324225000000002,1.64,DEN,44105027,7.431900000000001,kicker_session_13_1
3,FLEX1,00-0033873,Patrick Mahomes,QB,KC,FLEX,9600,14.980853545909236,1.56,DEN,44104959,7.8258,statline_mc+recal_10_4b
3,FLEX2,00-0039067,Rashee Rice,WR,KC,FLEX,9400,13.88616098589834,1.48,DEN,44104960,8.5288,statline_mc+recal_10_4b
3,FLEX3,00-0038134,Kenneth Walker III,RB,KC,FLEX,10600,9.131729134858467,0.86,DEN,44104957,7.5773,statline_mc+recal_10_4b
3,FLEX4,00-0034348,Courtland Sutton,WR,DEN,FLEX,8000,8.608763772379149,1.08,KC,44104963,7.4391,statline_mc+recal_10_4b
3,FLEX5,DST_KC,Chiefs,DST,KC,FLEX,4400,6.629132772,1.51,DEN,44104974,5.6201,dst_simulated_session_10_4+recal_10_4b
