lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0037834,Brock Purdy,QB,SF,6200,16.68061864058712,2.69,MIA,44173858,7.9317,statline_mc+recal_10_4b,team:SF
1,DST,DST_ARI,Cardinals,DST,ARI,2500,6.329183674500001,2.53,SEA,44174322,5.8092,dst_simulated_session_10_4+recal_10_4b,team:SF
1,RB1,00-0036997,Javonte Williams,RB,DAL,6400,11.655793081222368,1.82,WAS,44173896,8.1662,statline_mc+recal_10_4b,team:SF
1,RB2,00-0040719,Bhayshul Tuten,RB,JAX,5600,8.165172652509755,1.46,DEN,44173900,7.592,statline_mc+recal_10_4b,team:SF
1,WR1,00-0037247,George Pickens,WR,DAL,6300,8.910438928038705,1.41,WAS,44174020,7.6966,statline_mc+recal_10_4b,team:SF
1,WR2,00-0031588,Stefon Diggs,WR,WAS,5300,8.594617261358966,1.62,DAL,44174032,7.375,statline_mc+recal_10_4b,team:SF
1,WR3,00-0035719,Deebo Samuel Sr.,WR,SF,5300,8.20417850417977,1.55,MIA,44174030,7.6853,statline_mc+recal_10_4b,team:SF
1,TE,00-0037744,Trey McBride,TE,ARI,6900,10.411163215404544,1.51,SEA,44174200,6.8048,statline_mc+recal_10_4b,team:SF
1,FLEX,00-0040242,Jacory Croskey-Merritt,RB,WAS,5500,7.859048869265676,1.43,DAL,44173904,7.42,statline_mc+recal_10_4b,team:SF
2,QB,00-0037834,Brock Purdy,QB,SF,6200,16.68061864058712,2.69,MIA,44173858,7.9317,statline_mc+recal_10_4b,team:SF
2,DST,DST_JAX,Jaguars,DST,JAX,2400,6.397193961000001,2.67,DEN,44174324,5.9615,dst_simulated_session_10_4+recal_10_4b,team:SF
2,RB1,00-0040719,Bhayshul Tuten,RB,JAX,5600,8.165172652509755,1.46,DEN,44173900,7.592,statline_mc+recal_10_4b,team:SF
2,RB2,00-0040242,Jacory Croskey-Merritt,RB,WAS,5500,7.859048869265676,1.43,DAL,44173904,7.42,statline_mc+recal_10_4b,team:SF
2,WR1,00-0039915,Ladd McConkey,WR,LAC,6200,8.830071588640598,1.42,LV,44174022,7.6836,statline_mc+recal_10_4b,team:SF
2,WR2,00-0031588,Stefon Diggs,WR,WAS,5300,8.594617261358966,1.62,DAL,44174032,7.375,statline_mc+recal_10_4b,team:SF
2,WR3,00-0031408,Mike Evans,WR,SF,6600,8.535368305882319,1.29,MIA,44174016,7.622,statline_mc+recal_10_4b,team:SF
2,TE,00-0037744,Trey McBride,TE,ARI,6900,10.411163215404544,1.51,SEA,44174200,6.8048,statline_mc+recal_10_4b,team:SF
2,FLEX,00-0035719,Deebo Samuel Sr.,WR,SF,5300,8.20417850417977,1.55,MIA,44174030,7.6853,statline_mc+recal_10_4b,team:SF
3,QB,00-0036355,Justin Herbert,QB,LAC,6000,13.456209227544244,2.24,LV,44173859,7.7863,statline_mc+recal_10_4b,team:LAC
3,DST,DST_JAX,Jaguars,DST,JAX,2400,6.397193961000001,2.67,DEN,44174324,5.9615,dst_simulated_session_10_4+recal_10_4b,team:LAC
3,RB1,00-0036997,Javonte Williams,RB,DAL,6400,11.655793081222368,1.82,WAS,44173896,8.1662,statline_mc+recal_10_4b,team:LAC
3,RB2,00-0040242,Jacory Croskey-Merritt,RB,WAS,5500,7.859048869265676,1.43,DAL,44173904,7.42,statline_mc+recal_10_4b,team:LAC
3,WR1,00-0039915,Ladd McConkey,WR,LAC,6200,8.830071588640598,1.42,LV,44174022,7.6836,statline_mc+recal_10_4b,team:LAC
3,WR2,00-0031588,Stefon Diggs,WR,WAS,5300,8.594617261358966,1.62,DAL,44174032,7.375,statline_mc+recal_10_4b,team:LAC
3,WR3,00-0035719,Deebo Samuel Sr.,WR,SF,5300,8.20417850417977,1.55,MIA,44174030,7.6853,statline_mc+recal_10_4b,team:LAC
3,TE,00-0037744,Trey McBride,TE,ARI,6900,10.411163215404544,1.51,SEA,44174200,6.8048,statline_mc+recal_10_4b,team:LAC
3,FLEX,00-0038606,Parker Washington,WR,JAX,5900,7.378952927896859,1.25,DEN,44174024,7.1762,statline_mc+recal_10_4b,team:LAC
