lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0036442,Joe Burrow,QB,CIN,6900,18.16040969622828,2.63,TB,44069720,8.0309,statline_mc+recal_10_4b,team:CIN
1,DST,DST_NYJ,Jets,DST,NYJ,2500,8.719037316,3.49,TEN,44070424,5.842,dst_simulated_session_10_4+recal_10_4b,team:CIN
1,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.348121980016536,2.67,NO,44069774,9.7694,statline_mc+recal_10_4b,team:CIN
1,RB2,00-0036919,Kenny Gainwell,RB,TB,5200,12.255731265273235,2.36,CIN,44069808,8.2131,statline_mc+recal_10_4b,team:CIN
1,WR1,00-0036900,Ja'Marr Chase,WR,CIN,7800,16.620399452533803,2.13,TB,44069944,9.2435,statline_mc+recal_10_4b,team:CIN
1,WR2,00-0030279,Keenan Allen,WR,IND,4700,10.706374504848675,2.28,BAL,44069996,8.0098,statline_mc+recal_10_4b,team:CIN
1,WR3,00-0034960,Jakobi Meyers,WR,JAX,5000,10.042485312230216,2.01,CLE,44069988,7.661,statline_mc+recal_10_4b,team:CIN
1,TE,00-0040126,Colston Loveland,TE,CHI,5300,14.183601544224553,2.68,CAR,44070238,7.5866,statline_mc+recal_10_4b,team:CIN
1,FLEX,00-0039491,Jalen Coker,WR,CAR,4600,9.015095870721964,1.96,CHI,44069998,7.8175,statline_mc+recal_10_4b,team:CIN
2,QB,00-0033106,Jared Goff,QB,DET,6000,18.754597539785056,3.13,NO,44069723,8.0288,statline_mc+recal_10_4b,team:DET
2,DST,DST_NYJ,Jets,DST,NYJ,2500,8.719037316,3.49,TEN,44070424,5.842,dst_simulated_session_10_4+recal_10_4b,team:DET
2,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8000,21.348121980016536,2.67,NO,44069774,9.7694,statline_mc+recal_10_4b,team:DET
2,RB2,00-0036919,Kenny Gainwell,RB,TB,5200,12.255731265273235,2.36,CIN,44069808,8.2131,statline_mc+recal_10_4b,team:DET
2,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.396290458414807,2.59,NO,44069946,9.6294,statline_mc+recal_10_4b,team:DET
2,WR2,00-0030279,Keenan Allen,WR,IND,4700,10.706374504848675,2.28,BAL,44069996,8.0098,statline_mc+recal_10_4b,team:DET
2,WR3,00-0039491,Jalen Coker,WR,CAR,4600,9.015095870721964,1.96,CHI,44069998,7.8175,statline_mc+recal_10_4b,team:DET
2,TE,00-0036970,Kyle Pitts Sr.,TE,ATL,4700,10.915448177727372,2.32,PIT,44070242,6.9807,statline_mc+recal_10_4b,team:DET
2,FLEX,00-0037239,Chris Olave,WR,NO,6700,8.979302685166477,1.34,DET,44069950,7.6314,statline_mc+recal_10_4b,team:DET
3,QB,00-0033106,Jared Goff,QB,DET,6000,18.754597539785056,3.13,NO,44069723,8.0288,statline_mc+recal_10_4b,team:DET
3,DST,DST_NYJ,Jets,DST,NYJ,2500,8.719037316,3.49,TEN,44070424,5.842,dst_simulated_session_10_4+recal_10_4b,team:DET
3,RB1,00-0038597,Chase Brown,RB,CIN,7100,14.990658711846528,2.11,TB,44069782,8.524,statline_mc+recal_10_4b,team:DET
3,RB2,00-0036919,Kenny Gainwell,RB,TB,5200,12.255731265273235,2.36,CIN,44069808,8.2131,statline_mc+recal_10_4b,team:DET
3,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.396290458414807,2.59,NO,44069946,9.6294,statline_mc+recal_10_4b,team:DET
3,WR2,00-0030279,Keenan Allen,WR,IND,4700,10.706374504848675,2.28,BAL,44069996,8.0098,statline_mc+recal_10_4b,team:DET
3,WR3,00-0034960,Jakobi Meyers,WR,JAX,5000,10.042485312230216,2.01,CLE,44069988,7.661,statline_mc+recal_10_4b,team:DET
3,TE,00-0040126,Colston Loveland,TE,CHI,5300,14.183601544224553,2.68,CAR,44070238,7.5866,statline_mc+recal_10_4b,team:DET
3,FLEX,00-0037239,Chris Olave,WR,NO,6700,8.979302685166477,1.34,DET,44069950,7.6314,statline_mc+recal_10_4b,team:DET
