lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0033106,Jared Goff,QB,DET,7800,16.49934568321796,2.12,NO,133104-38435,7.5777,statline_mc+recal_10_4b,team:DET
1,DEF,DST_TEN,Tennessee Titans,DEF,TEN,3200,10.1925935235,3.19,NYJ,133104-12534,6.3614,dst_simulated_session_10_4,team:DET
1,RB1,00-0039139,Jahmyr Gibbs,RB,DET,9100,20.704678602696717,2.28,NO,133104-129368,10.1096,statline_mc+recal_10_4b,team:DET
1,RB2,00-0038597,Chase Brown,RB,CIN,7500,12.935441682213929,1.72,TB,133104-89493,8.3723,statline_mc+recal_10_4b,team:DET
1,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,8600,17.488956162080626,2.03,NO,133104-86997,8.7479,statline_mc+recal_10_4b,team:DET
1,WR2,00-0037240,Jameson Williams,WR,DET,7100,11.189216458640129,1.58,NO,133104-111631,7.7682,statline_mc+recal_10_4b,team:DET
1,WR3,00-0037614,John Metchie III,WR,CAR,4600,5.283522069849307,1.15,CHI,133104-102696,5.6474,statline_mc+recal_10_4b,team:DET
1,TE,00-0040126,Colston Loveland,TE,CHI,6000,11.540284599424336,1.92,CAR,133104-166588,7.1597,statline_mc+recal_10_4b,team:DET
1,FLEX,00-0035261,Tony Pollard,RB,TEN,6000,10.061480406677862,1.68,NYJ,133104-63759,8.0456,statline_mc+recal_10_4b,team:DET
2,QB,00-0033106,Jared Goff,QB,DET,7800,16.49934568321796,2.12,NO,133104-38435,7.5777,statline_mc+recal_10_4b,team:DET
2,DEF,DST_TEN,Tennessee Titans,DEF,TEN,3200,10.1925935235,3.19,NYJ,133104-12534,6.3614,dst_simulated_session_10_4,team:DET
2,RB1,00-0039139,Jahmyr Gibbs,RB,DET,9100,20.704678602696717,2.28,NO,133104-129368,10.1096,statline_mc+recal_10_4b,team:DET
2,RB2,00-0038597,Chase Brown,RB,CIN,7500,12.935441682213929,1.72,TB,133104-89493,8.3723,statline_mc+recal_10_4b,team:DET
2,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,8600,17.488956162080626,2.03,NO,133104-86997,8.7479,statline_mc+recal_10_4b,team:DET
2,WR2,00-0037240,Jameson Williams,WR,DET,7100,11.189216458640129,1.58,NO,133104-111631,7.7682,statline_mc+recal_10_4b,team:DET
2,WR3,00-0040727,Tre' Harris,WR,LAC,4700,5.0285347584140885,1.07,ARI,133104-129546,5.676,statline_mc+recal_10_4b,team:DET
2,TE,00-0040126,Colston Loveland,TE,CHI,6000,11.540284599424336,1.92,CAR,133104-166588,7.1597,statline_mc+recal_10_4b,team:DET
2,FLEX,00-0035261,Tony Pollard,RB,TEN,6000,10.061480406677862,1.68,NYJ,133104-63759,8.0456,statline_mc+recal_10_4b,team:DET
3,QB,00-0033106,Jared Goff,QB,DET,7800,16.49934568321796,2.12,NO,133104-38435,7.5777,statline_mc+recal_10_4b,team:DET
3,DEF,DST_TEN,Tennessee Titans,DEF,TEN,3200,10.1925935235,3.19,NYJ,133104-12534,6.3614,dst_simulated_session_10_4,team:DET
3,RB1,00-0039139,Jahmyr Gibbs,RB,DET,9100,20.704678602696717,2.28,NO,133104-129368,10.1096,statline_mc+recal_10_4b,team:DET
3,RB2,00-0038597,Chase Brown,RB,CIN,7500,12.935441682213929,1.72,TB,133104-89493,8.3723,statline_mc+recal_10_4b,team:DET
3,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,8600,17.488956162080626,2.03,NO,133104-86997,8.7479,statline_mc+recal_10_4b,team:DET
3,WR2,00-0037240,Jameson Williams,WR,DET,7100,11.189216458640129,1.58,NO,133104-111631,7.7682,statline_mc+recal_10_4b,team:DET
