lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
1,QB,00-0033873,Patrick Mahomes,QB,KC,6200,21.35810158242645,3.44,MIA,44220223,8.3132,statline_mc+recal_10_4b,team:KC
1,DST,DST_TEN,Titans,DST,TEN,2400,7.75625391,3.23,NYG,44221417,5.7738,dst_simulated_session_10_4+recal_10_4b,team:KC
1,RB1,00-0038134,Kenneth Walker III,RB,KC,7400,22.0944364605386,2.99,MIA,44220310,10.3723,statline_mc+recal_10_4b,team:KC
1,RB2,00-0040122,Ashton Jeanty,RB,LV,7100,17.816058760576684,2.51,NO,44220312,8.3111,statline_mc+recal_10_4b,team:KC
1,WR1,00-0038606,Parker Washington,WR,JAX,6000,16.200608850197717,2.7,NE,44220640,9.6584,statline_mc+recal_10_4b,team:KC
1,WR2,00-0039491,Jalen Coker,WR,CAR,5500,13.41241599590109,2.44,CLE,44220654,8.914,statline_mc+recal_10_4b,team:KC
1,WR3,00-0039880,Malik Washington,WR,MIA,4200,9.626156415159045,2.29,KC,44220710,7.4524,statline_mc+recal_10_4b,team:KC
1,TE,00-0037744,Trey McBride,TE,ARI,6700,17.140564435595223,2.56,SF,44221104,7.4356,statline_mc+recal_10_4b,team:KC
1,FLEX,00-0030506,Travis Kelce,TE,KC,4500,12.188600321833713,2.71,MIA,44221116,7.8541,statline_mc+recal_10_4b,team:KC
2,QB,00-0033873,Patrick Mahomes,QB,KC,6200,21.35810158242645,3.44,MIA,44220223,8.3132,statline_mc+recal_10_4b,team:KC
2,DST,DST_IND,Colts,DST,IND,2500,7.815670839000001,3.13,HOU,44221415,5.8475,dst_simulated_session_10_4+recal_10_4b,team:KC
2,RB1,00-0038134,Kenneth Walker III,RB,KC,7400,22.0944364605386,2.99,MIA,44220310,10.3723,statline_mc+recal_10_4b,team:KC
2,RB2,00-0032764,Derrick Henry,RB,BAL,7700,20.44585979085745,2.66,DAL,44220306,9.7848,statline_mc+recal_10_4b,team:KC
2,WR1,00-0038606,Parker Washington,WR,JAX,6000,16.200608850197717,2.7,NE,44220640,9.6584,statline_mc+recal_10_4b,team:KC
2,WR2,00-0037261,Khalil Shakir,WR,BUF,4800,11.610058831509198,2.42,LAC,44220678,8.3632,statline_mc+recal_10_4b,team:KC
2,WR3,00-0039880,Malik Washington,WR,MIA,4200,9.626156415159045,2.29,KC,44220710,7.4524,statline_mc+recal_10_4b,team:KC
2,TE,00-0037744,Trey McBride,TE,ARI,6700,17.140564435595223,2.56,SF,44221104,7.4356,statline_mc+recal_10_4b,team:KC
2,FLEX,00-0030506,Travis Kelce,TE,KC,4500,12.188600321833713,2.71,MIA,44221116,7.8541,statline_mc+recal_10_4b,team:KC
3,QB,00-0033873,Patrick Mahomes,QB,KC,6200,21.35810158242645,3.44,MIA,44220223,8.3132,statline_mc+recal_10_4b,team:KC
3,DST,DST_TEN,Titans,DST,TEN,2400,7.75625391,3.23,NYG,44221417,5.7738,dst_simulated_session_10_4+recal_10_4b,team:KC
3,RB1,00-0039139,Jahmyr Gibbs,RB,DET,8800,24.23008478551959,2.75,NYJ,44220302,10.0839,statline_mc+recal_10_4b,team:KC
3,RB2,00-0038134,Kenneth Walker III,RB,KC,7400,22.0944364605386,2.99,MIA,44220310,10.3723,statline_mc+recal_10_4b,team:KC
3,WR1,00-0036322,Justin Jefferson,WR,MIN,7500,18.60502470822836,2.48,TB,44220618,8.8189,statline_mc+recal_10_4b,team:KC
3,WR2,00-0037261,Khalil Shakir,WR,BUF,4800,11.610058831509198,2.42,LAC,44220678,8.3632,statline_mc+recal_10_4b,team:KC
3,WR3,00-0039880,Malik Washington,WR,MIA,4200,9.626156415159045,2.29,KC,44220710,7.4524,statline_mc+recal_10_4b,team:KC
3,TE,00-0030506,Travis Kelce,TE,KC,4500,12.188600321833713,2.71,MIA,44221116,7.8541,statline_mc+recal_10_4b,team:KC
3,FLEX,00-0034383,Dalton Schultz,TE,HOU,4200,10.558450018874224,2.51,IND,44221122,7.1826,statline_mc+recal_10_4b,team:KC
